DATETIME,price
2022-10-31,1.02035
2022-11-01,1.01935
2022-11-02,1.01635
2022-11-03,1.00235
2022-11-04,1.00535
2022-11-07,1.02435
2022-11-08,1.02735
2022-11-09,1.03235
2022-11-10,1.02335
2022-11-11,1.05135
2022-11-14,1.05735
2022-11-15,1.06635
2022-11-16,1.06735
2022-11-17,1.06135
2022-11-18,1.06235
2022-11-21,1.05035
2022-11-22,1.05335
2022-11-23,1.05735
2022-11-24,1.06735
2022-11-25,1.06135
2022-11-28,1.07035
2022-11-29,1.06135
2022-11-30,1.06135
2022-12-01,1.06735
2022-12-02,1.07735
2022-12-06,1.07435
2022-12-07,1.07235
2022-12-08,1.07335
2022-12-09,1.07935
2022-12-13,1.07735
2022-12-14,1.09035
2022-12-15,1.08535
2022-12-16,1.08535
2022-12-19,1.08735
2022-12-20,1.08635
2022-12-21,1.08535
2022-12-22,1.08635
2022-12-23,1.08335
2022-12-26,1.08335
2022-12-27,1.08735
2022-12-28,1.08635
2022-12-29,1.08335
2022-12-30,1.09335
2023-01-03,1.08335
2023-01-04,1.09035
2023-01-05,1.09135
2023-01-06,1.07935
2023-01-09,1.09635
2023-01-10,1.10235
2023-01-11,1.10235
2023-01-12,1.10535
2023-01-13,1.11435
2023-01-16,1.10935
2023-01-17,1.11135
2023-01-18,1.11535
2023-01-19,1.11135
2023-01-20,1.11135
2023-01-23,1.11735
2023-01-24,1.11335
2023-01-25,1.11535
2023-01-26,1.11735
2023-01-27,1.11535
2023-01-30,1.11735
2023-01-31,1.11035
2023-02-01,1.11535
2023-02-02,1.12735
2023-02-03,1.11935
2023-02-06,1.10435
2023-02-07,1.09935
2023-02-08,1.10335
2023-02-09,1.10435
2023-02-10,1.09835
2023-02-13,1.09535
2023-02-14,1.10335
2023-02-15,1.09935
2023-02-16,1.09635
2023-02-17,1.09235
2023-02-20,1.09535
2023-02-21,1.09235
2023-02-22,1.09135
2023-02-23,1.08635
2023-02-24,1.08635
2023-02-27,1.08335
2023-02-28,1.08935
2023-03-01,1.09235
2023-03-02,1.09035
2023-03-03,1.08835
2023-03-07,1.09335
2023-03-08,1.07835
2023-03-09,1.08035
2023-03-10,1.08335
2023-03-13,1.09235
2023-03-14,1.09535
2023-03-15,1.09135
2023-03-16,1.08435
2023-03-17,1.08835
2023-03-20,1.08935
2023-03-21,1.09635
2023-03-22,1.10035
2023-03-23,1.11135
2023-03-24,1.09635
2023-03-27,1.09735
2023-03-28,1.10335
2023-03-29,1.10735
2023-03-30,1.10435
2023-03-31,1.11835
2023-04-03,1.11335
2023-04-04,1.12235
2023-04-05,1.12235
2023-04-07,1.12035
2023-04-10,1.11935
2023-04-11,1.11835
2023-04-12,1.12035
2023-04-17,1.12435
2023-04-18,1.12435
2023-04-19,1.11835
2023-04-20,1.12235
2023-04-21,1.12135
2023-04-24,1.12635
2023-04-25,1.12935
2023-04-26,1.12935
2023-04-27,1.12935
2023-04-28,1.12335
2023-05-02,1.12135
2023-05-03,1.12935
2023-05-10,1.12035
2023-05-11,1.11835
2023-05-12,1.11535
2023-05-15,1.11135
2023-05-16,1.11435
2023-05-17,1.10735
2023-05-18,1.10535
2023-05-19,1.10335
2023-05-22,1.10635
2023-05-23,1.10235
2023-05-24,1.10135
2023-05-25,1.09735
2023-05-26,1.09735
2023-05-29,1.09535
2023-05-30,1.09535
2023-05-31,1.09135
2023-06-01,1.09335
2023-06-02,1.09935
2023-06-06,1.09235
2023-06-07,1.09235
2023-06-08,1.09635
2023-06-09,1.10135
2023-06-12,1.10135
2023-06-13,1.10235
2023-06-14,1.10335
2023-06-15,1.10735
2023-06-16,1.11735
2023-06-19,1.11435
2023-06-20,1.11435
2023-06-21,1.11535
2023-06-22,1.12235
2023-06-23,1.10835
2023-06-26,1.11135
2023-06-27,1.11535
2023-06-28,1.11735
2023-06-29,1.11035
2023-06-30,1.11235
2023-07-03,1.11435
2023-07-04,1.11635
2023-07-05,1.11435
2023-07-06,1.11235
2023-07-07,1.11435
2023-07-10,1.12335
2023-07-11,1.12535
2023-07-12,1.12835
2023-07-13,1.14335
2023-07-14,1.14935
2023-07-17,1.14935
2023-07-18,1.15035
2023-07-19,1.14935
2023-07-20,1.14635
2023-07-21,1.13835
2023-07-24,1.13435
2023-07-25,1.13035
2023-07-26,1.13235
2023-07-27,1.13735
2023-07-31,1.12835
2023-08-02,1.12235
2023-08-03,1.11735
2023-08-04,1.11835
2023-08-07,1.12235
2023-08-08,1.12135
2023-08-09,1.12235
2023-08-10,1.12435
2023-08-11,1.12235
2023-08-15,1.11835
2023-08-16,1.11635
2023-08-17,1.11035
2023-08-18,1.11035
2023-08-21,1.11335
2023-08-22,1.11435
2023-08-23,1.10535
2023-08-24,1.10835
2023-08-25,1.10235
2023-08-28,1.10335
2023-08-29,1.10435
2023-08-30,1.11135
2023-08-31,1.11035
2023-09-01,1.10835
2023-09-04,1.10335
2023-09-05,1.09735
2023-09-06,1.09535
2023-09-07,1.09335
2023-09-08,1.09235
2023-09-11,1.09535
2023-09-12,1.09535
2023-09-13,1.09535
2023-09-14,1.09535
2023-09-15,1.08935
2023-09-18,1.08935
2023-09-19,1.09035
2023-09-20,1.09135
2023-09-21,1.08735
2023-09-22,1.08635
2023-09-25,1.08435
2023-09-26,1.08135
2023-09-27,1.07735
2023-09-28,1.07135
2023-09-29,1.08735
2023-10-02,1.08035
2023-10-03,1.07535
2023-10-04,1.07535
2023-10-05,1.07735
2023-10-06,1.08135
2023-10-09,1.08035
2023-10-10,1.08635
2023-10-11,1.08635
2023-10-12,1.08835
2023-10-16,1.07835
2023-10-17,1.08035
2023-10-18,1.08235
2023-10-19,1.07835
2023-10-20,1.08335
2023-10-24,1.08935
2023-10-25,1.08235
2023-10-26,1.07935
2023-10-27,1.08235
2023-10-30,1.08335
2023-10-31,1.08835
2023-11-01,1.08035
2023-11-02,1.08735
2023-11-03,1.08935
2023-11-06,1.09935
2023-11-07,1.09335
2023-11-08,1.09235
2023-11-09,1.09435
2023-11-10,1.09235
2023-11-13,1.09435
2023-11-14,1.09635
2023-11-15,1.10935
2023-11-16,1.10935
2023-11-17,1.10935
2023-11-20,1.11735
2023-11-21,1.11835
2023-11-22,1.11435
2023-11-23,1.11535
2023-11-24,1.11535
2023-11-27,1.11835
2023-11-28,1.11835
2023-11-29,1.12135
2023-11-30,1.11635
2023-12-01,1.11435
2023-12-04,1.11135
2023-12-06,1.10235
2023-12-07,1.10235
2023-12-08,1.10235
2023-12-12,1.10235
2023-12-13,1.10135
2023-12-14,1.11335
2023-12-15,1.11835
2023-12-18,1.11535
2023-12-19,1.11635
2023-12-20,1.11935
2023-12-21,1.11635
2023-12-22,1.12335
2023-12-25,1.12335
2023-12-26,1.12335
2023-12-27,1.12535
2023-12-28,1.13935
2024-01-02,1.12835
2024-01-03,1.12035
2024-01-04,1.12235
2024-01-05,1.11735
2024-01-08,1.11935
2024-01-09,1.12035
2024-01-10,1.12035
2024-01-11,1.12335
2024-01-12,1.12235
2024-01-15,1.12035
2024-01-16,1.11435
2024-01-17,1.11335
2024-01-18,1.11435
2024-01-19,1.11335
2024-01-22,1.11435
2024-01-23,1.11335
2024-01-24,1.11535
2024-01-25,1.11435
2024-01-26,1.10935
2024-01-29,1.10735
2024-01-30,1.10735
2024-01-31,1.10735
2024-02-01,1.10435
2024-02-02,1.11335
2024-02-05,1.10035
2024-02-06,1.09835
2024-02-07,1.10135
2024-02-08,1.10135
2024-02-09,1.10035
2024-02-12,1.10135
2024-02-13,1.10035
2024-02-14,1.09435
2024-02-15,1.09735
2024-02-16,1.10035
2024-02-19,1.10235
2024-02-20,1.10335
2024-02-21,1.10335
2024-02-22,1.10935
2024-02-23,1.10435
2024-02-27,1.10935
2024-02-28,1.10335
2024-02-29,1.10835
2024-03-01,1.10535
2024-03-04,1.10735
2024-03-05,1.10835
2024-03-06,1.11035
2024-03-07,1.11335
2024-03-08,1.11635
2024-03-11,1.11635
2024-03-12,1.11635
2024-03-13,1.11435
2024-03-14,1.11635
2024-03-15,1.11235
2024-03-18,1.11235
2024-03-19,1.10635
2024-03-20,1.10635
2024-03-21,1.11335
2024-03-22,1.10435
2024-03-25,1.10335
2024-03-26,1.10735
