DATETIME,price
2006-04-28,522.9
2006-05-02,523.0
2006-05-03,525.4
2006-05-04,522.6
2006-05-08,527.9
2006-05-09,530.2
2006-05-10,530.3
2006-05-11,530.6
2006-05-15,522.4
2006-05-16,517.2
2006-05-17,517.9
2006-05-18,505.6
2006-05-19,504.9
2006-05-22,492.0
2006-05-23,493.8
2006-05-24,483.2
2006-05-25,475.4
2006-05-26,483.9
2006-05-29,484.0
2006-05-30,478.3
2006-05-31,479.2
2006-06-01,477.8
2006-06-02,484.4
2006-06-05,482.2
2006-06-06,477.0
2006-06-07,466.2
2006-06-08,453.9
2006-06-09,449.9
2006-06-14,430.0
2006-06-15,435.5
2006-06-16,446.1
2006-06-19,442.1
2006-06-20,431.4
2006-06-21,432.9
2006-06-22,444.6
2006-06-23,440.6
2006-06-26,440.9
2006-06-27,441.5
2006-06-28,446.7
2006-06-29,452.96
2006-06-30,455.7
2006-07-03,460.7
2006-07-04,466.3
2006-07-05,457.3
2006-07-06,462.9
2006-07-07,459.6
2006-07-10,458.5
2006-07-12,462.6
2006-07-13,449.2
2006-07-14,443.7
2006-07-17,434.9
2006-07-18,438.7
2006-07-19,438.4
2006-07-20,446.2
2006-07-21,457.9
2006-07-24,459.8
2006-07-25,462.3
2006-07-26,464.0
2006-07-27,469.9
2006-07-28,462.9
2006-07-31,462.3
2006-08-01,459.7
2006-08-02,467.4
2006-08-03,471.7
2006-08-04,472.4
2006-08-07,474.1
2006-08-08,482.8
2006-08-09,478.8
2006-08-10,472.7
2006-08-11,480.1
2006-08-15,480.4
2006-08-16,485.2
2006-08-17,481.5
2006-08-18,480.9
2006-08-21,477.7
2006-08-22,477.9
2006-08-23,472.9
2006-08-24,467.7
2006-08-25,465.1
2006-08-28,458.8
2006-08-29,461.3
2006-08-30,459.9
2006-08-31,463.6
2006-09-01,471.8
2006-09-04,478.1
2006-09-05,474.4
2006-09-06,473.0
2006-09-07,468.9
2006-09-08,472.7
2006-09-11,467.0
2006-09-12,468.8
2006-09-13,476.4
2006-09-14,481.1
2006-09-15,480.5
2006-09-18,484.2
2006-09-19,478.8
2006-09-21,476.7
2006-09-22,469.3
2006-09-25,472.4
2006-09-26,473.1
2006-09-27,475.8
2006-09-28,470.71
2006-09-29,476.9
2006-10-02,472.9
2006-10-03,470.0
2006-10-04,475.8
2006-10-05,479.8
2006-10-06,479.8
2006-10-09,477.9
2006-10-10,482.2
2006-10-11,480.8
2006-10-12,485.2
2006-10-13,485.8
2006-10-16,488.6
2006-10-17,486.1
2006-10-18,492.6
2006-10-19,493.4
2006-10-20,496.9
2006-10-24,497.8
2006-10-25,502.1
