DATETIME,price
2012-06-06,774.90
2012-06-07,774.90
2012-06-08,782.90
2012-06-11,806.60
2012-06-12,808.70
2012-06-13,802.80
2012-06-14,798.70
2012-06-15,813.80
2012-06-18,810.10
2012-06-19,816.10
2012-06-20,814.40
2012-06-21,806.00
2012-06-22,798.50
2012-06-25,792.90
2012-06-26,798.80
2012-06-27,805.80
2012-06-28,805.70
2012-06-29,813.70
2012-07-02,822.00
2012-07-03,827.90
2012-07-04,826.00
2012-07-05,832.60
2012-07-06,828.70
2012-07-09,819.80
2012-07-10,836.40
2012-07-11,836.60
2012-07-12,825.80
2012-07-13,836.40
2012-07-16,838.50
2012-07-17,846.10
2012-07-18,841.80
2012-07-19,837.20
2012-07-20,833.60
2012-07-23,810.00
2012-07-24,811.70
2012-07-25,814.90
2012-07-26,799.60
2012-07-27,802.90
2012-07-30,813.00
2012-07-31,821.90
2012-08-01,822.90
2012-08-03,818.50
2012-08-06,826.60
2012-08-07,827.50
2012-08-08,831.20
2012-08-09,833.90
2012-08-10,835.30
2012-08-14,844.30
2012-08-15,844.50
2012-08-16,840.10
2012-08-17,839.30
2012-08-20,842.00
2012-08-21,845.40
2012-08-22,844.00
2012-08-23,849.30
2012-08-24,848.50
2012-08-27,844.60
2012-08-28,842.40
2012-08-29,834.00
2012-08-30,829.30
2012-08-31,837.50
2012-09-03,844.90
2012-09-04,844.80
2012-09-05,843.60
2012-09-06,851.90
2012-09-07,853.90
2012-09-10,857.10
2012-09-11,854.10
2012-09-12,864.90
2012-09-13,860.70
2012-09-14,874.90
2012-09-17,876.20
2012-09-18,869.90
2012-09-19,880.90
2012-09-20,877.00
2012-09-21,879.00
2012-09-24,875.80
2012-09-25,877.20
2012-09-26,873.70
2012-09-27,883.80
2012-09-28,888.40
2012-10-01,889.50
2012-10-02,891.80
2012-10-03,892.70
2012-10-04,891.70
2012-10-05,893.60
2012-10-08,886.90
2012-10-09,879.00
2012-10-10,876.30
2012-10-11,881.60
2012-10-12,881.40
2012-10-15,878.60
2012-10-16,874.80
2012-10-17,886.40
2012-10-18,892.60
2012-10-19,891.40
2012-10-22,891.00
2012-10-24,877.80
2012-10-25,878.00
2012-10-26,866.70
2012-10-29,865.60
2012-10-30,876.80
2012-10-31,880.10
2012-11-01,879.10
2012-11-02,885.80
2012-11-05,885.10
2012-11-06,881.50
2012-11-07,877.30
2012-11-08,871.40
2012-11-09,873.20
2012-11-12,876.80
2012-11-13,872.10
2012-11-14,865.90
2012-11-15,863.20
2012-11-16,863.50
2012-11-19,869.60
2012-11-20,862.70
2012-11-21,865.20
2012-11-22,866.50
2012-11-23,868.50
2012-11-26,873.70
2012-11-27,880.10
2012-11-28,879.90
2012-11-29,887.40
2012-11-30,903.80
2012-12-03,907.00
2012-12-04,905.10
2012-12-06,913.00
2012-12-07,910.20
2012-12-11,913.60
2012-12-12,923.50
2012-12-13,921.50
2012-12-14,925.60
2012-12-17,922.50
2012-12-18,930.40
2012-12-19,941.80
2012-12-20,938.10
2012-12-21,932.50
2012-12-24,937.60
2012-12-25,942.20
2012-12-26,942.80
2012-12-27,953.90
2012-12-28,949.40
2013-01-02,958.60
2013-01-03,956.20
2013-01-04,960.20
2013-01-07,957.10
2013-01-08,957.40
2013-01-09,960.40
2013-01-10,945.40
2013-01-11,951.20
2013-01-14,957.90
2013-01-15,955.40
2013-01-16,942.80
2013-01-17,948.50
2013-01-18,958.50
2013-01-21,963.10
2013-01-22,959.10
2013-01-23,964.60
2013-01-24,967.80
2013-01-25,976.10
2013-01-28,982.50
2013-01-29,986.90
2013-01-30,998.40
2013-01-31,986.70
2013-02-01,1005.50
2013-02-04,1008.00
2013-02-05,1007.90
2013-02-06,998.80
2013-02-07,1002.10
2013-02-08,993.50
2013-02-11,980.70
2013-02-12,982.70
2013-02-13,1005.00
2013-02-14,1009.20
2013-02-15,1005.90
2013-02-18,1003.80
2013-02-19,1012.20
2013-02-20,1019.70
2013-02-21,1003.20
2013-02-22,1010.40
2013-02-26,1001.40
2013-02-27,988.60
2013-02-28,1006.90
2013-03-01,1009.30
2013-03-04,1008.60
2013-03-05,1016.20
2013-03-06,1022.80
2013-03-07,1022.30
2013-03-08,1024.00
2013-03-11,1029.90
2013-03-12,1031.60
2013-03-13,1031.00
2013-03-14,1039.90
2013-03-15,1045.10
2013-03-18,1042.00
2013-03-19,1030.20
2013-03-20,1017.80
2013-03-21,1005.50
2013-03-22,976.50
2013-03-25,1003.20
2013-03-26,1014.60
2013-03-27,1019.50
2013-03-28,1010.60
2013-03-29,1023.00
2013-04-01,1015.70
2013-04-02,1021.20
2013-04-03,1002.30
2013-04-04,1007.10
2013-04-05,974.00
2013-04-09,964.00
2013-04-10,983.70
2013-04-11,999.10
2013-04-12,1001.20
2013-04-17,994.50
2013-04-18,1004.40
2013-04-19,1013.70
2013-04-22,1024.50
2013-04-23,1019.90
2013-04-24,1022.40
2013-04-25,1039.80
2013-04-26,1042.40
2013-04-29,1046.40
2013-04-30,1058.60
2013-05-02,1051.80
2013-05-03,1043.70
2013-05-07,1068.00
2013-05-08,1075.90
2013-05-09,1081.10
2013-05-10,1081.90
2013-05-13,1076.10
2013-05-14,1080.50
2013-05-15,1086.50
2013-05-16,1075.10
2013-05-17,1085.30
2013-05-20,1097.90
2013-05-21,1093.10
2013-05-22,1084.40
2013-05-23,1065.30
2013-05-27,1051.30
2013-05-28,1075.80
2013-05-29,1056.20
2013-05-30,1045.50
2013-05-31,1031.00
2013-06-03,1015.90
2013-06-04,1028.50
2013-06-05,999.90
2013-06-06,988.30
2013-06-07,1006.80
2013-06-10,1014.00
2013-06-11,952.50
2013-06-12,952.90
2013-06-13,932.50
2013-06-14,977.00
2013-06-17,977.40
2013-06-18,938.50
2013-06-19,957.70
2013-06-20,930.80
2013-06-21,939.40
2013-06-24,911.30
2013-06-25,933.80
2013-06-26,963.10
2013-06-27,966.60
2013-06-28,975.50
2013-07-02,986.40
2013-07-03,964.10
2013-07-04,962.40
2013-07-05,969.70
2013-07-08,945.50
2013-07-09,937.40
2013-07-10,936.50
2013-07-11,983.80
2013-07-12,987.10
2013-07-15,983.80
2013-07-16,982.00
2013-07-17,982.10
2013-07-18,1005.70
2013-07-19,1000.70
2013-07-23,1023.70
2013-07-24,1013.90
2013-07-25,978.10
2013-07-26,992.90
2013-07-29,976.70
2013-07-30,962.50
2013-07-31,954.80
2013-08-01,968.90
2013-08-02,959.40
2013-08-05,960.20
2013-08-06,964.00
2013-08-07,965.70
2013-08-08,979.60
2013-08-09,962.10
2013-08-13,985.00
2013-08-14,985.60
2013-08-15,980.80
2013-08-16,972.70
2013-08-19,940.00
2013-08-20,916.90
2013-08-21,900.50
2013-08-22,914.30
2013-08-23,893.80
2013-08-26,898.50
2013-08-27,875.70
2013-08-28,865.60
2013-08-29,876.70
2013-08-30,869.90
2013-09-02,894.50
2013-09-03,882.80
2013-09-04,874.50
2013-09-05,885.60
2013-09-06,909.30
2013-09-09,946.70
2013-09-10,953.00
2013-09-11,969.50
2013-09-12,949.80
2013-09-13,951.60
2013-09-16,986.80
2013-09-17,985.40
2013-09-18,981.90
2013-09-19,1018.00
2013-09-20,1019.80
2013-09-23,982.90
2013-09-24,967.40
2013-09-25,982.90
2013-09-26,973.50
2013-09-27,962.00
2013-09-30,939.30
2013-10-01,956.20
2013-10-02,956.80
2013-10-03,977.90
2013-10-04,976.10
2013-10-07,960.60
2013-10-08,981.70
2013-10-09,980.40
2013-10-10,997.90
2013-10-11,999.10
2013-10-14,997.80
2013-10-15,1009.30
2013-10-16,995.40
2013-10-17,1003.80
2013-10-18,1016.00
2013-10-21,988.20
2013-10-22,993.80
2013-10-24,1004.60
2013-10-25,994.00
2013-10-28,983.80
2013-10-29,991.30
2013-10-30,976.10
2013-10-31,986.70
2013-11-01,977.10
2013-11-04,948.90
2013-11-05,962.80
2013-11-06,982.00
2013-11-07,975.60
2013-11-08,958.90
2013-11-11,961.80
2013-11-12,964.10
2013-11-13,955.30
2013-11-14,966.30
2013-11-15,972.00
2013-11-18,976.40
2013-11-19,967.20
2013-11-20,960.80
2013-11-21,934.00
2013-11-22,926.10
2013-11-25,921.00
2013-11-26,923.50
2013-11-27,936.20
2013-11-28,925.20
2013-11-29,934.30
2013-12-02,938.80
2013-12-03,946.40
2013-12-04,939.00
2013-12-06,927.10
2013-12-09,934.50
2013-12-11,934.30
2013-12-12,926.20
2013-12-13,911.80
2013-12-16,903.20
2013-12-17,909.90
2013-12-18,920.50
2013-12-19,917.20
2013-12-20,916.60
2013-12-23,904.60
2013-12-24,898.50
2013-12-25,901.80
2013-12-26,879.70
2013-12-27,872.30
2014-01-02,818.10
2014-01-03,820.70
2014-01-06,829.70
2014-01-07,853.10
2014-01-08,849.00
2014-01-09,853.50
2014-01-10,851.30
2014-01-13,874.90
2014-01-14,877.20
2014-01-15,859.80
2014-01-16,882.70
2014-01-17,877.20
2014-01-20,873.70
2014-01-21,873.30
2014-01-22,870.60
2014-01-23,890.10
2014-01-24,893.80
2014-01-27,872.70
2014-01-28,856.70
2014-01-29,856.70
2014-01-30,850.50
2014-01-31,856.90
2014-02-03,871.50
2014-02-04,859.90
