DATETIME,price
2024-09-27,33.5
2024-09-30,33.05
2024-10-01,32.48
2024-10-02,32.61
2024-10-03,32.6
2024-10-04,33.26
2024-10-07,33.12
2024-10-08,32.06
2024-10-09,31.61
2024-10-10,31.5
2024-10-11,32.05
2024-10-15,32.05
2024-10-16,32.81
2024-10-17,32.41
2024-10-18,32.78
2024-10-21,34.86
2024-10-22,34.92
2024-10-24,34.99
2024-10-25,34.0
2024-10-28,34.17
2024-10-29,34.95
2024-10-30,35.05
2024-10-31,34.4
2024-11-01,33.6
2024-11-04,33.59
2024-11-05,33.45
2024-11-06,32.99
2024-11-07,31.98
2024-11-08,32.28
2024-11-11,32.07
2024-11-12,30.92
2024-11-13,31.67
2024-11-14,30.48
2024-11-15,30.97
2024-11-18,31.32
2024-11-19,32.25
2024-11-20,31.6
2024-11-21,31.78
2024-11-22,31.82
2024-11-25,31.55
2024-11-26,31.13
2024-11-27,31.41
2024-11-28,30.75
2024-11-29,31.38
2024-12-02,30.9
2024-12-03,31.69
2024-12-04,31.54
2024-12-06,32.05
2024-12-09,32.0
2024-12-11,32.42
2024-12-12,32.95
2024-12-13,31.12
2024-12-16,31.1
2024-12-17,30.72
2024-12-18,30.83
2024-12-19,29.95
2024-12-20,29.29
2024-12-23,30.17
2024-12-24,29.99
2024-12-25,29.46
2024-12-26,30.06
2024-12-27,30.2
2024-12-30,29.87
2025-01-02,29.66
2025-01-03,30.13
2025-01-06,30.16
2025-01-07,30.59
2025-01-08,30.58
2025-01-09,30.61
2025-01-10,30.65
2025-01-13,30.33
2025-01-14,29.8
2025-01-15,30.43
2025-01-16,31.15
2025-01-17,30.77
2025-01-20,30.55
2025-01-21,30.65
2025-01-22,31.2
2025-01-23,30.8
2025-01-24,31.1
2025-01-27,30.7
2025-01-28,30.29
2025-01-29,30.66
2025-01-30,31.22
2025-01-31,31.8
2025-02-03,31.4
2025-02-04,31.7
2025-02-05,32.43
2025-02-06,32.1
2025-02-07,32.44
2025-02-10,32.28
2025-02-11,31.85
2025-02-13,32.28
2025-02-14,33.27
2025-02-17,32.4
2025-02-18,32.5
2025-02-19,33.03
2025-02-20,33.1
2025-02-21,32.91
2025-02-24,32.58
2025-02-25,32.19
2025-02-26,31.85
2025-02-27,31.84
2025-02-28,31.24
2025-03-03,31.45
2025-03-04,31.9
2025-03-05,32.28
2025-03-06,32.36
2025-03-07,32.68
2025-03-10,32.61
2025-03-11,32.49
2025-03-12,32.99
2025-03-13,33.03
2025-03-14,34.0
