DATETIME,price
2001-08-27,43.373
2001-08-28,43.418
2001-08-29,43.348
2001-08-30,43.358
2001-08-31,43.173
2001-09-03,43.153
2001-09-04,43.308
2001-09-05,43.478
2001-09-06,43.598
2001-09-07,43.708
2001-09-10,43.758
2001-09-11,43.573
2001-09-12,43.528
2001-09-13,43.328
2001-09-14,43.258
2001-09-17,43.123
2001-09-18,43.273
2001-09-19,43.293
2001-09-20,43.263
2001-09-21,43.393
2001-09-24,43.548
2001-09-25,43.573
2001-09-26,43.503
2001-09-27,43.543
2001-09-28,43.573
2001-10-01,43.698
2001-10-02,43.803
2001-10-03,43.798
2001-10-04,43.768
2001-10-05,43.883
2001-10-08,43.903
2001-10-09,43.953
2001-10-10,43.923
2001-10-11,43.888
2001-10-12,43.843
2001-10-15,43.723
2001-10-16,43.748
2001-10-17,43.848
2001-10-18,43.873
2001-10-19,43.873
2001-10-22,43.888
2001-10-23,43.923
2001-10-24,43.913
2001-10-25,43.898
2001-10-26,44.003
2001-10-29,43.918
2001-10-30,43.823
2001-10-31,43.833
2001-11-01,43.853
2001-11-02,43.848
2001-11-05,43.793
2001-11-06,43.798
2001-11-07,43.778
2001-11-08,43.573
2001-11-09,43.573
2001-11-12,43.508
2001-11-13,43.523
2001-11-14,43.553
2001-11-15,43.573
2001-11-16,43.628
2001-11-19,43.613
2001-11-20,43.523
2001-11-21,43.478
2001-11-22,43.473
2001-11-23,43.258
2001-11-26,43.268
2001-11-27,43.158
2001-11-28,43.223
2001-11-29,43.193
2001-11-30,43.038
2001-12-03,43.113
2001-12-04,43.153
2001-12-05,43.068
2001-12-06,42.998
2001-12-07,42.948
2001-12-10,42.968
2001-12-11,42.878
2001-12-12,42.813
2001-12-13,42.808
2001-12-14,42.948
2001-12-17,42.978
2001-12-18,42.928
2001-12-19,42.888
2001-12-20,42.988
2001-12-21,43.093
2001-12-24,43.078
2001-12-25,43.128
2001-12-26,43.193
2001-12-27,43.383
2001-12-28,43.318
2001-12-31,43.328
2002-01-02,43.323
2002-01-03,43.148
2002-01-04,43.013
2002-01-07,42.963
2002-01-08,43.203
2002-01-09,43.188
2002-01-10,43.213
2002-01-11,43.103
2002-01-14,43.023
2002-01-15,42.928
2002-01-16,43.048
2002-01-17,43.038
2002-01-18,43.093
2002-01-21,43.093
2002-01-22,43.338
2002-01-23,43.293
2002-01-24,43.293
2002-01-25,43.193
2002-01-28,43.178
2002-01-29,43.158
2002-01-30,43.083
2002-01-31,43.173
2002-02-01,43.158
2002-02-04,43.073
2002-02-05,43.128
2002-02-06,43.078
2002-02-07,42.943
2002-02-08,43.028
2002-02-11,42.973
2002-02-12,42.908
2002-02-13,42.943
2002-02-14,42.658
2002-02-15,42.733
2002-02-18,42.718
2002-02-19,42.858
2002-02-20,42.888
2002-02-21,42.988
2002-02-22,43.028
2002-02-25,42.943
2002-02-26,42.978
2002-02-27,42.928
2002-02-28,42.788
2002-03-01,42.798
2002-03-04,42.723
2002-03-05,42.713
2002-03-06,42.618
2002-03-07,42.338
2002-03-08,42.478
2002-03-11,42.403
2002-03-12,42.308
2002-03-13,42.413
2002-03-14,42.313
2002-03-15,42.363
2002-03-18,42.458
2002-03-19,42.583
2002-03-20,42.438
2002-03-21,42.408
2002-03-22,42.498
2002-03-25,42.508
2002-03-26,42.473
2002-03-27,42.438
2002-03-28,42.668
2002-03-29,42.623
2002-04-01,42.723
2002-04-02,42.883
2002-04-03,42.768
2002-04-04,42.723
2002-04-05,42.678
2002-04-08,42.723
2002-04-09,42.623
2002-04-10,42.623
2002-04-11,42.648
2002-04-12,42.658
2002-04-15,42.598
2002-04-16,42.568
2002-04-17,42.458
2002-04-18,42.373
2002-04-19,42.413
2002-04-22,42.443
2002-04-23,42.428
2002-04-24,42.408
2002-04-25,42.358
2002-04-26,42.343
2002-04-29,42.348
2002-04-30,42.388
2002-05-01,42.343
2002-05-02,42.258
2002-05-03,42.198
2002-05-06,42.078
2002-05-07,42.048
2002-05-08,42.068
2002-05-09,42.038
2002-05-10,41.998
2002-05-13,41.948
2002-05-14,42.018
2002-05-15,41.978
2002-05-16,41.988
2002-05-17,41.708
2002-05-20,41.723
2002-05-21,41.833
2002-05-22,41.903
2002-05-23,41.988
2002-05-24,41.968
2002-05-27,41.903
2002-05-28,41.678
2002-05-29,41.588
2002-05-30,41.548
2002-05-31,41.468
2002-06-03,41.528
2002-06-04,41.468
2002-06-05,41.628
2002-06-06,41.598
2002-06-07,41.503
2002-06-10,41.588
2002-06-11,41.458
2002-06-12,41.428
2002-06-13,41.348
2002-06-14,41.278
2002-06-17,41.303
2002-06-18,41.308
2002-06-19,41.248
2002-06-20,41.188
2002-06-21,41.153
2002-06-24,40.938
2002-06-25,40.998
2002-06-26,40.883
2002-06-27,40.778
2002-06-28,40.638
2002-07-01,40.708
2002-07-02,40.633
2002-07-03,40.713
2002-07-04,40.693
2002-07-05,40.743
2002-07-08,40.518
2002-07-09,40.363
2002-07-10,40.173
2002-07-11,40.293
2002-07-12,40.193
2002-07-15,39.818
2002-07-16,39.463
2002-07-17,39.618
2002-07-18,39.688
2002-07-19,39.568
2002-07-22,39.558
2002-07-23,40.038
2002-07-24,40.283
2002-07-25,40.203
2002-07-26,41.148
2002-07-29,41.578
2002-07-30,41.248
2002-07-31,41.148
2002-08-01,41.243
2002-08-02,41.153
2002-08-05,41.248
2002-08-06,41.723
2002-08-07,41.498
2002-08-08,41.598
2002-08-09,41.478
2002-08-12,41.248
2002-08-13,41.258
2002-08-14,41.053
2002-08-15,40.948
2002-08-16,40.903
2002-08-19,41.178
2002-08-20,41.008
2002-08-21,41.178
2002-08-22,41.378
2002-08-23,41.408
2002-08-26,41.463
2002-08-27,41.303
2002-08-28,41.323
2002-08-29,41.333
2002-08-30,41.343
2002-09-02,41.298
2002-09-03,41.293
2002-09-04,41.333
2002-09-05,41.293
2002-09-06,41.398
2002-09-09,41.528
2002-09-10,41.563
2002-09-11,41.623
2002-09-12,41.588
2002-09-13,41.998
2002-09-16,42.408
2002-09-17,42.128
2002-09-18,42.048
2002-09-19,42.083
2002-09-20,42.473
2002-09-23,42.558
2002-09-24,42.548
2002-09-25,42.568
2002-09-26,42.528
2002-09-27,42.508
2002-09-30,42.383
2002-10-01,42.583
2002-10-02,42.613
2002-10-03,42.668
2002-10-04,42.638
2002-10-07,42.978
2002-10-08,42.878
2002-10-09,42.798
2002-10-10,42.928
2002-10-11,42.998
2002-10-14,43.163
2002-10-15,43.298
2002-10-16,42.938
2002-10-17,42.843
2002-10-18,42.878
2002-10-21,42.733
2002-10-22,42.743
2002-10-23,42.778
2002-10-24,42.718
2002-10-25,42.568
2002-10-28,42.543
2002-10-29,42.438
2002-10-30,42.558
2002-10-31,42.428
2002-11-01,42.398
2002-11-04,42.388
2002-11-05,42.358
2002-11-06,42.448
2002-11-07,42.303
2002-11-08,42.093
2002-11-11,42.088
2002-11-12,42.288
2002-11-13,42.423
2002-11-14,42.518
2002-11-15,42.573
2002-11-18,42.488
2002-11-19,42.548
2002-11-20,42.628
2002-11-21,42.528
2002-11-22,42.498
2002-11-25,42.528
2002-11-26,42.518
2002-11-27,42.508
2002-11-28,42.508
2002-11-29,42.588
2002-12-02,42.828
2002-12-03,42.768
2002-12-04,42.823
2002-12-05,42.928
2002-12-06,42.698
2002-12-09,42.528
2002-12-10,42.508
2002-12-11,42.488
2002-12-12,42.468
2002-12-13,42.398
2002-12-16,42.303
2002-12-17,42.228
2002-12-18,42.123
2002-12-19,42.128
2002-12-20,42.238
2002-12-23,42.123
2002-12-24,42.043
2002-12-26,42.153
2002-12-27,42.383
2002-12-30,42.408
2002-12-31,42.228
2003-01-02,42.278
2003-01-03,42.118
2003-01-06,41.958
2003-01-07,41.978
2003-01-08,41.773
2003-01-09,41.828
2003-01-10,41.948
2003-01-13,41.878
2003-01-14,41.728
2003-01-15,41.768
2003-01-16,41.778
2003-01-17,41.858
2003-01-20,41.908
2003-01-21,41.938
2003-01-22,41.838
2003-01-23,41.768
2003-01-24,41.778
2003-01-27,41.798
2003-01-28,41.793
2003-01-29,41.768
2003-01-30,41.843
2003-01-31,41.883
2003-02-03,41.923
2003-02-04,41.818
2003-02-05,41.883
2003-02-06,41.873
2003-02-07,42.038
2003-02-10,42.258
2003-02-11,42.198
2003-02-12,42.133
2003-02-13,42.173
2003-02-14,42.208
2003-02-17,42.323
2003-02-18,42.128
