DATETIME,price
2024-09-02,138.33
2024-09-03,137.37
2024-09-04,136.8
2024-09-05,135.37
2024-09-06,134.56
2024-09-09,135.28
2024-09-10,135.11
2024-09-11,133.4
2024-09-12,134.57
2024-09-13,132.47
2024-09-16,132.3
2024-09-17,132.65
2024-09-18,133.74
2024-09-19,134.91
2024-09-20,136.03
2024-09-23,135.79
2024-09-24,136.48
2024-09-25,136.31
2024-09-26,137.0
2024-09-27,135.48
2024-09-30,134.89
2024-10-01,136.17
2024-10-02,136.7
2024-10-03,139.3
2024-10-04,138.91
2024-10-07,140.71
2024-10-08,140.32
2024-10-09,141.08
2024-10-10,141.35
2024-10-11,141.47
2024-10-15,141.4
2024-10-16,141.77
2024-10-17,142.22
2024-10-18,142.45
2024-10-21,142.61
2024-10-22,143.45
2024-10-24,144.61
2024-10-25,144.74
2024-10-28,145.7
2024-10-29,146.15
2024-10-30,145.9
2024-10-31,145.14
2024-11-01,145.63
2024-11-04,144.65
2024-11-05,145.0
2024-11-06,146.64
2024-11-07,146.85
2024-11-08,145.3
2024-11-11,146.68
2024-11-12,147.14
2024-11-13,147.96
2024-11-14,149.24
2024-11-15,148.42
2024-11-18,147.83
2024-11-19,146.79
2024-11-20,148.92
2024-11-21,147.59
2024-11-22,147.5
2024-11-25,147.65
2024-11-26,147.21
2024-11-27,144.73
2024-11-28,145.3
2024-11-29,143.62
2024-12-02,143.87
2024-12-03,143.34
2024-12-04,144.02
2024-12-06,144.1
2024-12-09,144.03
2024-12-11,146.25
2024-12-12,146.25
2024-12-13,147.18
2024-12-16,147.58
2024-12-17,147.64
2024-12-18,147.57
2024-12-19,150.85
2024-12-20,150.57
2024-12-23,150.59
2024-12-24,151.06
2024-12-25,151.25
2024-12-26,151.54
2024-12-27,151.81
2024-12-30,151.95
2025-01-02,150.94
2025-01-03,151.29
2025-01-06,151.85
2025-01-07,151.76
2025-01-08,152.33
2025-01-09,152.34
2025-01-10,151.98
2025-01-13,151.38
2025-01-14,152.31
2025-01-15,151.16
2025-01-16,150.13
2025-01-17,150.15
2025-01-20,150.65
2025-01-21,150.28
2025-01-22,150.12
2025-01-23,150.91
2025-01-24,150.05
2025-01-27,149.11
2025-01-28,149.99
2025-01-29,149.78
2025-01-30,148.99
2025-01-31,149.19
2025-02-03,149.69
2025-02-04,149.82
2025-02-05,147.44
2025-02-06,147.37
2025-02-07,146.38
2025-02-10,146.94
2025-02-11,146.69
2025-02-13,148.77
2025-02-14,147.4
2025-02-17,146.57
2025-02-18,146.66
2025-02-19,146.44
2025-02-20,145.29
2025-02-21,145.35
2025-02-24,144.52
2025-02-25,144.62
2025-02-26,144.4
2025-02-27,144.78
2025-02-28,145.62
2025-03-03,145.41
2025-03-04,144.14
2025-03-05,144.49
2025-03-06,143.01
2025-03-07,142.6
2025-03-10,142.59
2025-03-11,142.57
2025-03-12,143.86
2025-03-13,143.41
2025-03-14,144.22
2025-03-17,143.97
2025-03-18,145.12
2025-03-19,145.12
2025-03-20,144.09
2025-03-21,144.63
2025-03-24,145.16
2025-03-25,146.04
2025-03-26,145.65
2025-03-27,146.37
2025-03-28,146.29
2025-03-31,144.88
2025-04-01,145.34
2025-04-02,145.23
2025-04-03,142.27
2025-04-04,142.22
2025-04-08,143.25
2025-04-09,141.06
2025-04-10,141.93
2025-04-11,138.15
2025-04-16,138.93
2025-04-17,138.78
2025-04-18,138.53
2025-04-21,136.8
2025-04-22,136.5
2025-04-23,138.03
2025-04-24,138.82
2025-04-25,139.6
2025-04-28,139.6
2025-04-29,138.99
2025-04-30,139.35
2025-05-02,140.81
2025-05-06,139.6
2025-05-07,139.67
2025-05-08,141.17
2025-05-09,141.59
2025-05-13,144.34
2025-05-14,142.18
2025-05-15,142.39
2025-05-16,142.11
2025-05-19,141.43
2025-05-20,141.17
2025-05-21,140.55
2025-05-22,140.05
2025-05-23,139.89
2025-05-26,139.55
2025-05-27,140.66
2025-05-28,140.81
2025-05-29,141.95
2025-05-30,140.78
2025-06-04,140.75
2025-06-05,140.06
2025-06-06,140.98
2025-06-09,140.97
2025-06-10,141.55
2025-06-11,142.13
2025-06-12,140.65
2025-06-13,141.03
2025-06-16,141.15
2025-06-17,141.9
2025-06-18,142.0
2025-06-19,142.4
2025-06-20,142.43
2025-06-23,144.97
2025-06-24,142.0
2025-06-25,142.77
2025-06-26,141.2
2025-06-27,141.73
2025-06-30,141.5
2025-07-01,140.2
2025-07-02,141.54
2025-07-03,141.21
2025-07-04,141.64
2025-07-07,142.73
2025-07-08,143.56
2025-07-09,143.91
2025-07-11,144.37
2025-07-14,144.57
2025-07-15,145.08
2025-07-16,146.1
2025-07-17,146.2
2025-07-18,146.17
2025-07-21,145.4
2025-07-22,145.03
2025-07-23,144.04
2025-07-24,144.17
2025-07-25,145.39
2025-07-29,146.17
2025-07-30,145.68
2025-07-31,147.56
2025-08-01,148.16
2025-08-04,145.49
2025-08-05,145.3
2025-08-06,145.47
2025-08-07,145.06
2025-08-08,145.46
2025-08-13,145.12
2025-08-14,144.51
2025-08-15,144.83
2025-08-18,145.43
2025-08-19,145.74
2025-08-20,145.46
2025-08-21,145.67
2025-08-22,146.73
2025-08-25,145.4
2025-08-26,145.57
2025-08-27,146.0
2025-08-28,145.24
2025-08-29,145.21
2025-09-01,145.19
2025-09-02,146.65
2025-09-03,146.62
2025-09-04,146.56
2025-09-05,146.33
2025-09-08,145.98
2025-09-09,144.68
2025-09-10,145.71
2025-09-11,146.28
2025-09-12,146.3
2025-09-15,145.71
2025-09-16,145.27
2025-09-17,144.8
2025-09-18,145.7
2025-09-19,146.26
2025-09-22,146.46
2025-09-23,146.09
2025-09-24,146.88
2025-09-25,147.35
2025-09-26,148.34
2025-09-29,147.25
2025-09-30,146.57
2025-10-01,145.81
2025-10-02,145.26
2025-10-03,146.05
2025-10-06,149.03
2025-10-07,149.4
2025-10-08,151.69
2025-10-09,151.33
2025-10-10,151.56
2025-10-14,150.8
2025-10-15,150.22
2025-10-16,150.1
2025-10-17,148.5
2025-10-20,149.69
2025-10-21,150.67
2025-10-22,150.71
2025-10-24,151.92
2025-10-27,151.66
2025-10-28,150.93
