DATETIME,price
2001-08-27,44.25
2001-08-28,44.295
2001-08-29,44.225
2001-08-30,44.235
2001-08-31,44.05
2001-09-03,44.03
2001-09-04,44.185
2001-09-05,44.355
2001-09-06,44.475
2001-09-07,44.585
2001-09-10,44.635
2001-09-11,44.45
2001-09-12,44.405
2001-09-13,44.205
2001-09-14,44.135
2001-09-17,44
2001-09-18,44.15
2001-09-19,44.17
2001-09-20,44.14
2001-09-21,44.27
2001-09-24,44.425
2001-09-25,44.45
2001-09-26,44.38
2001-09-27,44.42
2001-09-28,44.45
2001-10-01,44.575
2001-10-02,44.68
2001-10-03,44.675
2001-10-04,44.645
2001-10-05,44.76
2001-10-08,44.78
2001-10-09,44.83
2001-10-10,44.8
2001-10-11,44.765
2001-10-12,44.72
2001-10-15,44.6
2001-10-16,44.625
2001-10-17,44.725
2001-10-18,44.75
2001-10-19,44.75
2001-10-22,44.765
2001-10-23,44.8
2001-10-24,44.79
2001-10-25,44.775
2001-10-26,44.88
2001-10-29,44.795
2001-10-30,44.7
2001-10-31,44.71
2001-11-01,44.73
2001-11-02,44.725
2001-11-05,44.67
2001-11-06,44.675
2001-11-07,44.655
2001-11-08,44.45
2001-11-09,44.45
2001-11-12,44.385
2001-11-13,44.4
2001-11-14,44.43
2001-11-15,44.45
2001-11-16,44.505
2001-11-19,44.49
2001-11-20,44.4
2001-11-21,44.355
2001-11-22,44.35
2001-11-23,44.135
2001-11-26,44.145
2001-11-27,44.035
2001-11-28,44.1
2001-11-29,44.07
2001-11-30,43.915
2001-12-03,43.99
2001-12-04,44.03
2001-12-05,43.945
2001-12-06,43.875
2001-12-07,43.825
2001-12-10,43.845
2001-12-11,43.755
2001-12-12,43.69
2001-12-13,43.685
2001-12-14,43.825
2001-12-17,43.855
2001-12-18,43.805
2001-12-19,43.765
2001-12-20,43.865
2001-12-21,43.97
2001-12-24,43.955
2001-12-25,44.005
2001-12-26,44.07
2001-12-27,44.26
2001-12-28,44.195
2001-12-31,44.205
2002-01-02,44.2
2002-01-03,44.025
2002-01-04,43.89
2002-01-07,43.84
2002-01-08,44.08
2002-01-09,44.065
2002-01-10,44.09
2002-01-11,43.98
2002-01-14,43.9
2002-01-15,43.805
2002-01-16,43.925
2002-01-17,43.915
2002-01-18,43.97
2002-01-21,43.97
2002-01-22,44.215
2002-01-23,44.17
2002-01-24,44.17
2002-01-25,44.07
2002-01-28,44.055
2002-01-29,44.035
2002-01-30,43.96
2002-01-31,44.05
2002-02-01,44.035
2002-02-04,43.95
2002-02-05,44.005
2002-02-06,43.955
2002-02-07,43.82
2002-02-08,43.905
2002-02-11,43.85
2002-02-12,43.785
2002-02-13,43.82
2002-02-14,43.535
2002-02-15,43.61
2002-02-18,43.595
2002-02-19,43.735
2002-02-20,43.765
2002-02-21,43.865
2002-02-22,43.905
2002-02-25,43.82
2002-02-26,43.855
2002-02-27,43.805
2002-02-28,43.665
2002-03-01,43.675
2002-03-04,43.6
2002-03-05,43.59
2002-03-06,43.495
2002-03-07,43.215
2002-03-08,43.355
2002-03-11,43.28
2002-03-12,43.185
2002-03-13,43.29
2002-03-14,43.19
2002-03-15,43.24
2002-03-18,43.335
2002-03-19,43.46
2002-03-20,43.315
2002-03-21,43.285
2002-03-22,43.375
2002-03-25,43.385
2002-03-26,43.35
2002-03-27,43.315
2002-03-28,43.545
2002-03-29,43.5
2002-04-01,43.6
2002-04-02,43.76
2002-04-03,43.645
2002-04-04,43.6
2002-04-05,43.555
2002-04-08,43.6
2002-04-09,43.5
2002-04-10,43.5
2002-04-11,43.525
