DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2006-12-01 07:30:00,118.26,20070600,118.66,20070300,118.26,20070600
2006-12-01 07:45:00,118.26,20070600,118.61,20070300,118.26,20070600
2006-12-01 08:00:00,118.21,20070600,118.6,20070300,118.21,20070600
2006-12-01 08:15:00,118.21,20070600,118.59,20070300,118.21,20070600
2006-12-01 08:30:00,,20070600,118.63,20070300,,20070600
2006-12-01 08:45:00,,20070600,118.59,20070300,,20070600
2006-12-01 09:00:00,118.15,20070600,118.53,20070300,118.15,20070600
2006-12-01 09:15:00,,20070600,118.54,20070300,,20070600
2006-12-01 09:30:00,,20070600,118.59,20070300,,20070600
2006-12-01 09:45:00,,20070600,118.54,20070300,,20070600
2006-12-01 10:00:00,,20070600,118.53,20070300,,20070600
2006-12-01 10:15:00,,20070600,118.53,20070300,,20070600
2006-12-01 10:30:00,,20070600,118.56,20070300,,20070600
2006-12-01 10:45:00,,20070600,118.56,20070300,,20070600
2006-12-01 11:00:00,,20070600,118.55,20070300,,20070600
2006-12-01 11:15:00,118.16,20070600,118.56,20070300,118.16,20070600
2006-12-01 11:30:00,118.17,20070600,118.58,20070300,118.17,20070600
2006-12-01 11:45:00,118.2,20070600,118.58,20070300,118.2,20070600
2006-12-01 12:00:00,118.17,20070600,118.57,20070300,118.17,20070600
2006-12-01 12:15:00,,20070600,118.59,20070300,,20070600
2006-12-01 12:30:00,,20070600,118.61,20070300,,20070600
2006-12-01 12:45:00,,20070600,118.58,20070300,,20070600
2006-12-01 13:00:00,118.19,20070600,118.56,20070300,118.19,20070600
2006-12-01 13:15:00,,20070600,118.57,20070300,,20070600
2006-12-01 13:30:00,,20070600,118.54,20070300,,20070600
2006-12-01 13:45:00,118.17,20070600,118.56,20070300,118.17,20070600
2006-12-01 14:00:00,118.17,20070600,118.59,20070300,118.17,20070600
2006-12-01 14:15:00,118.18,20070600,118.58,20070300,118.18,20070600
2006-12-01 14:30:00,118.19,20070600,118.58,20070300,118.19,20070600
2006-12-01 14:45:00,118.19,20070600,118.67,20070300,118.19,20070600
2006-12-01 15:00:00,118.35,20070600,118.86,20070300,118.35,20070600
2006-12-01 15:15:00,118.51,20070600,118.91,20070300,118.51,20070600
2006-12-01 15:30:00,118.63,20070600,119.01,20070300,118.63,20070600
2006-12-01 15:45:00,118.54,20070600,118.97,20070300,118.54,20070600
2006-12-01 16:00:00,118.49,20070600,118.94,20070300,118.49,20070600
2006-12-01 16:15:00,,20070600,118.92,20070300,,20070600
2006-12-01 16:30:00,,20070600,118.92,20070300,,20070600
2006-12-01 16:45:00,,20070600,118.89,20070300,,20070600
2006-12-01 17:00:00,,20070600,118.92,20070300,,20070600
2006-12-01 17:15:00,,20070600,118.91,20070300,,20070600
2006-12-01 17:30:00,,20070600,118.91,20070300,,20070600
2006-12-01 17:45:00,,20070600,118.9,20070300,,20070600
2006-12-01 18:00:00,,20070600,118.91,20070300,,20070600
2006-12-01 18:15:00,,20070600,118.91,20070300,,20070600
2006-12-01 18:30:00,,20070600,118.95,20070300,,20070600
2006-12-01 18:45:00,,20070600,118.94,20070300,,20070600
2006-12-01 19:45:00,,20070600,118.93,20070300,,20070600
2006-12-01 20:00:00,,20070600,118.93,20070300,,20070600
2006-12-01 20:15:00,,20070600,118.92,20070300,,20070600
2006-12-01 20:30:00,,20070600,118.93,20070300,,20070600
2006-12-01 20:45:00,,20070600,118.92,20070300,,20070600
2006-12-04 07:00:00,,20070600,118.88,20070300,,20070600
2006-12-04 07:15:00,118.49,20070600,118.91,20070300,118.49,20070600
2006-12-04 07:30:00,118.42,20070600,118.86,20070300,118.42,20070600
2006-12-04 07:45:00,,20070600,118.87,20070300,,20070600
2006-12-04 08:00:00,,20070600,118.92,20070300,,20070600
2006-12-04 08:15:00,118.43,20070600,118.87,20070300,118.43,20070600
2006-12-04 08:30:00,118.46,20070600,118.89,20070300,118.46,20070600
2006-12-04 08:45:00,,20070600,118.89,20070300,,20070600
2006-12-04 09:00:00,,20070600,118.89,20070300,,20070600
2006-12-04 09:15:00,,20070600,118.88,20070300,,20070600
2006-12-04 09:30:00,,20070600,118.88,20070300,,20070600
2006-12-04 09:45:00,118.42,20070600,118.88,20070300,118.42,20070600
2006-12-04 10:00:00,118.41,20070600,118.89,20070300,118.41,20070600
2006-12-04 10:15:00,118.43,20070600,118.89,20070300,118.43,20070600
2006-12-04 10:30:00,118.42,20070600,118.88,20070300,118.42,20070600
2006-12-04 10:45:00,,20070600,118.88,20070300,,20070600
2006-12-04 11:00:00,118.41,20070600,118.86,20070300,118.41,20070600
2006-12-04 11:15:00,118.41,20070600,118.86,20070300,118.41,20070600
2006-12-04 11:30:00,118.42,20070600,118.87,20070300,118.42,20070600
2006-12-04 11:45:00,118.42,20070600,118.88,20070300,118.42,20070600
2006-12-04 12:00:00,118.41,20070600,118.89,20070300,118.41,20070600
2006-12-04 12:15:00,118.44,20070600,118.88,20070300,118.44,20070600
2006-12-04 12:30:00,,20070600,118.86,20070300,,20070600
2006-12-04 12:45:00,118.37,20070600,118.84,20070300,118.37,20070600
2006-12-04 13:00:00,118.39,20070600,118.83,20070300,118.39,20070600
2006-12-04 13:15:00,118.36,20070600,118.8,20070300,118.36,20070600
2006-12-04 13:30:00,118.36,20070600,118.83,20070300,118.36,20070600
2006-12-04 13:45:00,118.41,20070600,118.85,20070300,118.41,20070600
2006-12-04 14:00:00,118.43,20070600,118.89,20070300,118.43,20070600
2006-12-04 14:15:00,118.37,20070600,118.82,20070300,118.37,20070600
2006-12-04 14:30:00,118.39,20070600,118.84,20070300,118.39,20070600
2006-12-04 14:45:00,118.39,20070600,118.84,20070300,118.39,20070600
2006-12-04 15:00:00,118.38,20070600,118.85,20070300,118.38,20070600
2006-12-04 15:15:00,,20070600,118.84,20070300,,20070600
2006-12-04 15:30:00,118.42,20070600,118.87,20070300,118.42,20070600
2006-12-04 15:45:00,118.44,20070600,118.88,20070300,118.44,20070600
2006-12-04 16:00:00,118.45,20070600,118.9,20070300,118.45,20070600
2006-12-04 16:15:00,118.45,20070600,118.9,20070300,118.45,20070600
2006-12-04 16:30:00,118.43,20070600,118.87,20070300,118.43,20070600
2006-12-04 16:45:00,118.41,20070600,118.86,20070300,118.41,20070600
2006-12-04 17:00:00,118.43,20070600,118.86,20070300,118.43,20070600
2006-12-04 17:15:00,,20070600,118.87,20070300,,20070600
2006-12-04 17:30:00,,20070600,118.87,20070300,,20070600
2006-12-04 17:45:00,118.43,20070600,118.9,20070300,118.43,20070600
2006-12-04 18:00:00,,20070600,118.9,20070300,,20070600
2006-12-04 18:15:00,,20070600,118.9,20070300,,20070600
2006-12-04 18:30:00,,20070600,118.92,20070300,,20070600
2006-12-04 18:45:00,,20070600,118.89,20070300,,20070600
2006-12-04 19:00:00,,20070600,118.88,20070300,,20070600
2006-12-04 19:15:00,,20070600,118.89,20070300,,20070600
2006-12-04 19:30:00,,20070600,118.88,20070300,,20070600
2006-12-04 20:00:00,,20070600,118.92,20070300,,20070600
2006-12-04 20:15:00,,20070600,118.91,20070300,,20070600
2006-12-04 20:30:00,,20070600,118.9,20070300,,20070600
2006-12-04 20:45:00,,20070600,118.89,20070300,,20070600
2006-12-05 07:00:00,118.49,20070600,118.92,20070300,118.49,20070600
2006-12-05 07:15:00,118.49,20070600,118.93,20070300,118.49,20070600
2006-12-05 07:30:00,,20070600,118.95,20070300,,20070600
2006-12-05 07:45:00,,20070600,118.96,20070300,,20070600
