DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2015-12-14 06:00:00,18460.0,18530,18530,20160200,20160400,20160400
2015-12-15 06:00:00,18250.0,18330,18330,20160200,20160400,20160400
2015-12-16 06:00:00,18340.0,18400,18400,20160200,20160400,20160400
2015-12-17 06:00:00,18430.0,18500,18500,20160200,20160400,20160400
2015-12-18 06:00:00,18230.0,18310,18310,20160200,20160400,20160400
2015-12-21 06:00:00,18490.0,18560,18560,20160200,20160400,20160400
2015-12-22 06:00:00,18590.0,18660,18660,20160200,20160400,20160400
2015-12-23 06:00:00,18480.0,18560,18560,20160200,20160400,20160400
2015-12-24 06:00:00,18510.0,18580,18580,20160200,20160400,20160400
2015-12-25 06:00:00,18530.0,18610,18610,20160200,20160400,20160400
2015-12-28 06:00:00,18530.0,18600,18600,20160200,20160400,20160400
2015-12-29 06:00:00,18460.0,18530,18530,20160200,20160400,20160400
2015-12-30 06:00:00,18360.0,18440,18440,20160200,20160400,20160400
2016-01-04 06:00:00,18500.0,18580,18580,20160200,20160400,20160400
2016-01-05 06:00:00,18610.0,18670,18670,20160200,20160400,20160400
2016-01-06 06:00:00,18740.0,18800,18800,20160200,20160400,20160400
2016-01-07 06:00:00,18980.0,19070,19070,20160200,20160400,20160400
2016-01-08 06:00:00,19020.0,19110,19110,20160200,20160400,20160400
2016-01-11 06:00:00,19020.0,19110,19110,20160200,20160400,20160400
2016-01-12 06:00:00,18990.0,19080,19080,20160200,20160400,20160400
2016-01-13 06:00:00,18730.0,18810,18810,20160200,20160400,20160400
2016-01-14 06:00:00,18920.0,19000,19000,20160200,20160400,20160400
2016-01-15 06:00:00,18810.0,18890,18890,20160200,20160400,20160400
2016-01-18 06:00:00,18910.0,18990,18990,20160200,20160400,20160400
2016-01-19 06:00:00,18860.0,18940,18940,20160200,20160400,20160400
2016-01-20 06:00:00,18910.0,18990,18990,20160200,20160400,20160400
2016-01-21 06:00:00,18990.0,19060,19060,20160200,20160400,20160400
2016-01-22 06:00:00,18850.0,18920,18920,20160200,20160400,20160400
2016-01-25 06:00:00,18960.0,19030,19030,20160200,20160400,20160400
2016-01-26 06:00:00,19060.0,19130,19130,20160200,20160400,20160400
2016-01-27 06:00:00,19060.0,19120,19120,20160200,20160400,20160400
2016-01-28 06:00:00,19070.0,19130,19130,20160200,20160400,20160400
2016-01-29 06:00:00,18940.0,19010,19010,20160200,20160400,20160400
2016-02-01 06:00:00,19000.0,19060,19060,20160200,20160400,20160400
2016-02-02 06:00:00,19120.0,19180,19180,20160200,20160400,20160400
2016-02-03 06:00:00,19180.0,19230,19230,20160200,20160400,20160400
2016-02-04 06:00:00,19370.0,19410,19410,20160200,20160400,20160400
2016-02-05 06:00:00,19530.0,19570,19570,20160200,20160400,20160400
2016-02-08 06:00:00,19800.0,19830,19830,20160200,20160400,20160400
2016-02-09 06:00:00,20060.0,20100,20100,20160200,20160400,20160400
2016-02-10 06:00:00,19890.0,19940,19940,20160200,20160400,20160400
2016-02-11 06:00:00,20390.0,20420,20420,20160200,20160400,20160400
2016-02-12 06:00:00,20940.0,21020,21020,20160400,20160600,20160600
2016-02-15 06:00:00,20530.0,20590,20590,20160400,20160600,20160600
2016-02-16 06:00:00,20530.0,20590,20590,20160400,20160600,20160600
2016-02-17 06:00:00,20440.0,20510,20510,20160400,20160600,20160600
2016-02-18 06:00:00,20440.0,20510,20510,20160400,20160600,20160600
2016-02-19 06:00:00,20770.0,20830,20830,20160400,20160600,20160600
2016-02-23 06:00:00,20720.0,20780,20780,20160400,20160600,20160600
2016-02-24 06:00:00,20890.0,20940,20940,20160400,20160600,20160600
2016-02-25 06:00:00,21000.0,21040,21040,20160400,20160600,20160600
2016-02-26 06:00:00,20890.0,20930,20930,20160400,20160600,20160600
2016-02-29 06:00:00,20900.0,20940,20940,20160400,20160600,20160600
2016-03-01 06:00:00,21020.0,21050,21050,20160400,20160600,20160600
2016-03-02 06:00:00,20830.0,20870,20870,20160400,20160600,20160600
