DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-08-23 01:00:00,49955.0,50000.0,50000.0,20210900,20211000,20211000
2021-08-23 02:00:00,50200.0,,,20210900,20211000,20211000
2021-08-23 03:00:00,50430.0,50300.0,50300.0,20210900,20211000,20211000
2021-08-23 04:00:00,50475.0,,,20210900,20211000,20211000
2021-08-23 05:00:00,49300.0,49475.0,49475.0,20210900,20211000,20211000
2021-08-23 06:00:00,50345.0,,,20210900,20211000,20211000
2021-08-23 07:00:00,50315.0,50500.0,50500.0,20210900,20211000,20211000
2021-08-23 08:00:00,50395.0,50555.0,50555.0,20210900,20211000,20211000
2021-08-23 09:00:00,50465.0,50650.0,50650.0,20210900,20211000,20211000
2021-08-23 10:00:00,50360.0,,,20210900,20211000,20211000
2021-08-23 11:00:00,50550.0,,,20210900,20211000,20211000
2021-08-23 12:00:00,50380.0,50600.0,50600.0,20210900,20211000,20211000
2021-08-23 13:00:00,50255.0,,,20210900,20211000,20211000
2021-08-23 14:00:00,49805.0,50000.0,50000.0,20210900,20211000,20211000
2021-08-23 15:00:00,49665.0,50005.0,50005.0,20210900,20211000,20211000
2021-08-23 16:00:00,49685.0,49845.0,49845.0,20210900,20211000,20211000
2021-08-23 17:00:00,49495.0,,,20210900,20211000,20211000
2021-08-23 18:00:00,49555.0,,,20210900,20211000,20211000
2021-08-23 19:00:00,49330.0,49400.0,49400.0,20210900,20211000,20211000
2021-08-23 20:00:00,49615.0,49500.0,49500.0,20210900,20211000,20211000
2021-08-23 22:00:00,49695.0,49670.0,49670.0,20210900,20211000,20211000
2021-08-23 23:00:00,49615.0,,,20210900,20211000,20211000
2021-08-24 00:00:00,49265.0,49170.0,49170.0,20210900,20211000,20211000
2021-08-24 01:00:00,48955.0,,,20210900,20211000,20211000
2021-08-24 02:00:00,49115.0,49215.0,49215.0,20210900,20211000,20211000
2021-08-24 03:00:00,49370.0,49465.0,49465.0,20210900,20211000,20211000
2021-08-24 04:00:00,49540.0,,,20210900,20211000,20211000
2021-08-24 05:00:00,49700.0,48405.0,48405.0,20210900,20211000,20211000
2021-08-24 06:00:00,49885.0,49995.0,49995.0,20210900,20211000,20211000
2021-08-24 07:00:00,49875.0,50135.0,50135.0,20210900,20211000,20211000
2021-08-24 08:00:00,49880.0,,,20210900,20211000,20211000
2021-08-24 09:00:00,49755.0,,,20210900,20211000,20211000
2021-08-24 10:00:00,49440.0,,,20210900,20211000,20211000
2021-08-24 11:00:00,49485.0,49390.0,49390.0,20210900,20211000,20211000
2021-08-24 12:00:00,49250.0,49385.0,49385.0,20210900,20211000,20211000
2021-08-24 13:00:00,48650.0,48800.0,48800.0,20210900,20211000,20211000
2021-08-24 14:00:00,48600.0,48710.0,48710.0,20210900,20211000,20211000
2021-08-24 15:00:00,48350.0,48685.0,48685.0,20210900,20211000,20211000
2021-08-24 16:00:00,47985.0,48180.0,48180.0,20210900,20211000,20211000
2021-08-24 17:00:00,48055.0,48210.0,48210.0,20210900,20211000,20211000
2021-08-24 18:00:00,48235.0,48065.0,48065.0,20210900,20211000,20211000
2021-08-24 19:00:00,48335.0,48400.0,48400.0,20210900,20211000,20211000
2021-08-24 20:00:00,48380.0,48270.0,48270.0,20210900,20211000,20211000
2021-08-24 22:00:00,48280.0,48240.0,48240.0,20210900,20211000,20211000
2021-08-24 23:00:00,47600.0,47900.0,47900.0,20210900,20211000,20211000
2021-08-25 00:00:00,48070.0,,,20210900,20211000,20211000
2021-08-25 01:00:00,48025.0,,,20210900,20211000,20211000
2021-08-25 02:00:00,48275.0,48420.0,48420.0,20210900,20211000,20211000
2021-08-25 03:00:00,48065.0,,,20210900,20211000,20211000
2021-08-25 04:00:00,47950.0,48150.0,48150.0,20210900,20211000,20211000
2021-08-25 05:00:00,48855.0,48150.0,48150.0,20210900,20211000,20211000
2021-08-25 06:00:00,48460.0,,,20210900,20211000,20211000
2021-08-25 07:00:00,48130.0,48270.0,48270.0,20210900,20211000,20211000
