DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1992-06-03 05:00:00,92.03,92.45,92.45,19920900,19921200,19921200
1992-06-04 05:00:00,92.14,92.5,92.5,19920900,19921200,19921200
1992-06-05 05:00:00,92.21,92.58,92.58,19920900,19921200,19921200
1992-06-09 05:00:00,92.38,92.76,92.76,19920900,19921200,19921200
1992-06-10 05:00:00,92.35,92.71,92.71,19920900,19921200,19921200
1992-06-11 05:00:00,92.4,92.77,92.77,19920900,19921200,19921200
1992-06-12 05:00:00,92.35,92.72,92.72,19920900,19921200,19921200
1992-06-15 05:00:00,92.22,92.59,92.59,19920900,19921200,19921200
1992-06-16 05:00:00,92.23,92.6,92.6,19920900,19921200,19921200
1992-06-17 05:00:00,92.19,92.56,92.56,19920900,19921200,19921200
1992-06-19 05:00:00,92.19,92.56,92.56,19920900,19921200,19921200
1992-06-22 05:00:00,92.14,92.51,92.51,19920900,19921200,19921200
1992-06-23 05:00:00,91.87,92.23,92.23,19920900,19921200,19921200
1992-06-24 05:00:00,91.88,92.25,92.25,19920900,19921200,19921200
1992-06-25 05:00:00,91.79,92.13,92.13,19920900,19921200,19921200
1992-06-26 05:00:00,91.78,92.1,92.1,19920900,19921200,19921200
1992-06-29 05:00:00,91.85,92.19,92.19,19920900,19921200,19921200
1992-06-30 05:00:00,91.82,92.16,92.16,19920900,19921200,19921200
1992-07-01 05:00:00,91.87,92.21,92.21,19920900,19921200,19921200
1992-07-02 05:00:00,92.17,92.5,92.5,19920900,19921200,19921200
1992-07-03 05:00:00,92.22,92.55,92.55,19920900,19921200,19921200
1992-07-06 05:00:00,92.14,92.46,92.46,19920900,19921200,19921200
1992-07-07 05:00:00,92.2,92.51,92.51,19920900,19921200,19921200
1992-07-08 05:00:00,92.2,92.51,92.51,19920900,19921200,19921200
1992-07-09 05:00:00,92.13,92.45,92.45,19920900,19921200,19921200
1992-07-10 05:00:00,91.98,92.31,92.31,19920900,19921200,19921200
1992-07-13 05:00:00,91.7,92.04,92.04,19920900,19921200,19921200
1992-07-14 05:00:00,91.83,92.17,92.17,19920900,19921200,19921200
1992-07-15 05:00:00,91.8,92.13,92.13,19920900,19921200,19921200
1992-07-16 05:00:00,91.78,92.11,92.11,19920900,19921200,19921200
1992-07-17 05:00:00,91.58,91.92,91.92,19920900,19921200,19921200
1992-07-20 05:00:00,91.44,91.8,91.8,19920900,19921200,19921200
1992-07-21 05:00:00,91.53,91.85,91.85,19920900,19921200,19921200
1992-07-22 05:00:00,91.6,91.93,91.93,19920900,19921200,19921200
1992-07-23 05:00:00,91.65,91.98,91.98,19920900,19921200,19921200
1992-07-24 05:00:00,91.61,91.94,91.94,19920900,19921200,19921200
1992-07-27 05:00:00,91.65,91.98,91.98,19920900,19921200,19921200
1992-07-28 05:00:00,91.67,91.99,91.99,19920900,19921200,19921200
1992-07-29 05:00:00,91.7,92.0,92.0,19920900,19921200,19921200
1992-07-30 05:00:00,91.45,91.77,91.77,19920900,19921200,19921200
1992-07-31 05:00:00,91.21,91.48,91.48,19920900,19921200,19921200
1992-08-03 05:00:00,91.38,91.66,91.66,19920900,19921200,19921200
1992-08-04 05:00:00,91.36,91.65,91.65,19920900,19921200,19921200
1992-08-05 05:00:00,91.34,91.64,91.64,19920900,19921200,19921200
1992-08-06 05:00:00,91.45,91.73,91.73,19920900,19921200,19921200
1992-08-07 05:00:00,91.58,91.84,91.84,19920900,19921200,19921200
1992-08-10 05:00:00,91.55,91.89,91.89,19920900,19921200,19921200
1992-08-11 05:00:00,91.53,91.85,91.85,19920900,19921200,19921200
1992-08-12 05:00:00,91.44,91.8,91.8,19920900,19921200,19921200
1992-08-13 05:00:00,91.43,91.8,91.8,19920900,19921200,19921200
1992-08-14 05:00:00,91.76,92.14,92.14,19920900,19921200,19921200
1992-08-17 05:00:00,91.77,92.14,92.14,19920900,19921200,19921200
1992-08-18 05:00:00,91.71,92.12,92.12,19920900,19921200,19921200
1992-08-19 05:00:00,91.68,92.08,92.08,19920900,19921200,19921200
1992-08-20 05:00:00,91.84,92.3,92.3,19920900,19921200,19921200
1992-08-21 05:00:00,91.82,92.27,92.27,19920900,19921200,19921200
1992-08-24 05:00:00,91.94,92.39,92.39,19920900,19921200,19921200
1992-08-25 05:00:00,91.84,92.26,92.26,19920900,19921200,19921200
1992-08-26 05:00:00,91.76,92.21,92.21,19920900,19921200,19921200
1992-08-27 05:00:00,91.74,92.22,92.22,19920900,19921200,19921200
1992-08-28 05:00:00,91.71,92.21,92.21,19920900,19921200,19921200
1992-08-31 05:00:00,91.68,92.15,92.15,19920900,19921200,19921200
1992-09-01 05:00:00,91.67,92.2,92.2,19920900,19921200,19921200
1992-09-02 05:00:00,91.7,92.3,92.3,19920900,19921200,19921200
1992-09-03 05:00:00,92.41,92.67,92.67,19921200,19930300,19930300
1992-09-04 05:00:00,92.63,92.87,92.87,19921200,19930300,19930300
1992-09-07 05:00:00,92.72,92.97,92.97,19921200,19930300,19930300
1992-09-08 05:00:00,92.7,92.95,92.95,19921200,19930300,19930300
1992-09-09 05:00:00,92.69,92.97,92.97,19921200,19930300,19930300
1992-09-10 05:00:00,92.81,93.0,93.0,19921200,19930300,19930300
1992-09-11 05:00:00,92.85,93.07,93.07,19921200,19930300,19930300
1992-09-14 05:00:00,93.56,93.75,93.75,19921200,19930300,19930300
1992-09-15 05:00:00,93.75,93.9,93.9,19921200,19930300,19930300
1992-09-16 05:00:00,94.34,,,19921200,19930300,19930300
1992-09-17 05:00:00,94.19,94.23,94.23,19921200,19930300,19930300
1992-09-18 05:00:00,94.56,94.62,94.62,19921200,19930300,19930300
1992-09-21 05:00:00,94.16,94.36,94.36,19921200,19930300,19930300
1992-09-22 05:00:00,94.28,94.47,94.47,19921200,19930300,19930300
1992-09-23 05:00:00,94.35,94.52,94.52,19921200,19930300,19930300
1992-09-24 05:00:00,94.27,94.52,94.52,19921200,19930300,19930300
1992-09-25 05:00:00,94.09,94.26,94.26,19921200,19930300,19930300
