DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2011-03-15 05:00:00,1.0163,1.0139,1.0139,20110600,20110900,20110900
2011-03-16 05:00:00,1.0062,1.0039,1.0039,20110600,20110900,20110900
2011-03-17 05:00:00,1.0111,1.0087,1.0087,20110600,20110900,20110900
2011-03-18 05:00:00,1.0123,1.0099,1.0099,20110600,20110900,20110900
2011-03-21 05:00:00,1.0202,1.0177,1.0177,20110600,20110900,20110900
2011-03-22 05:00:00,1.0193,1.0168,1.0168,20110600,20110900,20110900
2011-03-23 05:00:00,1.018,1.0156,1.0156,20110600,20110900,20110900
2011-03-24 05:00:00,1.0223,1.0199,1.0199,20110600,20110900,20110900
2011-03-25 05:00:00,1.0174,1.015,1.015,20110600,20110900,20110900
2011-03-28 05:00:00,1.0229,1.0204,1.0204,20110600,20110900,20110900
2011-03-29 05:00:00,1.0237,1.0212,1.0212,20110600,20110900,20110900
2011-03-30 05:00:00,1.0279,1.0253,1.0253,20110600,20110900,20110900
2011-03-31 05:00:00,1.0306,1.028,1.028,20110600,20110900,20110900
2011-04-01 05:00:00,1.0349,1.0322,1.0322,20110600,20110900,20110900
2011-04-04 05:00:00,1.032,1.0293,1.0293,20110600,20110900,20110900
2011-04-05 05:00:00,1.0366,1.0339,1.0339,20110600,20110900,20110900
2011-04-06 05:00:00,1.0409,1.0381,1.0381,20110600,20110900,20110900
2011-04-07 05:00:00,1.0412,1.0384,1.0384,20110600,20110900,20110900
2011-04-08 05:00:00,1.0428,1.0399,1.0399,20110600,20110900,20110900
2011-04-11 05:00:00,1.0435,1.0407,1.0407,20110600,20110900,20110900
2011-04-12 05:00:00,1.0389,1.0362,1.0362,20110600,20110900,20110900
2011-04-13 05:00:00,1.0373,1.0346,1.0346,20110600,20110900,20110900
2011-04-14 05:00:00,1.0396,1.037,1.037,20110600,20110900,20110900
2011-04-15 05:00:00,1.0396,1.0371,1.0371,20110600,20110900,20110900
2011-04-18 05:00:00,1.0355,1.0331,1.0331,20110600,20110900,20110900
2011-04-19 05:00:00,1.0437,1.041,1.041,20110600,20110900,20110900
2011-04-20 05:00:00,1.0464,1.0437,1.0437,20110600,20110900,20110900
2011-04-21 05:00:00,1.0491,1.0463,1.0463,20110600,20110900,20110900
2011-04-25 05:00:00,1.0467,1.044,1.044,20110600,20110900,20110900
2011-04-26 05:00:00,1.048,1.0454,1.0454,20110600,20110900,20110900
2011-04-27 05:00:00,1.0491,1.0464,1.0464,20110600,20110900,20110900
2011-04-28 05:00:00,1.0503,1.0476,1.0476,20110600,20110900,20110900
2011-04-29 05:00:00,1.0562,1.0535,1.0535,20110600,20110900,20110900
2011-05-02 05:00:00,1.0521,1.0495,1.0495,20110600,20110900,20110900
2011-05-03 05:00:00,1.0474,1.0448,1.0448,20110600,20110900,20110900
2011-05-04 05:00:00,1.0433,1.0407,1.0407,20110600,20110900,20110900
2011-05-05 05:00:00,1.0305,1.028,1.028,20110600,20110900,20110900
2011-05-06 05:00:00,1.0308,1.0282,1.0282,20110600,20110900,20110900
2011-05-08 23:00:00,1.037,,,20110600,20110900,20110900
2011-05-09 01:00:00,1.0372,,,20110600,20110900,20110900
2011-05-09 05:00:00,1.0397,1.0334,1.0334,20110600,20110900,20110900
2011-05-09 06:00:00,1.0373,,,20110600,20110900,20110900
2011-05-09 08:00:00,1.0367,,,20110600,20110900,20110900
2011-05-09 09:00:00,1.035,,,20110600,20110900,20110900
2011-05-09 10:00:00,1.0364,,,20110600,20110900,20110900
2011-05-09 11:00:00,1.0362,,,20110600,20110900,20110900
2011-05-09 12:00:00,1.0342,,,20110600,20110900,20110900
2011-05-09 13:00:00,1.0325,,,20110600,20110900,20110900
2011-05-09 14:00:00,1.0313,,,20110600,20110900,20110900
2011-05-09 15:00:00,1.0338,,,20110600,20110900,20110900
2011-05-09 16:00:00,1.035,,,20110600,20110900,20110900
2011-05-09 17:00:00,1.0357,,,20110600,20110900,20110900
2011-05-09 19:00:00,1.0365,,,20110600,20110900,20110900
2011-05-09 20:00:00,1.0374,,,20110600,20110900,20110900
2011-05-10 05:00:00,1.0421,1.0395,1.0395,20110600,20110900,20110900
2011-05-10 06:00:00,1.0358,,,20110600,20110900,20110900
2011-05-10 08:00:00,1.0372,,,20110600,20110900,20110900
2011-05-10 09:00:00,1.0383,,,20110600,20110900,20110900
2011-05-10 10:00:00,1.0395,,,20110600,20110900,20110900
2011-05-10 11:00:00,1.0404,,,20110600,20110900,20110900
2011-05-10 12:00:00,1.0421,,,20110600,20110900,20110900
2011-05-10 13:00:00,1.0391,,,20110600,20110900,20110900
2011-05-10 14:00:00,1.0398,,,20110600,20110900,20110900
2011-05-10 15:00:00,1.0407,,,20110600,20110900,20110900
2011-05-10 19:00:00,1.0433,,,20110600,20110900,20110900
2011-05-10 20:00:00,1.0435,,,20110600,20110900,20110900
2011-05-11 05:00:00,1.0389,1.0362,1.0362,20110600,20110900,20110900
2011-05-12 05:00:00,1.0374,1.0348,1.0348,20110600,20110900,20110900
2011-05-12 06:00:00,1.0372,,,20110600,20110900,20110900
2011-05-12 08:00:00,1.0348,,,20110600,20110900,20110900
2011-05-12 09:00:00,1.0338,,,20110600,20110900,20110900
2011-05-12 10:00:00,1.0319,,,20110600,20110900,20110900
2011-05-12 12:00:00,1.0339,,,20110600,20110900,20110900
2011-05-12 13:00:00,1.0341,,,20110600,20110900,20110900
2011-05-12 14:00:00,1.0308,,,20110600,20110900,20110900
2011-05-12 15:00:00,1.0361,,,20110600,20110900,20110900
2011-05-12 16:00:00,1.0362,,,20110600,20110900,20110900
2011-05-12 17:00:00,1.0374,,,20110600,20110900,20110900
2011-05-12 18:00:00,1.0382,,,20110600,20110900,20110900
2011-05-13 01:00:00,1.0356,,,20110600,20110900,20110900
2011-05-13 05:00:00,1.0365,1.0295,1.0295,20110600,20110900,20110900
2011-05-13 08:00:00,1.0388,,,20110600,20110900,20110900
2011-05-13 09:00:00,1.0377,,,20110600,20110900,20110900
2011-05-13 10:00:00,1.0376,,,20110600,20110900,20110900
2011-05-13 13:00:00,1.0352,,,20110600,20110900,20110900
2011-05-13 14:00:00,1.0321,,,20110600,20110900,20110900
2011-05-13 15:00:00,1.0291,,,20110600,20110900,20110900
2011-05-13 16:00:00,1.0301,,,20110600,20110900,20110900
2011-05-13 17:00:00,1.0322,,,20110600,20110900,20110900
2011-05-13 18:00:00,1.032,,,20110600,20110900,20110900
2011-05-13 20:00:00,1.031,,,20110600,20110900,20110900
2011-05-16 05:00:00,1.0271,1.0245,1.0245,20110600,20110900,20110900
2011-05-16 07:00:00,1.031,,,20110600,20110900,20110900
2011-05-16 08:00:00,1.029,,,20110600,20110900,20110900
2011-05-16 09:00:00,1.026,,,20110600,20110900,20110900
2011-05-16 10:00:00,1.0239,,,20110600,20110900,20110900
2011-05-16 12:00:00,1.0257,,,20110600,20110900,20110900
2011-05-16 13:00:00,1.026,,,20110600,20110900,20110900
2011-05-16 14:00:00,1.0277,,,20110600,20110900,20110900
2011-05-16 15:00:00,1.0295,,,20110600,20110900,20110900
2011-05-16 16:00:00,1.0302,,,20110600,20110900,20110900
2011-05-16 17:00:00,1.0275,,,20110600,20110900,20110900
2011-05-16 18:00:00,1.0275,,,20110600,20110900,20110900
2011-05-16 19:00:00,1.0258,,,20110600,20110900,20110900
2011-05-17 00:00:00,1.0248,,,20110600,20110900,20110900
2011-05-17 01:00:00,1.0239,,,20110600,20110900,20110900
2011-05-17 02:00:00,1.0242,,,20110600,20110900,20110900
2011-05-17 03:00:00,1.0246,,,20110600,20110900,20110900
2011-05-17 05:00:00,1.0273,1.0247,1.0247,20110600,20110900,20110900
2011-05-17 09:00:00,1.0265,,,20110600,20110900,20110900
2011-05-17 10:00:00,1.0279,,,20110600,20110900,20110900
2011-05-17 11:00:00,1.0271,,,20110600,20110900,20110900
2011-05-17 12:00:00,1.0226,,,20110600,20110900,20110900
2011-05-17 13:00:00,1.0241,,,20110600,20110900,20110900
2011-05-17 14:00:00,1.0253,,,20110600,20110900,20110900
2011-05-17 15:00:00,1.0208,,,20110600,20110900,20110900
2011-05-17 16:00:00,1.024,,,20110600,20110900,20110900
2011-05-17 18:00:00,1.0256,,,20110600,20110900,20110900
2011-05-17 19:00:00,1.0268,,,20110600,20110900,20110900
2011-05-18 05:00:00,1.0275,1.025,1.025,20110600,20110900,20110900
2011-05-19 05:00:00,1.0312,1.0287,1.0287,20110600,20110900,20110900
2011-05-19 06:00:00,1.0303,,,20110600,20110900,20110900
2011-05-19 07:00:00,1.0308,,,20110600,20110900,20110900
2011-05-19 08:00:00,1.032,,,20110600,20110900,20110900
2011-05-19 10:00:00,1.035,,,20110600,20110900,20110900
2011-05-19 12:00:00,1.033,,,20110600,20110900,20110900
2011-05-19 14:00:00,1.0308,,,20110600,20110900,20110900
2011-05-19 16:00:00,1.031,,,20110600,20110900,20110900
2011-05-19 17:00:00,1.0322,,,20110600,20110900,20110900
2011-05-19 18:00:00,1.0305,,,20110600,20110900,20110900
2011-05-20 05:00:00,1.0282,1.0258,1.0258,20110600,20110900,20110900
2011-05-20 08:00:00,1.036,,,20110600,20110900,20110900
2011-05-20 09:00:00,1.0354,,,20110600,20110900,20110900
2011-05-20 10:00:00,1.0356,,,20110600,20110900,20110900
2011-05-20 11:00:00,1.0321,,,20110600,20110900,20110900
2011-05-20 12:00:00,1.0279,,,20110600,20110900,20110900
2011-05-20 13:00:00,1.026,,,20110600,20110900,20110900
2011-05-20 14:00:00,1.0232,,,20110600,20110900,20110900
2011-05-20 15:00:00,1.027,,,20110600,20110900,20110900
2011-05-20 16:00:00,1.0303,,,20110600,20110900,20110900
2011-05-20 17:00:00,1.0304,,,20110600,20110900,20110900
2011-05-20 19:00:00,1.0278,,,20110600,20110900,20110900
2011-05-20 20:00:00,1.027,,,20110600,20110900,20110900
2011-05-23 05:00:00,1.0233,1.0209,1.0209,20110600,20110900,20110900
2011-05-24 05:00:00,1.0228,1.0204,1.0204,20110600,20110900,20110900
2011-05-25 05:00:00,1.0229,1.0205,1.0205,20110600,20110900,20110900
2011-05-26 05:00:00,1.0216,1.0192,1.0192,20110600,20110900,20110900
2011-05-27 05:00:00,1.0235,1.021,1.021,20110600,20110900,20110900
2011-05-31 05:00:00,1.0318,1.0293,1.0293,20110600,20110900,20110900
2011-06-01 05:00:00,1.0256,1.0231,1.0231,20110600,20110900,20110900
2011-06-02 05:00:00,1.0243,1.0219,1.0219,20110600,20110900,20110900
2011-06-03 05:00:00,1.023,1.0206,1.0206,20110600,20110900,20110900
2011-06-06 05:00:00,1.0193,1.0168,1.0168,20110600,20110900,20110900
2011-06-07 05:00:00,1.0268,1.0243,1.0243,20110600,20110900,20110900
2011-06-08 05:00:00,1.0209,1.0184,1.0184,20110600,20110900,20110900
2011-06-09 05:00:00,1.0269,1.0245,1.0245,20110600,20110900,20110900
2011-06-10 05:00:00,1.0236,1.0212,1.0212,20110600,20110900,20110900
2011-06-13 05:00:00,1.024,1.0216,1.0216,20110600,20110900,20110900
