DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2022-03-08 06:00:00,6.3367,6.3503,6.3503,20220400,20220500,20220500
2022-03-09 06:00:00,6.3354,6.3485,6.3485,20220400,20220500,20220500
2022-03-10 06:00:00,6.3434,6.3554,6.3554,20220400,20220500,20220500
2022-03-11 06:00:00,6.3548,6.3728,6.3728,20220400,20220500,20220500
2022-03-14 05:00:00,6.3908,6.405,6.405,20220400,20220500,20220500
2022-03-15 05:00:00,6.4179,6.4238,6.4238,20220400,20220500,20220500
2022-03-16 05:00:00,6.3814,6.3938,6.3938,20220400,20220500,20220500
2022-03-17 05:00:00,6.3748,6.3886,6.3886,20220400,20220500,20220500
2022-03-18 05:00:00,6.3872,6.4002,6.4002,20220400,20220500,20220500
2022-03-21 05:00:00,6.3785,6.3884,6.3884,20220400,20220500,20220500
2022-03-22 05:00:00,6.3866,6.3984,6.3984,20220400,20220500,20220500
2022-03-23 05:00:00,6.3959,6.4063,6.4063,20220400,20220500,20220500
2022-03-24 05:00:00,6.3933,6.4046,6.4046,20220400,20220500,20220500
2022-03-25 05:00:00,6.3836,6.3943,6.3943,20220400,20220500,20220500
2022-03-28 05:00:00,6.3943,6.4053,6.4053,20220400,20220500,20220500
2022-03-29 05:00:00,6.3882,6.3995,6.3995,20220400,20220500,20220500
2022-03-30 05:00:00,6.3666,6.3766,6.3766,20220400,20220500,20220500
2022-03-31 05:00:00,6.3547,6.3641,6.3641,20220400,20220500,20220500
2022-04-01 05:00:00,6.3702,6.3812,6.3812,20220400,20220500,20220500
2022-04-04 05:00:00,6.3764,6.39,6.39,20220400,20220500,20220500
2022-04-05 05:00:00,6.3743,6.3855,6.3855,20220400,20220500,20220500
2022-04-06 05:00:00,6.3733,6.3849,6.3849,20220400,20220500,20220500
2022-04-07 05:00:00,6.3832,6.391,6.391,20220500,20220600,20220600
2022-04-08 05:00:00,6.3812,6.3909,6.3909,20220500,20220600,20220600
2022-04-11 05:00:00,6.391,6.4012,6.4012,20220500,20220600,20220600
