DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2023-11-27 07:00:00,511.25,,505.5,20241200,20251200,20240900
2023-11-27 08:00:00,510.75,,505.0,20241200,20251200,20240900
2023-11-27 09:00:00,511.0,,,20241200,20251200,20240900
2023-11-27 10:00:00,511.25,,,20241200,20251200,20240900
2023-11-27 11:00:00,511.5,,506.0,20241200,20251200,20240900
2023-11-27 12:00:00,510.0,,504.25,20241200,20251200,20240900
2023-11-27 13:00:00,509.0,,503.25,20241200,20251200,20240900
2023-11-27 14:00:00,506.75,,500.75,20241200,20251200,20240900
2023-11-27 15:00:00,504.5,,498.75,20241200,20251200,20240900
2023-11-27 16:00:00,503.25,,497.25,20241200,20251200,20240900
2023-11-27 17:00:00,504.25,,498.25,20241200,20251200,20240900
2023-11-27 18:00:00,504.5,,498.5,20241200,20251200,20240900
2023-11-27 19:00:00,504.75,,498.25,20241200,20251200,20240900
2023-11-28 01:00:00,504.5,,498.25,20241200,20251200,20240900
2023-11-28 02:00:00,504.5,,498.5,20241200,20251200,20240900
2023-11-28 03:00:00,504.5,,498.25,20241200,20251200,20240900
2023-11-28 04:00:00,504.75,,,20241200,20251200,20240900
2023-11-28 05:00:00,504.5,,498.25,20241200,20251200,20240900
2023-11-28 06:00:00,504.25,,498.5,20241200,20251200,20240900
2023-11-28 07:00:00,504.25,,498.25,20241200,20251200,20240900
2023-11-28 08:00:00,505.0,,498.25,20241200,20251200,20240900
2023-11-28 09:00:00,505.25,,498.75,20241200,20251200,20240900
2023-11-28 10:00:00,504.75,,499.0,20241200,20251200,20240900
2023-11-28 11:00:00,505.25,,499.25,20241200,20251200,20240900
2023-11-28 12:00:00,505.75,,499.25,20241200,20251200,20240900
2023-11-28 13:00:00,505.0,,498.5,20241200,20251200,20240900
2023-11-28 14:00:00,504.25,,497.75,20241200,20251200,20240900
2023-11-28 15:00:00,504.5,,497.5,20241200,20251200,20240900
2023-11-28 16:00:00,506.75,,499.25,20241200,20251200,20240900
2023-11-28 17:00:00,506.5,,499.25,20241200,20251200,20240900
2023-11-28 18:00:00,506.0,,498.75,20241200,20251200,20240900
2023-11-28 19:00:00,505.5,,498.5,20241200,20251200,20240900
2023-11-29 01:00:00,505.0,,498.5,20241200,20251200,20240900
2023-11-29 02:00:00,504.5,,,20241200,20251200,20240900
2023-11-29 03:00:00,504.25,,497.0,20241200,20251200,20240900
2023-11-29 04:00:00,,,497.5,20241200,20251200,20240900
2023-11-29 05:00:00,505.0,,498.0,20241200,20251200,20240900
2023-11-29 06:00:00,507.75,,501.0,20241200,20251200,20240900
2023-11-29 07:00:00,504.75,,,20241200,20251200,20240900
2023-11-29 08:00:00,504.5,,,20241200,20251200,20240900
2023-11-29 09:00:00,504.5,,497.25,20241200,20251200,20240900
2023-11-29 10:00:00,504.25,,497.5,20241200,20251200,20240900
2023-11-29 11:00:00,505.0,,498.0,20241200,20251200,20240900
2023-11-29 12:00:00,505.5,,498.5,20241200,20251200,20240900
2023-11-29 13:00:00,505.0,,497.75,20241200,20251200,20240900
2023-11-29 14:00:00,504.5,,497.5,20241200,20251200,20240900
2023-11-29 15:00:00,506.75,,500.0,20241200,20251200,20240900
2023-11-29 16:00:00,506.25,,499.5,20241200,20251200,20240900
2023-11-29 17:00:00,507.5,,500.75,20241200,20251200,20240900
2023-11-29 18:00:00,507.0,,500.5,20241200,20251200,20240900
2023-11-29 19:00:00,507.25,,500.75,20241200,20251200,20240900
2023-11-30 01:00:00,506.25,,500.0,20241200,20251200,20240900
2023-11-30 02:00:00,506.75,,500.5,20241200,20251200,20240900
2023-11-30 03:00:00,506.75,,500.5,20241200,20251200,20240900
2023-11-30 04:00:00,506.75,,500.5,20241200,20251200,20240900
2023-11-30 05:00:00,,,500.5,20241200,20251200,20240900
2023-11-30 06:00:00,512.25,,500.75,20241200,20251200,20240900
2023-11-30 07:00:00,507.0,,500.75,20241200,20251200,20240900
2023-11-30 08:00:00,506.5,,,20241200,20251200,20240900
2023-11-30 09:00:00,506.5,,500.25,20241200,20251200,20240900
2023-11-30 10:00:00,506.5,,500.25,20241200,20251200,20240900
2023-11-30 11:00:00,506.0,,499.75,20241200,20251200,20240900
2023-11-30 12:00:00,506.0,,500.25,20241200,20251200,20240900
