DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2023-02-13 03:00:00,676.625,,,20230500,20230700,20230700
2023-02-13 06:00:00,682.25,669.25,669.25,20230500,20230700,20230700
2023-02-13 09:00:00,674.625,,,20230500,20230700,20230700
2023-02-13 11:00:00,676.375,664.375,664.375,20230500,20230700,20230700
2023-02-13 12:00:00,676.375,,,20230500,20230700,20230700
2023-02-13 13:00:00,676.375,,,20230500,20230700,20230700
2023-02-13 14:00:00,679.125,664.125,664.125,20230500,20230700,20230700
2023-02-13 15:00:00,680.625,668.0,668.0,20230500,20230700,20230700
2023-02-13 16:00:00,682.25,669.125,669.125,20230500,20230700,20230700
2023-02-13 17:00:00,680.375,667.875,667.875,20230500,20230700,20230700
2023-02-13 18:00:00,682.0,668.375,668.375,20230500,20230700,20230700
2023-02-13 19:00:00,682.125,,,20230500,20230700,20230700
2023-02-14 01:00:00,681.875,668.5,668.5,20230500,20230700,20230700
2023-02-14 02:00:00,681.5,,,20230500,20230700,20230700
2023-02-14 03:00:00,681.875,668.625,668.625,20230500,20230700,20230700
2023-02-14 05:00:00,681.0,,,20230500,20230700,20230700
2023-02-14 06:00:00,679.75,667.75,667.75,20230500,20230700,20230700
2023-02-14 07:00:00,680.5,,,20230500,20230700,20230700
2023-02-14 09:00:00,682.0,,,20230500,20230700,20230700
2023-02-14 10:00:00,683.0,669.25,669.25,20230500,20230700,20230700
2023-02-14 11:00:00,683.375,669.625,669.625,20230500,20230700,20230700
2023-02-14 12:00:00,684.125,670.375,670.375,20230500,20230700,20230700
2023-02-14 13:00:00,683.625,,,20230500,20230700,20230700
2023-02-14 14:00:00,681.125,668.375,668.375,20230500,20230700,20230700
2023-02-14 15:00:00,682.625,,,20230500,20230700,20230700
2023-02-14 16:00:00,681.625,669.375,669.375,20230500,20230700,20230700
2023-02-14 17:00:00,680.0,,,20230500,20230700,20230700
2023-02-14 18:00:00,679.5,667.625,667.625,20230500,20230700,20230700
2023-02-14 19:00:00,680.125,667.125,667.125,20230500,20230700,20230700
2023-02-15 01:00:00,678.5,666.75,666.75,20230500,20230700,20230700
2023-02-15 02:00:00,678.125,,,20230500,20230700,20230700
2023-02-15 03:00:00,678.875,666.625,666.625,20230500,20230700,20230700
2023-02-15 06:00:00,674.0,663.25,663.25,20230500,20230700,20230700
2023-02-15 07:00:00,676.625,,,20230500,20230700,20230700
2023-02-15 08:00:00,676.25,,,20230500,20230700,20230700
2023-02-15 09:00:00,676.0,,,20230500,20230700,20230700
2023-02-15 10:00:00,676.375,,,20230500,20230700,20230700
2023-02-15 11:00:00,674.75,663.625,663.625,20230500,20230700,20230700
2023-02-15 12:00:00,675.125,,,20230500,20230700,20230700
2023-02-15 13:00:00,675.375,,,20230500,20230700,20230700
2023-02-15 14:00:00,674.625,663.875,663.875,20230500,20230700,20230700
2023-02-15 15:00:00,675.125,,,20230500,20230700,20230700
2023-02-15 16:00:00,675.375,663.625,663.625,20230500,20230700,20230700
2023-02-15 17:00:00,674.0,662.625,662.625,20230500,20230700,20230700
2023-02-15 18:00:00,673.625,662.625,662.625,20230500,20230700,20230700
2023-02-15 19:00:00,674.125,,,20230500,20230700,20230700
2023-02-16 01:00:00,673.125,662.75,662.75,20230500,20230700,20230700
2023-02-16 02:00:00,673.75,663.0,663.0,20230500,20230700,20230700
2023-02-16 05:00:00,673.5,,,20230500,20230700,20230700
2023-02-16 06:00:00,673.125,664.0,664.0,20230500,20230700,20230700
2023-02-16 07:00:00,672.75,,,20230500,20230700,20230700
2023-02-16 10:00:00,672.5,,,20230500,20230700,20230700
