DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2021-07-13 06:00:00,72.71,,73.78,20211000,20211100,20210900
2021-07-13 07:00:00,72.84,71.64,73.91,20211000,20211100,20210900
2021-07-13 08:00:00,72.95,,74.0,20211000,20211100,20210900
2021-07-13 09:00:00,72.78,,73.81,20211000,20211100,20210900
2021-07-13 10:00:00,72.66,,73.57,20211000,20211100,20210900
2021-07-13 11:00:00,72.65,,73.69,20211000,20211100,20210900
2021-07-13 12:00:00,72.1,71.53,73.11,20211000,20211100,20210900
2021-07-13 13:00:00,72.93,71.65,73.74,20211000,20211100,20210900
2021-07-13 14:00:00,72.44,71.53,73.63,20211000,20211100,20210900
2021-07-13 15:00:00,73.24,72.34,74.26,20211000,20211100,20210900
2021-07-13 16:00:00,73.55,72.69,74.64,20211000,20211100,20210900
2021-07-13 17:00:00,73.55,72.56,74.65,20211000,20211100,20210900
2021-07-13 18:00:00,73.65,72.79,74.66,20211000,20211100,20210900
2021-07-13 19:00:00,73.67,,74.72,20211000,20211100,20210900
2021-07-13 20:00:00,73.65,,74.57,20211000,20211100,20210900
2021-07-13 22:00:00,,,74.54,20211000,20211100,20210900
2021-07-13 23:00:00,73.61,,74.44,20211000,20211100,20210900
2021-07-14 00:00:00,73.49,,74.43,20211000,20211100,20210900
2021-07-14 01:00:00,73.47,,74.61,20211000,20211100,20210900
2021-07-14 02:00:00,,,74.45,20211000,20211100,20210900
2021-07-14 03:00:00,,,74.37,20211000,20211100,20210900
2021-07-14 04:00:00,,,74.33,20211000,20211100,20210900
2021-07-14 05:00:00,73.6,70.96,74.59,20211000,20211100,20210900
2021-07-14 06:00:00,73.67,,74.62,20211000,20211100,20210900
2021-07-14 07:00:00,73.72,,74.45,20211000,20211100,20210900
2021-07-14 08:00:00,73.29,,74.31,20211000,20211100,20210900
2021-07-14 09:00:00,73.18,72.3,74.13,20211000,20211100,20210900
2021-07-14 10:00:00,73.13,,74.21,20211000,20211100,20210900
2021-07-14 11:00:00,73.6,72.38,74.42,20211000,20211100,20210900
2021-07-14 12:00:00,73.93,,74.82,20211000,20211100,20210900
2021-07-14 13:00:00,73.32,72.3,74.12,20211000,20211100,20210900
2021-07-14 14:00:00,73.29,72.45,74.22,20211000,20211100,20210900
2021-07-14 15:00:00,72.24,71.32,73.08,20211000,20211100,20210900
2021-07-14 16:00:00,71.92,71.12,72.64,20211000,20211100,20210900
2021-07-14 17:00:00,71.77,70.92,72.61,20211000,20211100,20210900
2021-07-14 18:00:00,71.8,,72.3,20211000,20211100,20210900
2021-07-14 19:00:00,71.45,,72.26,20211000,20211100,20210900
2021-07-14 20:00:00,71.46,,72.41,20211000,20211100,20210900
2021-07-14 22:00:00,71.57,,72.3,20211000,20211100,20210900
2021-07-14 23:00:00,71.47,,72.28,20211000,20211100,20210900
2021-07-15 00:00:00,71.39,,72.04,20211000,20211100,20210900
2021-07-15 01:00:00,70.86,70.07,71.66,20211000,20211100,20210900
2021-07-15 02:00:00,71.13,70.14,71.9,20211000,20211100,20210900
2021-07-15 03:00:00,71.08,,72.02,20211000,20211100,20210900
2021-07-15 04:00:00,71.2,,72.01,20211000,20211100,20210900
2021-07-15 05:00:00,70.64,69.86,72.0,20211000,20211100,20210900
2021-07-15 06:00:00,70.8,70.05,71.67,20211000,20211100,20210900
2021-07-15 07:00:00,70.58,,71.48,20211000,20211100,20210900
2021-07-15 08:00:00,71.21,,71.96,20211000,20211100,20210900
2021-07-15 09:00:00,71.35,,72.1,20211000,20211100,20210900
2021-07-15 10:00:00,70.58,,71.39,20211000,20211100,20210900
2021-07-15 11:00:00,70.64,69.79,71.41,20211000,20211100,20210900
2021-07-15 12:00:00,70.9,,71.65,20211000,20211100,20210900
2021-07-15 13:00:00,70.79,69.52,71.78,20211000,20211100,20210900
2021-07-15 14:00:00,71.19,,72.1,20211000,20211100,20210900
2021-07-15 15:00:00,71.44,70.72,72.25,20211000,20211100,20210900
2021-07-15 16:00:00,71.29,70.45,72.11,20211000,20211100,20210900
2021-07-15 17:00:00,70.97,,71.72,20211000,20211100,20210900
2021-07-15 18:00:00,70.54,69.84,71.35,20211000,20211100,20210900
2021-07-15 19:00:00,70.5,,71.24,20211000,20211100,20210900
2021-07-15 20:00:00,70.4,,71.16,20211000,20211100,20210900
2021-07-15 22:00:00,70.31,,71.15,20211000,20211100,20210900
2021-07-15 23:00:00,70.34,,71.11,20211000,20211100,20210900
2021-07-16 00:00:00,70.53,,71.26,20211000,20211100,20210900
2021-07-16 01:00:00,70.68,,71.4,20211000,20211100,20210900
2021-07-16 02:00:00,70.61,,71.33,20211000,20211100,20210900
2021-07-16 03:00:00,70.59,,71.29,20211000,20211100,20210900
2021-07-16 04:00:00,70.65,,71.42,20211000,20211100,20210900
2021-07-16 05:00:00,70.82,70.07,71.24,20211000,20211100,20210900
2021-07-16 06:00:00,70.33,69.45,71.07,20211000,20211100,20210900
2021-07-16 07:00:00,70.55,69.66,71.37,20211000,20211100,20210900
2021-07-16 08:00:00,71.07,69.92,71.8,20211000,20211100,20210900
2021-07-16 09:00:00,71.04,,71.77,20211000,20211100,20210900
2021-07-16 10:00:00,70.68,,71.47,20211000,20211100,20210900
2021-07-16 11:00:00,70.78,,71.53,20211000,20211100,20210900
2021-07-16 12:00:00,71.19,70.43,71.83,20211000,20211100,20210900
2021-07-16 13:00:00,70.46,,71.26,20211000,20211100,20210900
2021-07-16 14:00:00,70.15,69.08,70.87,20211000,20211100,20210900
2021-07-16 15:00:00,71.0,70.23,71.72,20211000,20211100,20210900
2021-07-16 16:00:00,70.96,70.25,71.64,20211000,20211100,20210900
2021-07-16 17:00:00,70.92,,71.62,20211000,20211100,20210900
2021-07-16 18:00:00,70.66,69.96,71.38,20211000,20211100,20210900
2021-07-16 19:00:00,70.57,,71.36,20211000,20211100,20210900
2021-07-16 20:00:00,70.41,69.65,71.2,20211000,20211100,20210900
2021-07-18 22:00:00,70.5,,71.31,20211000,20211100,20210900
2021-07-18 23:00:00,70.31,,71.13,20211000,20211100,20210900
2021-07-19 00:00:00,69.89,69.26,70.71,20211000,20211100,20210900
2021-07-19 01:00:00,69.8,,70.48,20211000,20211100,20210900
2021-07-19 02:00:00,69.73,,70.54,20211000,20211100,20210900
2021-07-19 03:00:00,69.87,,70.76,20211000,20211100,20210900
2021-07-19 04:00:00,70.14,,70.89,20211000,20211100,20210900
2021-07-19 05:00:00,65.76,65.12,70.89,20211000,20211100,20210900
2021-07-19 06:00:00,70.05,69.36,70.77,20211000,20211100,20210900
2021-07-19 07:00:00,69.82,69.05,70.56,20211000,20211100,20210900
2021-07-19 08:00:00,68.83,68.03,69.6,20211000,20211100,20210900
2021-07-19 09:00:00,69.02,68.29,69.78,20211000,20211100,20210900
2021-07-19 10:00:00,68.81,68.02,69.58,20211000,20211100,20210900
2021-07-19 11:00:00,68.0,,68.87,20211000,20211100,20210900
2021-07-19 12:00:00,68.42,67.72,69.11,20211000,20211100,20210900
2021-07-19 13:00:00,67.24,66.47,67.93,20211000,20211100,20210900
2021-07-19 14:00:00,66.31,65.78,66.94,20211000,20211100,20210900
2021-07-19 15:00:00,66.57,65.83,67.17,20211000,20211100,20210900
2021-07-19 16:00:00,65.66,65.12,66.26,20211000,20211100,20210900
2021-07-19 17:00:00,65.68,65.07,66.24,20211000,20211100,20210900
2021-07-19 18:00:00,65.35,64.72,65.94,20211000,20211100,20210900
2021-07-19 19:00:00,65.74,64.63,66.34,20211000,20211100,20210900
2021-07-19 20:00:00,66.0,,66.52,20211000,20211100,20210900
2021-07-19 22:00:00,66.13,65.38,66.68,20211000,20211100,20210900
2021-07-19 23:00:00,66.33,65.63,66.89,20211000,20211100,20210900
2021-07-20 00:00:00,66.34,,66.78,20211000,20211100,20210900
2021-07-20 01:00:00,66.15,,66.78,20211000,20211100,20210900
2021-07-20 02:00:00,65.97,,66.49,20211000,20211100,20210900
2021-07-20 03:00:00,66.0,65.48,66.5,20211000,20211100,20210900
2021-07-20 04:00:00,66.07,,66.51,20211000,20211100,20210900
2021-07-20 05:00:00,66.62,65.95,66.78,20211000,20211100,20210900
2021-07-20 06:00:00,66.46,65.91,67.14,20211000,20211100,20210900
2021-07-20 07:00:00,66.66,65.98,67.13,20211000,20211100,20210900
2021-07-20 08:00:00,65.8,65.19,66.35,20211000,20211100,20210900
2021-07-20 09:00:00,65.98,,66.43,20211000,20211100,20210900
2021-07-20 10:00:00,65.94,,66.45,20211000,20211100,20210900
2021-07-20 11:00:00,65.89,65.43,66.47,20211000,20211100,20210900
2021-07-20 12:00:00,65.26,64.66,65.77,20211000,20211100,20210900
2021-07-20 13:00:00,65.67,65.15,66.16,20211000,20211100,20210900
2021-07-20 14:00:00,66.23,65.53,66.85,20211000,20211100,20210900
2021-07-20 15:00:00,66.57,65.81,67.2,20211000,20211100,20210900
2021-07-20 16:00:00,66.48,65.63,67.01,20211000,20211100,20210900
2021-07-20 17:00:00,66.43,65.77,67.0,20211000,20211100,20210900
2021-07-20 18:00:00,66.78,66.08,67.43,20211000,20211100,20210900
2021-07-20 19:00:00,66.83,66.23,67.39,20211000,20211100,20210900
2021-07-20 20:00:00,65.85,65.65,66.43,20211000,20211100,20210900
2021-07-20 22:00:00,66.07,,66.67,20211000,20211100,20210900
2021-07-20 23:00:00,66.15,65.51,66.77,20211000,20211100,20210900
2021-07-21 00:00:00,66.28,,66.92,20211000,20211100,20210900
2021-07-21 01:00:00,66.33,,66.88,20211000,20211100,20210900
2021-07-21 02:00:00,66.1,,66.6,20211000,20211100,20210900
2021-07-21 03:00:00,66.0,,66.7,20211000,20211100,20210900
2021-07-21 04:00:00,66.16,,66.69,20211000,20211100,20210900
2021-07-21 05:00:00,66.25,68.78,66.9,20211000,20211100,20210900
2021-07-21 06:00:00,66.36,65.62,66.96,20211000,20211100,20210900
2021-07-21 07:00:00,66.9,66.25,67.55,20211000,20211100,20210900
2021-07-21 08:00:00,67.47,66.67,68.05,20211000,20211100,20210900
2021-07-21 09:00:00,67.37,66.7,67.94,20211000,20211100,20210900
