DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2015-06-18 05:00:00,175.3,174.5,174.5,20150900,20151200,20151200
2015-06-18 08:00:00,174.7,,,20150900,20151200,20151200
2015-06-19 05:00:00,175.6,174.8,174.8,20150900,20151200,20151200
2015-06-19 09:00:00,176.9,,,20150900,20151200,20151200
2015-06-19 10:00:00,176.9,,,20150900,20151200,20151200
2015-06-19 14:00:00,175.9,,,20150900,20151200,20151200
2015-06-22 05:00:00,178.8,178.3,178.3,20150900,20151200,20151200
2015-06-22 07:00:00,178.7,,,20150900,20151200,20151200
2015-06-22 08:00:00,178.8,,,20150900,20151200,20151200
2015-06-23 05:00:00,181.5,181.0,181.0,20150900,20151200,20151200
2015-06-23 15:00:00,181.5,,,20150900,20151200,20151200
2015-06-24 05:00:00,180.7,180.2,180.2,20150900,20151200,20151200
2015-06-24 13:00:00,180.7,,,20150900,20151200,20151200
2015-06-24 14:00:00,181.0,,,20150900,20151200,20151200
2015-06-24 15:00:00,180.9,,,20150900,20151200,20151200
2015-06-25 05:00:00,180.7,180.2,180.2,20150900,20151200,20151200
2015-06-25 07:00:00,179.6,,,20150900,20151200,20151200
2015-06-26 05:00:00,182.2,181.7,181.7,20150900,20151200,20151200
2015-06-29 05:00:00,177.9,177.4,177.4,20150900,20151200,20151200
2015-06-29 08:00:00,178.9,,,20150900,20151200,20151200
2015-06-29 12:00:00,179.2,,,20150900,20151200,20151200
2015-06-29 15:00:00,178.4,,,20150900,20151200,20151200
2015-06-30 05:00:00,176.0,175.5,175.5,20150900,20151200,20151200
2015-06-30 07:00:00,176.3,,,20150900,20151200,20151200
2015-07-01 05:00:00,179.3,178.8,178.8,20150900,20151200,20151200
2015-07-01 09:00:00,177.4,,,20150900,20151200,20151200
2015-07-01 14:00:00,179.1,,,20150900,20151200,20151200
2015-07-02 05:00:00,178.2,177.7,177.7,20150900,20151200,20151200
2015-07-03 05:00:00,178.8,178.3,178.3,20150900,20151200,20151200
2015-07-03 11:00:00,179.7,,,20150900,20151200,20151200
2015-07-06 05:00:00,176.3,175.8,175.8,20150900,20151200,20151200
2015-07-06 14:00:00,176.8,,,20150900,20151200,20151200
2015-07-06 15:00:00,176.2,,,20150900,20151200,20151200
2015-07-07 05:00:00,176.4,175.9,175.9,20150900,20151200,20151200
2015-07-07 15:00:00,176.2,,,20150900,20151200,20151200
2015-07-08 05:00:00,175.7,175.2,175.2,20150900,20151200,20151200
2015-07-08 10:00:00,175.6,,,20150900,20151200,20151200
2015-07-08 11:00:00,176.6,,,20150900,20151200,20151200
2015-07-08 12:00:00,176.8,,,20150900,20151200,20151200
2015-07-09 05:00:00,180.1,179.6,179.6,20150900,20151200,20151200
2015-07-09 07:00:00,177.0,,,20150900,20151200,20151200
2015-07-09 08:00:00,177.1,,,20150900,20151200,20151200
2015-07-09 09:00:00,178.4,,,20150900,20151200,20151200
2015-07-10 05:00:00,183.2,182.7,182.7,20150900,20151200,20151200
2015-07-10 09:00:00,181.5,,,20150900,20151200,20151200
2015-07-10 11:00:00,182.4,,,20150900,20151200,20151200
2015-07-13 05:00:00,188.1,187.6,187.6,20150900,20151200,20151200
2015-07-13 08:00:00,185.9,,,20150900,20151200,20151200
2015-07-13 09:00:00,185.7,,,20150900,20151200,20151200
2015-07-13 13:00:00,187.0,,,20150900,20151200,20151200
2015-07-14 05:00:00,188.1,187.6,187.6,20150900,20151200,20151200
2015-07-14 08:00:00,187.5,,,20150900,20151200,20151200
2015-07-15 05:00:00,189.5,189.0,189.0,20150900,20151200,20151200
2015-07-15 08:00:00,189.1,,,20150900,20151200,20151200
2015-07-15 13:00:00,189.5,,,20150900,20151200,20151200
2015-07-15 14:00:00,189.7,,,20150900,20151200,20151200
2015-07-16 05:00:00,192.7,192.2,192.2,20150900,20151200,20151200
2015-07-17 05:00:00,194.1,193.6,193.6,20150900,20151200,20151200
2015-07-17 08:00:00,192.4,,,20150900,20151200,20151200
2015-07-20 05:00:00,193.7,193.2,193.2,20150900,20151200,20151200
2015-07-20 14:00:00,193.5,,,20150900,20151200,20151200
2015-07-20 15:00:00,193.9,,,20150900,20151200,20151200
2015-07-21 05:00:00,191.1,190.6,190.6,20150900,20151200,20151200
2015-07-21 09:00:00,193.7,,,20150900,20151200,20151200
2015-07-21 10:00:00,193.7,,,20150900,20151200,20151200
2015-07-21 14:00:00,192.0,,,20150900,20151200,20151200
2015-07-22 05:00:00,190.5,190.0,190.0,20150900,20151200,20151200
2015-07-22 07:00:00,191.4,,,20150900,20151200,20151200
2015-07-22 08:00:00,191.7,,,20150900,20151200,20151200
2015-07-22 09:00:00,191.5,,,20150900,20151200,20151200
2015-07-22 10:00:00,191.5,,,20150900,20151200,20151200
2015-07-22 13:00:00,191.2,,,20150900,20151200,20151200
2015-07-23 05:00:00,187.5,187.0,187.0,20150900,20151200,20151200
2015-07-23 09:00:00,189.2,,,20150900,20151200,20151200
2015-07-24 05:00:00,188.4,187.9,187.9,20150900,20151200,20151200
2015-07-24 11:00:00,190.0,,,20150900,20151200,20151200
2015-07-24 13:00:00,189.6,,,20150900,20151200,20151200
2015-07-24 15:00:00,187.9,,,20150900,20151200,20151200
2015-07-27 05:00:00,185.1,184.6,184.6,20150900,20151200,20151200
2015-07-27 07:00:00,186.1,,,20150900,20151200,20151200
2015-07-27 15:00:00,184.8,,,20150900,20151200,20151200
2015-07-28 05:00:00,187.1,186.6,186.6,20150900,20151200,20151200
2015-07-28 11:00:00,187.4,,,20150900,20151200,20151200
2015-07-29 05:00:00,189.2,188.7,188.7,20150900,20151200,20151200
2015-07-29 07:00:00,188.5,,,20150900,20151200,20151200
2015-07-29 08:00:00,187.3,,,20150900,20151200,20151200
2015-07-29 09:00:00,187.5,,,20150900,20151200,20151200
2015-07-29 10:00:00,187.3,,,20150900,20151200,20151200
2015-07-29 13:00:00,188.0,,,20150900,20151200,20151200
2015-07-29 14:00:00,189.2,,,20150900,20151200,20151200
2015-07-30 05:00:00,189.5,189.0,189.0,20150900,20151200,20151200
2015-07-30 14:00:00,188.8,,,20150900,20151200,20151200
2015-07-31 05:00:00,189.5,189.0,189.0,20150900,20151200,20151200
2015-07-31 09:00:00,189.4,,,20150900,20151200,20151200
2015-08-03 05:00:00,191.0,190.5,190.5,20150900,20151200,20151200
2015-08-03 07:00:00,189.5,,,20150900,20151200,20151200
2015-08-03 13:00:00,191.4,,,20150900,20151200,20151200
2015-08-03 14:00:00,191.2,,,20150900,20151200,20151200
2015-08-04 05:00:00,192.8,192.3,192.3,20150900,20151200,20151200
2015-08-04 13:00:00,192.2,,,20150900,20151200,20151200
2015-08-04 14:00:00,192.4,,,20150900,20151200,20151200
2015-08-05 05:00:00,193.7,193.2,193.2,20150900,20151200,20151200
2015-08-05 07:00:00,193.6,,,20150900,20151200,20151200
2015-08-05 08:00:00,193.4,,,20150900,20151200,20151200
2015-08-05 09:00:00,193.2,,,20150900,20151200,20151200
2015-08-05 11:00:00,193.2,,,20150900,20151200,20151200
2015-08-05 13:00:00,193.5,,,20150900,20151200,20151200
2015-08-06 05:00:00,194.1,193.6,193.6,20150900,20151200,20151200
2015-08-07 05:00:00,193.3,192.8,192.8,20150900,20151200,20151200
2015-08-10 05:00:00,194.4,193.9,193.9,20150900,20151200,20151200
2015-08-10 13:00:00,194.6,,,20150900,20151200,20151200
2015-08-10 15:00:00,194.7,,,20150900,20151200,20151200
2015-08-11 05:00:00,192.5,192.0,192.0,20150900,20151200,20151200
2015-08-11 07:00:00,194.2,,,20150900,20151200,20151200
2015-08-11 08:00:00,193.8,,,20150900,20151200,20151200
2015-08-11 09:00:00,193.6,,,20150900,20151200,20151200
2015-08-12 05:00:00,188.9,188.4,188.4,20150900,20151200,20151200
2015-08-12 08:00:00,188.8,,,20150900,20151200,20151200
2015-08-12 09:00:00,189.3,,,20150900,20151200,20151200
2015-08-13 05:00:00,192.0,191.5,191.5,20150900,20151200,20151200
2015-08-13 07:00:00,192.2,,,20150900,20151200,20151200
2015-08-13 08:00:00,192.1,,,20150900,20151200,20151200
2015-08-13 09:00:00,192.5,,,20150900,20151200,20151200
2015-08-13 10:00:00,192.9,,,20150900,20151200,20151200
2015-08-13 14:00:00,191.5,,,20150900,20151200,20151200
2015-08-14 05:00:00,194.9,194.4,194.4,20150900,20151200,20151200
2015-08-17 05:00:00,195.5,195.0,195.0,20150900,20151200,20151200
2015-08-18 05:00:00,197.1,196.6,196.6,20150900,20151200,20151200
2015-08-18 07:00:00,195.3,,,20150900,20151200,20151200
2015-08-18 15:00:00,197.3,,,20150900,20151200,20151200
2015-08-19 05:00:00,194.4,193.9,193.9,20150900,20151200,20151200
2015-08-19 10:00:00,195.6,,,20150900,20151200,20151200
2015-08-20 05:00:00,191.6,191.1,191.1,20150900,20151200,20151200
