DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2000-03-14 06:00:00,1.6069,1.6026,1.6026,20000600,20000900,20000900
2000-03-15 06:00:00,1.6069,1.6026,1.6026,20000600,20000900,20000900
2000-03-16 06:00:00,1.6067,1.6024,1.6024,20000600,20000900,20000900
2000-03-17 06:00:00,1.606,1.6018,1.6018,20000600,20000900,20000900
2000-03-20 06:00:00,1.607,1.6027,1.6027,20000600,20000900,20000900
2000-03-21 06:00:00,1.6072,1.6029,1.6029,20000600,20000900,20000900
2000-03-22 06:00:00,1.6044,1.6001,1.6001,20000600,20000900,20000900
2000-03-23 06:00:00,1.5961,1.5925,1.5925,20000600,20000900,20000900
2000-03-24 06:00:00,1.5833,1.5798,1.5798,20000600,20000900,20000900
2000-03-27 06:00:00,1.5848,1.5814,1.5814,20000600,20000900,20000900
2000-03-28 06:00:00,1.5872,1.5839,1.5839,20000600,20000900,20000900
2000-03-29 06:00:00,1.5904,1.5871,1.5871,20000600,20000900,20000900
2000-03-30 06:00:00,1.5899,1.5865,1.5865,20000600,20000900,20000900
2000-03-31 06:00:00,1.5866,1.5832,1.5832,20000600,20000900,20000900
2000-04-03 05:00:00,1.5779,1.5746,1.5746,20000600,20000900,20000900
2000-04-04 05:00:00,1.5722,1.5689,1.5689,20000600,20000900,20000900
2000-04-05 05:00:00,1.5717,1.5682,1.5682,20000600,20000900,20000900
2000-04-06 05:00:00,1.5678,1.5643,1.5643,20000600,20000900,20000900
2000-04-07 05:00:00,1.5676,1.5641,1.5641,20000600,20000900,20000900
2000-04-10 05:00:00,1.5704,1.5669,1.5669,20000600,20000900,20000900
2000-04-11 05:00:00,1.57,1.5665,1.5665,20000600,20000900,20000900
2000-04-12 05:00:00,1.5729,1.5693,1.5693,20000600,20000900,20000900
2000-04-13 05:00:00,1.5697,1.5663,1.5663,20000600,20000900,20000900
2000-04-14 05:00:00,1.569,1.565,1.565,20000600,20000900,20000900
2000-04-17 05:00:00,1.5674,1.5633,1.5633,20000600,20000900,20000900
2000-04-18 05:00:00,1.5717,1.5678,1.5678,20000600,20000900,20000900
2000-04-19 05:00:00,1.5665,1.5628,1.5628,20000600,20000900,20000900
2000-04-20 05:00:00,1.5706,1.5601,1.5601,20000600,20000900,20000900
2000-04-24 05:00:00,1.5689,1.5651,1.5651,20000600,20000900,20000900
2000-04-25 05:00:00,1.5693,1.5653,1.5653,20000600,20000900,20000900
2000-04-26 05:00:00,1.5698,1.5658,1.5658,20000600,20000900,20000900
2000-04-27 05:00:00,1.5713,1.5675,1.5675,20000600,20000900,20000900
2000-04-28 05:00:00,1.5655,1.561,1.561,20000600,20000900,20000900
2000-05-01 05:00:00,1.5618,1.5584,1.5584,20000600,20000900,20000900
2000-05-02 05:00:00,1.5573,1.5538,1.5538,20000600,20000900,20000900
2000-05-03 05:00:00,1.5413,1.5377,1.5377,20000600,20000900,20000900
2000-05-04 05:00:00,1.5453,1.5414,1.5414,20000600,20000900,20000900
2000-05-05 05:00:00,1.5513,1.5475,1.5475,20000600,20000900,20000900
2000-05-08 05:00:00,1.5471,1.543,1.543,20000600,20000900,20000900
2000-05-09 05:00:00,1.5549,1.5507,1.5507,20000600,20000900,20000900
2000-05-10 05:00:00,1.5582,1.5542,1.5542,20000600,20000900,20000900
2000-05-11 05:00:00,1.5551,1.5511,1.5511,20000600,20000900,20000900
2000-05-12 05:00:00,1.5521,1.548,1.548,20000600,20000900,20000900
2000-05-15 05:00:00,1.5554,1.5512,1.5512,20000600,20000900,20000900
2000-05-16 05:00:00,1.5508,1.5463,1.5463,20000600,20000900,20000900
2000-05-17 05:00:00,1.5502,1.5456,1.5456,20000600,20000900,20000900
2000-05-18 05:00:00,1.5537,1.5491,1.5491,20000600,20000900,20000900
2000-05-19 05:00:00,1.5513,1.5466,1.5466,20000600,20000900,20000900
2000-05-22 05:00:00,1.5533,1.5487,1.5487,20000600,20000900,20000900
2000-05-23 05:00:00,1.5609,1.5561,1.5561,20000600,20000900,20000900
2000-05-24 05:00:00,1.5597,1.5551,1.5551,20000600,20000900,20000900
2000-05-25 05:00:00,1.5622,1.5577,1.5577,20000600,20000900,20000900
2000-05-26 05:00:00,1.5639,1.5592,1.5592,20000600,20000900,20000900
2000-05-30 05:00:00,1.5709,1.5662,1.5662,20000600,20000900,20000900
2000-05-31 05:00:00,1.5748,1.5701,1.5701,20000600,20000900,20000900
2000-06-01 05:00:00,1.57,1.5652,1.5652,20000600,20000900,20000900
2000-06-02 05:00:00,1.5722,1.5677,1.5677,20000600,20000900,20000900
2000-06-05 05:00:00,1.574,1.5693,1.5693,20000600,20000900,20000900
2000-06-06 05:00:00,1.5699,1.5651,1.5651,20000600,20000900,20000900
2000-06-07 05:00:00,1.5674,1.5623,1.5623,20000600,20000900,20000900
2000-06-08 05:00:00,1.5658,1.5611,1.5611,20000600,20000900,20000900
2000-06-09 05:00:00,1.5653,1.5607,1.5607,20000600,20000900,20000900
2000-06-13 05:00:00,1.5622,1.5577,1.5577,20000600,20000900,20000900
2000-06-14 05:00:00,1.5599,1.5559,1.5559,20000900,20001200,20001200
2000-06-15 05:00:00,1.5562,1.5527,1.5527,20000900,20001200,20001200
2000-06-16 05:00:00,1.5553,1.5518,1.5518,20000900,20001200,20001200
2000-06-19 05:00:00,1.5566,1.5528,1.5528,20000900,20001200,20001200
2000-06-20 05:00:00,1.5507,1.5468,1.5468,20000900,20001200,20001200
2000-06-21 05:00:00,1.5448,1.5409,1.5409,20000900,20001200,20001200
2000-06-22 05:00:00,1.5452,1.5411,1.5411,20000900,20001200,20001200
2000-06-23 05:00:00,1.5476,1.5435,1.5435,20000900,20001200,20001200
2000-06-26 05:00:00,1.5444,1.5403,1.5403,20000900,20001200,20001200
2000-06-27 05:00:00,1.5417,1.5377,1.5377,20000900,20001200,20001200
2000-06-28 05:00:00,1.5466,1.5425,1.5425,20000900,20001200,20001200
2000-06-30 05:00:00,1.5549,1.5507,1.5507,20000900,20001200,20001200
2000-07-03 05:00:00,1.5512,1.547,1.547,20000900,20001200,20001200
2000-07-05 05:00:00,1.5443,1.5399,1.5399,20000900,20001200,20001200
2000-07-06 05:00:00,1.5425,1.5381,1.5381,20000900,20001200,20001200
2000-07-07 05:00:00,1.5393,1.535,1.535,20000900,20001200,20001200
2000-07-10 05:00:00,1.547,1.5426,1.5426,20000900,20001200,20001200
2000-07-11 05:00:00,1.5473,1.5427,1.5427,20000900,20001200,20001200
2000-07-12 05:00:00,1.5525,1.5477,1.5477,20000900,20001200,20001200
2000-07-13 05:00:00,1.5468,1.5421,1.5421,20000900,20001200,20001200
2000-07-14 05:00:00,1.5454,1.5407,1.5407,20000900,20001200,20001200
2000-07-17 05:00:00,1.5464,1.5417,1.5417,20000900,20001200,20001200
2000-07-18 05:00:00,1.5478,1.543,1.543,20000900,20001200,20001200
2000-07-19 05:00:00,1.5462,1.5413,1.5413,20000900,20001200,20001200
2000-07-20 05:00:00,1.5474,1.5427,1.5427,20000900,20001200,20001200
2000-07-21 05:00:00,1.5516,1.5467,1.5467,20000900,20001200,20001200
2000-07-24 05:00:00,1.5507,1.5459,1.5459,20000900,20001200,20001200
2000-07-25 05:00:00,1.5492,1.5444,1.5444,20000900,20001200,20001200
2000-07-26 05:00:00,1.5506,1.5458,1.5458,20000900,20001200,20001200
2000-07-27 05:00:00,1.5479,1.5436,1.5436,20000900,20001200,20001200
2000-07-28 05:00:00,1.5456,1.5412,1.5412,20000900,20001200,20001200
2000-07-31 05:00:00,1.545,1.5407,1.5407,20000900,20001200,20001200
2000-08-01 05:00:00,1.5422,1.5379,1.5379,20000900,20001200,20001200
2000-08-02 05:00:00,1.5397,1.5355,1.5355,20000900,20001200,20001200
2000-08-03 05:00:00,1.5435,1.5393,1.5393,20000900,20001200,20001200
2000-08-04 05:00:00,1.5459,1.5416,1.5416,20000900,20001200,20001200
2000-08-07 05:00:00,1.5447,1.5402,1.5402,20000900,20001200,20001200
2000-08-08 05:00:00,1.5416,1.5369,1.5369,20000900,20001200,20001200
