DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2006-05-15 05:00:00,6.415,,6.123,20060700,20060800,20060600
2006-05-16 05:00:00,6.516,,6.252,20060700,20060800,20060600
2006-05-17 05:00:00,6.384,,6.129,20060700,20060800,20060600
2006-05-18 05:00:00,6.24,,5.997,20060700,20060800,20060600
2006-05-19 05:00:00,6.227,,5.962,20060700,20060800,20060600
2006-05-22 05:00:00,6.546,,6.276,20060700,20060800,20060600
2006-05-23 05:00:00,6.502,,6.258,20060700,20060800,20060600
2006-05-24 05:00:00,6.17,,5.964,20060700,20060800,20060600
2006-05-25 05:00:00,6.114,,5.975,20060700,20060800,20060600
2006-05-26 05:00:00,6.154,,,20060700,20060800,20060600
2006-05-30 05:00:00,6.123,,,20060700,20060800,20060600
2006-05-31 05:00:00,6.384,,,20060700,20060800,20060600
2006-06-01 05:00:00,6.448,,,20060700,20060800,20060600
2006-06-02 05:00:00,6.623,,,20060700,20060800,20060600
2006-06-05 05:00:00,6.463,,,20060700,20060800,20060600
2006-06-06 05:00:00,6.385,,,20060700,20060800,20060600
2006-06-07 05:00:00,5.974,,,20060700,20060800,20060600
2006-06-08 05:00:00,6.191,,,20060700,20060800,20060600
2006-06-09 05:00:00,6.172,6.454,,20060700,20060800,20060600
2006-06-12 05:00:00,6.501,6.821,6.224,20060800,20060900,20060700
2006-06-13 05:00:00,6.438,6.75,6.163,20060800,20060900,20060700
2006-06-14 05:00:00,6.852,7.112,6.59,20060800,20060900,20060700
2006-06-15 05:00:00,7.475,7.735,7.207,20060800,20060900,20060700
2006-06-16 05:00:00,7.455,7.75,7.185,20060800,20060900,20060700
2006-06-19 05:00:00,7.153,7.458,6.893,20060800,20060900,20060700
2006-06-20 05:00:00,6.737,6.997,6.502,20060800,20060900,20060700
2006-06-21 05:00:00,6.798,7.018,6.588,20060800,20060900,20060700
2006-06-22 05:00:00,6.614,6.809,6.439,20060800,20060900,20060700
2006-06-23 05:00:00,6.416,6.656,6.226,20060800,20060900,20060700
2006-06-26 05:00:00,6.419,,6.169,20060900,20061000,20060800
2006-06-27 05:00:00,6.562,,6.312,20060900,20061000,20060800
2006-06-28 05:00:00,6.425,6.83,6.16,20060900,20061000,20060800
2006-06-29 05:00:00,6.395,6.805,6.135,20060900,20061000,20060800
2006-06-30 05:00:00,6.369,6.734,6.104,20060900,20061000,20060800
2006-07-05 05:00:00,6.038,6.408,5.765,20060900,20061000,20060800
2006-07-06 05:00:00,5.947,6.327,5.664,20060900,20061000,20060800
2006-07-07 05:00:00,5.81,6.183,5.523,20060900,20061000,20060800
2006-07-10 05:00:00,5.897,6.272,5.608,20060900,20061000,20060800
2006-07-11 05:00:00,5.908,6.273,5.633,20060900,20061000,20060800
2006-07-12 05:00:00,5.992,6.382,5.782,20060900,20061000,20060800
2006-07-13 05:00:00,6.334,6.709,6.129,20060900,20061000,20060800
2006-07-14 05:00:00,6.532,6.867,6.347,20060900,20061000,20060800
2006-07-17 05:00:00,5.96,6.305,5.783,20060900,20061000,20060800
2006-07-18 05:00:00,5.669,5.974,5.555,20060900,20061000,20060800
2006-07-19 05:00:00,5.984,6.269,5.862,20060900,20061000,20060800
2006-07-20 05:00:00,6.208,6.443,6.091,20060900,20061000,20060800
2006-07-21 05:00:00,6.248,6.478,6.139,20060900,20061000,20060800
2006-07-24 05:00:00,6.723,6.988,6.605,20060900,20061000,20060800
2006-07-25 05:00:00,6.783,,6.513,20061000,20061100,20060900
2006-07-26 05:00:00,7.224,,6.974,20061000,20061100,20060900
2006-07-27 05:00:00,7.363,8.858,7.123,20061000,20061100,20060900
2006-07-28 05:00:00,7.424,8.804,7.184,20061000,20061100,20060900
2006-07-31 05:00:00,8.451,9.811,8.211,20061000,20061100,20060900
2006-08-01 05:00:00,7.779,9.339,7.574,20061000,20061100,20060900
2006-08-02 05:00:00,8.036,9.526,7.799,20061000,20061100,20060900
2006-08-03 05:00:00,7.542,9.102,7.292,20061000,20061100,20060900
2006-08-04 05:00:00,7.471,8.991,7.246,20061000,20061100,20060900
2006-08-07 05:00:00,7.123,8.723,6.907,20061000,20061100,20060900
2006-08-08 05:00:00,7.349,8.879,7.158,20061000,20061100,20060900
2006-08-09 05:00:00,7.857,9.437,7.651,20061000,20061100,20060900
2006-08-10 05:00:00,7.727,9.277,7.529,20061000,20061100,20060900
2006-08-11 05:00:00,7.47,9.05,7.269,20061000,20061100,20060900
2006-08-14 05:00:00,7.088,8.803,6.913,20061000,20061100,20060900
2006-08-15 05:00:00,7.034,8.849,6.861,20061000,20061100,20060900
2006-08-16 05:00:00,6.939,8.819,6.766,20061000,20061100,20060900
2006-08-17 05:00:00,6.83,8.85,6.689,20061000,20061100,20060900
2006-08-18 05:00:00,6.851,8.921,6.731,20061000,20061100,20060900
2006-08-21 05:00:00,6.701,8.721,6.624,20061000,20061100,20060900
2006-08-22 05:00:00,7.135,9.06,7.008,20061000,20061100,20060900
2006-08-23 05:00:00,7.006,9.006,6.875,20061000,20061100,20060900
2006-08-24 05:00:00,9.235,10.555,7.203,20061100,20061200,20061000
2006-08-25 05:00:00,9.354,10.634,7.344,20061100,20061200,20061000
2006-08-28 05:00:00,8.992,10.467,6.812,20061100,20061200,20061000
2006-08-29 05:00:00,8.8,10.47,6.876,20061100,20061200,20061000
2006-08-30 05:00:00,8.26,9.925,6.29,20061100,20061200,20061000
2006-08-31 05:00:00,8.228,9.978,6.048,20061100,20061200,20061000
2006-09-01 05:00:00,8.057,9.897,5.877,20061100,20061200,20061000
2006-09-05 05:00:00,8.079,10.049,6.039,20061100,20061200,20061000
2006-09-06 05:00:00,8.019,9.939,5.994,20061100,20061200,20061000
2006-09-07 05:00:00,7.608,9.578,5.718,20061100,20061200,20061000
2006-09-08 05:00:00,7.605,9.52,5.675,20061100,20061200,20061000
2006-09-11 05:00:00,7.255,9.11,5.67,20061100,20061200,20061000
2006-09-12 05:00:00,7.274,8.884,5.574,20061100,20061200,20061000
2006-09-13 05:00:00,7.084,8.679,5.449,20061100,20061200,20061000
2006-09-14 05:00:00,6.467,8.047,4.892,20061100,20061200,20061000
2006-09-15 05:00:00,6.364,7.774,4.982,20061100,20061200,20061000
2006-09-18 05:00:00,6.256,7.806,4.942,20061100,20061200,20061000
2006-09-19 05:00:00,6.203,7.883,5.006,20061100,20061200,20061000
2006-09-20 05:00:00,6.022,7.662,4.931,20061100,20061200,20061000
