DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2010-11-26 07:00:00,1363.0,,,20110200,20110400,20110400
2010-11-26 13:00:00,1354.5,,,20110200,20110400,20110400
2010-11-26 14:00:00,1357.0,,,20110200,20110400,20110400
2010-11-26 15:00:00,1356.1,,,20110200,20110400,20110400
2010-11-26 16:00:00,1358.2,1360.4,1360.4,20110200,20110400,20110400
2010-11-26 17:00:00,1358.0,,,20110200,20110400,20110400
2010-11-26 18:00:00,1364.3,,,20110200,20110400,20110400
2010-11-28 23:00:00,1359.9,,,20110200,20110400,20110400
2010-11-29 00:00:00,1355.9,1360.3,1360.3,20110200,20110400,20110400
2010-11-29 01:00:00,1356.4,,,20110200,20110400,20110400
2010-11-29 02:00:00,1365.6,,,20110200,20110400,20110400
2010-11-29 03:00:00,1364.1,,,20110200,20110400,20110400
2010-11-29 05:00:00,1363.5,,,20110200,20110400,20110400
2010-11-29 06:00:00,1367.5,1369.6,1369.6,20110200,20110400,20110400
2010-11-29 07:00:00,1366.7,,,20110200,20110400,20110400
2010-11-29 08:00:00,1366.9,1369.0,1369.0,20110200,20110400,20110400
2010-11-29 12:00:00,1362.7,,,20110200,20110400,20110400
2010-11-29 13:00:00,1365.4,,,20110200,20110400,20110400
2010-11-29 14:00:00,1360.5,,,20110200,20110400,20110400
2010-11-29 15:00:00,1360.4,,,20110200,20110400,20110400
2010-11-29 16:00:00,1366.7,,,20110200,20110400,20110400
2010-11-29 17:00:00,1368.1,,,20110200,20110400,20110400
2010-11-29 18:00:00,1368.7,,,20110200,20110400,20110400
2010-11-29 19:00:00,1367.1,1369.3,1369.3,20110200,20110400,20110400
2010-11-29 20:00:00,1368.5,,,20110200,20110400,20110400
2010-11-29 21:00:00,1370.3,,,20110200,20110400,20110400
2010-11-30 00:00:00,1368.4,,,20110200,20110400,20110400
2010-11-30 01:00:00,1368.1,1370.3,1370.3,20110200,20110400,20110400
2010-11-30 03:00:00,1366.4,1368.6,1368.6,20110200,20110400,20110400
2010-11-30 04:00:00,1364.4,1366.4,1366.4,20110200,20110400,20110400
2010-11-30 06:00:00,1386.1,1388.3,1388.3,20110200,20110400,20110400
2010-11-30 09:00:00,1375.0,,,20110200,20110400,20110400
2010-11-30 10:00:00,1374.7,,,20110200,20110400,20110400
2010-11-30 11:00:00,1373.5,,,20110200,20110400,20110400
2010-11-30 12:00:00,1374.0,,,20110200,20110400,20110400
2010-11-30 13:00:00,1385.0,,,20110200,20110400,20110400
