DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1993-11-22 06:00:00,114.09,,,19940300,19940600,19940600
1993-11-24 06:00:00,113.88,,,19940300,19940600,19940600
1993-11-25 06:00:00,114.58,,,19940300,19940600,19940600
1993-11-26 06:00:00,114.87,,,19940300,19940600,19940600
1993-11-29 06:00:00,115.32,,,19940300,19940600,19940600
1993-11-30 06:00:00,115.76,,,19940300,19940600,19940600
1993-12-01 06:00:00,115.61,,,19940300,19940600,19940600
1993-12-02 06:00:00,115.9,,,19940300,19940600,19940600
1993-12-03 06:00:00,116.09,,,19940300,19940600,19940600
1993-12-06 06:00:00,116.53,,,19940300,19940600,19940600
1993-12-07 06:00:00,116.42,,,19940300,19940600,19940600
1993-12-08 06:00:00,116.43,,,19940300,19940600,19940600
1993-12-09 06:00:00,116.62,,,19940300,19940600,19940600
1993-12-10 06:00:00,116.8,,,19940300,19940600,19940600
1993-12-13 06:00:00,116.79,,,19940300,19940600,19940600
1993-12-14 06:00:00,116.61,,,19940300,19940600,19940600
1993-12-15 06:00:00,116.3,,,19940300,19940600,19940600
1993-12-16 06:00:00,116.3,,,19940300,19940600,19940600
1993-12-17 06:00:00,116.13,,,19940300,19940600,19940600
1993-12-20 06:00:00,116.97,,,19940300,19940600,19940600
1993-12-21 06:00:00,117.3,,,19940300,19940600,19940600
1993-12-22 06:00:00,117.21,,,19940300,19940600,19940600
1993-12-24 06:00:00,117.69,,,19940300,19940600,19940600
1993-12-27 06:00:00,117.85,,,19940300,19940600,19940600
1993-12-28 06:00:00,117.56,,,19940300,19940600,19940600
1993-12-29 06:00:00,117.68,,,19940300,19940600,19940600
1993-12-30 06:00:00,117.48,,,19940300,19940600,19940600
1994-01-04 06:00:00,116.98,,,19940300,19940600,19940600
1994-01-05 06:00:00,117.23,,,19940300,19940600,19940600
1994-01-06 06:00:00,117.73,,,19940300,19940600,19940600
1994-01-07 06:00:00,118.3,,,19940300,19940600,19940600
1994-01-10 06:00:00,118.17,,,19940300,19940600,19940600
1994-01-11 06:00:00,118.0,,,19940300,19940600,19940600
1994-01-12 06:00:00,117.61,,,19940300,19940600,19940600
1994-01-13 06:00:00,117.54,,,19940300,19940600,19940600
1994-01-14 06:00:00,116.71,,,19940300,19940600,19940600
1994-01-17 06:00:00,115.83,,,19940300,19940600,19940600
1994-01-18 06:00:00,114.91,,,19940300,19940600,19940600
1994-01-19 06:00:00,114.71,,,19940300,19940600,19940600
1994-01-20 06:00:00,115.63,,,19940300,19940600,19940600
1994-01-21 06:00:00,116.2,,,19940300,19940600,19940600
1994-01-24 06:00:00,115.8,,,19940300,19940600,19940600
1994-01-25 06:00:00,114.61,,,19940300,19940600,19940600
1994-01-26 06:00:00,113.94,,,19940300,19940600,19940600
1994-01-27 06:00:00,114.23,,,19940300,19940600,19940600
1994-01-28 06:00:00,113.94,,,19940300,19940600,19940600
1994-01-31 06:00:00,113.37,,,19940300,19940600,19940600
1994-02-01 06:00:00,114.39,,,19940300,19940600,19940600
1994-02-02 06:00:00,114.12,,,19940300,19940600,19940600
1994-02-03 06:00:00,113.9,,,19940300,19940600,19940600
1994-02-04 06:00:00,113.36,,,19940300,19940600,19940600
1994-02-07 06:00:00,113.74,,,19940300,19940600,19940600
1994-02-08 06:00:00,114.3,,,19940300,19940600,19940600
1994-02-09 06:00:00,114.7,,,19940300,19940600,19940600
1994-02-10 06:00:00,114.7,,,19940300,19940600,19940600
1994-02-14 06:00:00,115.31,114.1,114.1,19940300,19940600,19940600
1994-02-15 06:00:00,115.76,114.92,114.92,19940300,19940600,19940600
1994-02-16 06:00:00,115.13,114.21,114.21,19940300,19940600,19940600
1994-02-17 06:00:00,114.07,113.15,113.15,19940300,19940600,19940600
1994-02-18 06:00:00,114.0,113.08,113.08,19940300,19940600,19940600
1994-02-21 06:00:00,112.11,,,19940600,19940900,19940900
1994-02-22 06:00:00,112.76,,,19940600,19940900,19940900
1994-02-23 06:00:00,112.44,,,19940600,19940900,19940900
1994-02-24 06:00:00,111.95,,,19940600,19940900,19940900
1994-02-25 06:00:00,111.5,,,19940600,19940900,19940900
1994-02-28 06:00:00,111.3,,,19940600,19940900,19940900
1994-03-01 06:00:00,110.57,,,19940600,19940900,19940900
1994-03-02 06:00:00,110.48,,,19940600,19940900,19940900
1994-03-03 06:00:00,110.64,,,19940600,19940900,19940900
1994-03-04 06:00:00,110.25,,,19940600,19940900,19940900
