DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2002-12-18 06:00:00,10.74,11.13,10.35,20030300,20030400,20030200
2002-12-19 06:00:00,10.8,11.15,10.41,20030300,20030400,20030200
2002-12-20 06:00:00,10.8,11.15,10.43,20030300,20030400,20030200
2002-12-23 06:00:00,10.89,11.28,10.5,20030300,20030400,20030200
2002-12-26 06:00:00,11.0,11.33,10.54,20030300,20030400,20030200
2002-12-27 06:00:00,11.0,11.27,10.55,20030300,20030400,20030200
2002-12-30 06:00:00,10.92,11.24,10.4,20030300,20030400,20030200
2002-12-31 06:00:00,10.88,11.2,10.25,20030300,20030400,20030200
2003-01-02 06:00:00,10.85,11.19,10.22,20030300,20030400,20030200
2003-01-03 06:00:00,10.75,11.1,10.12,20030300,20030400,20030200
2003-01-06 06:00:00,10.5,10.93,10.05,20030300,20030400,20030200
2003-01-07 06:00:00,10.52,10.97,10.09,20030300,20030400,20030200
2003-01-08 06:00:00,10.36,10.93,10.05,20030300,20030400,20030200
2003-01-09 06:00:00,10.27,10.73,9.97,20030300,20030400,20030200
2003-01-10 06:00:00,10.26,10.7,9.97,20030300,20030400,20030200
2003-01-13 06:00:00,10.35,10.65,10.07,20030300,20030400,20030200
2003-01-14 06:00:00,10.4,10.61,10.2,20030300,20030400,20030200
2003-01-15 06:00:00,10.57,11.08,10.3,20030400,20030500,20030300
2003-01-16 06:00:00,10.54,11.05,10.3,20030400,20030500,20030300
2003-01-17 06:00:00,10.6,11.15,10.37,20030400,20030500,20030300
2003-01-21 06:00:00,10.5,11.1,10.25,20030400,20030500,20030300
2003-01-22 06:00:00,10.32,10.83,10.16,20030400,20030500,20030300
2003-01-23 06:00:00,10.26,10.8,10.19,20030400,20030500,20030300
2003-01-24 06:00:00,10.2,10.79,10.05,20030400,20030500,20030300
2003-01-27 06:00:00,10.12,10.61,9.96,20030400,20030500,20030300
2003-01-28 06:00:00,10.19,10.48,9.97,20030400,20030500,20030300
2003-01-29 06:00:00,10.25,10.57,10.01,20030400,20030500,20030300
2003-01-30 06:00:00,10.15,10.45,9.85,20030400,20030500,20030300
2003-01-31 06:00:00,10.08,10.35,9.76,20030400,20030500,20030300
2003-02-03 06:00:00,9.9,10.12,9.75,20030400,20030500,20030300
2003-02-04 06:00:00,9.9,10.1,9.7,20030400,20030500,20030300
2003-02-05 06:00:00,9.9,10.03,9.65,20030400,20030500,20030300
2003-02-06 06:00:00,9.96,10.11,9.7,20030400,20030500,20030300
2003-02-07 06:00:00,9.98,10.15,9.78,20030400,20030500,20030300
2003-02-10 06:00:00,10.03,10.22,9.77,20030400,20030500,20030300
2003-02-11 06:00:00,10.02,10.28,9.75,20030400,20030500,20030300
2003-02-12 06:00:00,9.95,10.25,9.71,20030400,20030500,20030300
2003-02-13 06:00:00,9.96,10.25,9.71,20030400,20030500,20030300
2003-02-14 06:00:00,9.86,10.2,9.25,20030400,20030500,20030300
2003-02-18 06:00:00,10.16,10.4,9.84,20030500,20030600,20030400
2003-02-19 06:00:00,10.05,10.33,9.74,20030500,20030600,20030400
2003-02-20 06:00:00,10.09,10.38,9.75,20030500,20030600,20030400
2003-02-21 06:00:00,10.04,10.35,9.56,20030500,20030600,20030400
2003-02-24 06:00:00,9.95,10.32,9.46,20030500,20030600,20030400
2003-02-25 06:00:00,9.9,10.29,9.42,20030500,20030600,20030400
2003-02-26 06:00:00,10.05,10.36,9.55,20030500,20030600,20030400
2003-02-27 06:00:00,9.85,10.3,9.43,20030500,20030600,20030400
2003-02-28 06:00:00,9.84,10.3,9.42,20030500,20030600,20030400
2003-03-03 06:00:00,9.85,10.3,9.52,20030500,20030600,20030400
2003-03-04 06:00:00,9.94,10.39,9.55,20030500,20030600,20030400
