DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1987-02-17 06:00:00,4.105,4.18,4.28,19870900,19871100,19870500
1987-02-18 06:00:00,4.105,4.18,4.245,19870900,19871100,19870500
1987-02-19 06:00:00,4.105,4.18,4.265,19870900,19871100,19870500
1987-02-20 06:00:00,4.105,4.18,4.29,19870900,19871100,19870500
1987-02-23 06:00:00,4.105,4.18,4.3,19870900,19871100,19870500
1987-02-24 06:00:00,4.13,4.21,4.315,19870900,19871100,19870500
1987-02-25 06:00:00,4.15,4.21,4.2,19870900,19871100,19870500
1987-02-26 06:00:00,4.165,4.25,4.16,19870900,19871100,19870500
1987-02-27 06:00:00,4.2,4.275,4.2,19870900,19871100,19870500
1987-03-02 06:00:00,4.21,4.285,4.2,19870900,19871100,19870500
1987-03-03 06:00:00,4.24,4.32,4.27,19870900,19871100,19870500
1987-03-04 06:00:00,4.26,4.34,4.24,19870900,19871100,19870500
1987-03-05 06:00:00,4.235,4.32,4.19,19870900,19871100,19870500
1987-03-06 06:00:00,4.22,4.305,4.195,19870900,19871100,19870500
1987-03-09 06:00:00,4.23,4.315,4.215,19870900,19871100,19870500
1987-03-10 06:00:00,4.225,4.305,4.2,19870900,19871100,19870500
1987-03-11 06:00:00,4.225,4.305,4.155,19870900,19871100,19870500
1987-03-12 06:00:00,4.235,4.315,4.16,19870900,19871100,19870500
1987-03-13 06:00:00,4.23,4.31,4.16,19870900,19871100,19870500
1987-03-16 06:00:00,4.225,4.31,4.16,19870900,19871100,19870500
1987-03-17 06:00:00,4.23,4.31,4.135,19870900,19871100,19870500
1987-03-18 06:00:00,4.235,4.315,4.14,19870900,19871100,19870500
1987-03-19 06:00:00,4.225,4.305,4.14,19870900,19871100,19870500
1987-03-20 06:00:00,4.24,4.32,4.13,19870900,19871100,19870500
1987-03-23 06:00:00,4.245,4.325,4.14,19870900,19871100,19870500
1987-03-24 06:00:00,4.28,4.355,4.14,19870900,19871100,19870500
1987-03-25 06:00:00,4.26,4.34,4.13,19870900,19871100,19870500
1987-03-26 06:00:00,4.305,4.38,4.1,19870900,19871100,19870500
1987-03-27 06:00:00,4.32,4.395,4.1,19870900,19871100,19870500
1987-03-30 06:00:00,4.32,4.395,4.05,19870900,19871100,19870500
1987-03-31 06:00:00,4.33,4.4,4.06,19870900,19871100,19870500
1987-04-01 06:00:00,4.37,4.445,4.08,19870900,19871100,19870500
1987-04-02 06:00:00,4.355,4.43,4.08,19870900,19871100,19870500
1987-04-03 06:00:00,4.355,4.425,4.08,19870900,19871100,19870500
1987-04-06 05:00:00,4.355,4.425,4.09,19870900,19871100,19870500
1987-04-07 05:00:00,4.355,4.42,4.09,19870900,19871100,19870500
1987-04-08 05:00:00,4.385,4.455,4.1,19870900,19871100,19870500
1987-04-09 05:00:00,4.39,4.465,4.08,19870900,19871100,19870500
1987-04-10 05:00:00,4.405,4.485,4.1,19870900,19871100,19870500
1987-04-13 05:00:00,4.405,4.485,4.11,19870900,19871100,19870500
1987-04-14 05:00:00,4.415,4.495,4.11,19870900,19871100,19870500
1987-04-15 05:00:00,4.415,4.49,4.1,19870900,19871100,19870500
1987-04-16 05:00:00,4.4,4.48,4.11,19870900,19871100,19870500
1987-04-20 05:00:00,4.38,4.45,4.1,19870900,19871100,19870500
1987-04-21 05:00:00,4.375,4.445,4.1,19870900,19871100,19870500
1987-04-22 05:00:00,4.36,4.43,4.07,19870900,19871100,19870500
1987-04-23 05:00:00,4.41,4.475,4.09,19870900,19871100,19870500
1987-04-24 05:00:00,4.48,4.55,4.1,19870900,19871100,19870500
1987-04-27 05:00:00,4.45,4.52,4.1,19870900,19871100,19870500
1987-04-28 05:00:00,4.47,4.545,4.05,19870900,19871100,19870500
1987-04-29 05:00:00,4.55,4.625,4.1,19870900,19871100,19870500
1987-04-30 05:00:00,4.55,4.61,4.17,19870900,19871100,19870500
1987-05-01 05:00:00,4.505,4.58,4.09,19870900,19871100,19870500
1987-05-04 05:00:00,4.55,4.64,4.07,19870900,19871100,19870500
1987-05-05 05:00:00,4.525,4.615,4.08,19870900,19871100,19870500
1987-05-06 05:00:00,4.54,4.62,4.08,19870900,19871100,19870500
1987-05-07 05:00:00,4.57,4.655,4.08,19870900,19871100,19870500
1987-05-08 05:00:00,4.58,4.68,4.12,19870900,19871100,19870500
1987-05-11 05:00:00,4.63,4.745,4.15,19870900,19871100,19870500
1987-05-12 05:00:00,4.61,4.73,4.16,19870900,19871100,19870500
1987-05-13 05:00:00,4.615,4.73,4.175,19870900,19871100,19870500
1987-05-14 05:00:00,4.555,4.68,4.15,19870900,19871100,19870500
1987-05-15 05:00:00,4.55,4.67,4.15,19870900,19871100,19870500
1987-05-18 05:00:00,4.54,4.66,4.15,19870900,19871100,19870500
1987-05-19 05:00:00,4.555,4.665,4.15,19870900,19871100,19870500
1987-05-20 05:00:00,4.65,4.765,4.55,19871100,19880100,19870900
1987-05-21 05:00:00,4.68,4.785,4.575,19871100,19880100,19870900
1987-05-22 05:00:00,4.7,4.81,4.6,19871100,19880100,19870900
1987-05-26 05:00:00,4.695,4.81,4.58,19871100,19880100,19870900
1987-05-27 05:00:00,4.72,4.83,4.62,19871100,19880100,19870900
1987-05-28 05:00:00,4.71,4.83,4.61,19871100,19880100,19870900
1987-05-29 05:00:00,4.68,4.8,4.56,19871100,19880100,19870900
1987-06-01 05:00:00,4.7,4.81,4.59,19871100,19880100,19870900
1987-06-02 05:00:00,4.75,4.86,4.66,19871100,19880100,19870900
1987-06-03 05:00:00,4.76,4.86,4.65,19871100,19880100,19870900
1987-06-04 05:00:00,4.785,4.885,4.68,19871100,19880100,19870900
1987-06-05 05:00:00,4.79,4.895,4.675,19871100,19880100,19870900
1987-06-08 05:00:00,4.765,4.885,4.655,19871100,19880100,19870900
1987-06-09 05:00:00,4.775,4.89,4.66,19871100,19880100,19870900
1987-06-10 05:00:00,4.76,4.875,4.645,19871100,19880100,19870900
1987-06-11 05:00:00,4.76,4.875,4.645,19871100,19880100,19870900
1987-06-15 05:00:00,4.79,4.9,4.67,19871100,19880100,19870900
1987-06-16 05:00:00,4.775,4.885,4.65,19871100,19880100,19870900
1987-06-17 05:00:00,4.725,4.855,4.6,19871100,19880100,19870900
1987-06-18 05:00:00,4.74,4.855,4.605,19871100,19880100,19870900
1987-06-19 05:00:00,4.76,4.87,4.63,19871100,19880100,19870900
1987-06-22 05:00:00,4.75,4.87,4.62,19871100,19880100,19870900
1987-06-23 05:00:00,4.8,4.92,4.65,19871100,19880100,19870900
1987-06-24 05:00:00,4.77,4.91,4.62,19871100,19880100,19870900
1987-06-25 05:00:00,4.75,4.89,4.6,19871100,19880100,19870900
1987-06-26 05:00:00,4.725,4.86,4.6,19871100,19880100,19870900
1987-06-29 05:00:00,4.68,4.81,4.55,19871100,19880100,19870900
1987-06-30 05:00:00,4.645,4.78,4.52,19871100,19880100,19870900
1987-07-01 05:00:00,4.675,4.8,4.55,19871100,19880100,19870900
1987-07-02 05:00:00,4.655,4.79,4.515,19871100,19880100,19870900
1987-07-08 05:00:00,4.59,4.73,4.47,19871100,19880100,19870900
1987-07-09 05:00:00,4.6,4.73,4.47,19871100,19880100,19870900
