DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1979-05-29 05:00:00,8.871,9.071,8.725,19790900,19791200,19790700
1979-05-30 05:00:00,8.813,9.008,8.67,19790900,19791200,19790700
1979-05-31 05:00:00,8.902,9.091,8.766,19790900,19791200,19790700
1979-06-01 05:00:00,8.702,8.891,8.566,19790900,19791200,19790700
1979-06-04 05:00:00,8.75,8.938,8.615,19790900,19791200,19790700
1979-06-05 05:00:00,8.778,8.972,8.63,19790900,19791200,19790700
1979-06-06 05:00:00,8.687,8.879,8.54,19790900,19791200,19790700
1979-06-07 05:00:00,8.611,8.803,8.465,19790900,19791200,19790700
1979-06-08 05:00:00,8.754,8.948,8.605,19790900,19791200,19790700
1979-06-11 05:00:00,8.748,8.943,8.6,19790900,19791200,19790700
1979-06-12 05:00:00,8.548,8.743,8.4,19790900,19791200,19790700
1979-06-13 05:00:00,8.584,8.774,8.44,19790900,19791200,19790700
1979-06-14 05:00:00,8.632,8.824,8.485,19790900,19791200,19790700
1979-06-15 05:00:00,8.661,8.852,8.515,19790900,19791200,19790700
1979-06-18 05:00:00,8.572,8.761,8.425,19790900,19791200,19790700
1979-06-19 05:00:00,8.772,8.961,8.625,19790900,19791200,19790700
1979-06-20 05:00:00,8.855,9.05,8.7,19790900,19791200,19790700
1979-06-21 05:00:00,8.897,9.095,8.74,19790900,19791200,19790700
1979-06-22 05:00:00,8.883,9.08,8.73,19790900,19791200,19790700
1979-06-25 05:00:00,8.86,9.058,8.705,19790900,19791200,19790700
1979-06-26 05:00:00,8.692,8.885,8.54,19790900,19791200,19790700
1979-06-27 05:00:00,8.667,8.85,8.52,19790900,19791200,19790700
1979-06-28 05:00:00,8.58,8.76,8.445,19790900,19791200,19790700
1979-06-29 05:00:00,8.78,8.96,8.653,19790900,19791200,19790700
1979-07-02 05:00:00,8.685,8.867,8.554,19790900,19791200,19790700
1979-07-03 05:00:00,8.84,9.032,8.708,19790900,19791200,19790700
1979-07-05 05:00:00,9.04,9.232,8.925,19790900,19791200,19790700
1979-07-06 05:00:00,9.0,9.202,8.87,19790900,19791200,19790700
1979-07-09 05:00:00,9.195,9.402,9.065,19790900,19791200,19790700
1979-07-10 05:00:00,9.25,9.46,9.122,19790900,19791200,19790700
1979-07-11 05:00:00,9.295,9.51,9.17,19790900,19791200,19790700
1979-07-12 05:00:00,9.175,9.395,9.06,19790900,19791200,19790700
1979-07-13 05:00:00,9.085,9.297,8.974,19790900,19791200,19790700
1979-07-16 05:00:00,9.285,9.497,9.3,19790900,19791200,19790700
1979-07-17 05:00:00,9.485,9.697,9.375,19790900,19791200,19790700
1979-07-18 05:00:00,9.49,9.713,9.375,19790900,19791200,19790700
1979-07-19 05:00:00,9.49,9.707,9.385,19790900,19791200,19790700
1979-07-20 05:00:00,9.63,9.86,9.52,19790900,19791200,19790700
1979-07-23 05:00:00,9.612,9.84,9.502,19790900,19791200,19790700
1979-07-24 05:00:00,9.54,9.768,9.432,19790900,19791200,19790700
1979-07-25 05:00:00,9.54,9.76,9.44,19790900,19791200,19790700
1979-07-26 05:00:00,9.625,9.847,9.53,19790900,19791200,19790700
1979-07-27 05:00:00,9.693,9.891,9.465,19791200,19800300,19790900
1979-07-30 05:00:00,9.493,9.691,9.265,19791200,19800300,19790900
1979-07-31 05:00:00,9.293,9.491,9.065,19791200,19800300,19790900
1979-08-01 05:00:00,9.375,9.572,9.16,19791200,19800300,19790900
1979-08-02 05:00:00,9.22,9.417,9.005,19791200,19800300,19790900
1979-08-03 05:00:00,9.268,9.467,9.045,19791200,19800300,19790900
1979-08-06 05:00:00,9.068,9.267,8.845,19791200,19800300,19790900
1979-08-07 05:00:00,9.0,9.189,8.79,19791200,19800300,19790900
1979-08-08 05:00:00,9.2,9.389,8.99,19791200,19800300,19790900
1979-08-09 05:00:00,9.344,9.54,9.125,19791200,19800300,19790900
1979-08-10 05:00:00,9.345,9.543,9.125,19791200,19800300,19790900
1979-08-13 05:00:00,9.185,9.383,8.97,19791200,19800300,19790900
1979-08-14 05:00:00,9.385,9.583,9.17,19791200,19800300,19790900
1979-08-15 05:00:00,9.4,9.61,9.16,19791200,19800300,19790900
1979-08-16 05:00:00,9.46,9.671,9.225,19791200,19800300,19790900
1979-08-17 05:00:00,9.467,9.677,9.23,19791200,19800300,19790900
1979-08-20 05:00:00,9.39,9.6,9.153,19791200,19800300,19790900
1979-08-21 05:00:00,9.59,9.8,9.353,19791200,19800300,19790900
1979-08-22 05:00:00,9.78,9.993,9.537,19791200,19800300,19790900
1979-08-23 05:00:00,9.98,10.193,9.737,19791200,19800300,19790900
1979-08-24 05:00:00,10.165,10.393,9.898,19791200,19800300,19790900
1979-08-27 05:00:00,10.19,10.432,9.93,19791200,19800300,19790900
1979-08-28 05:00:00,10.39,10.632,10.13,19791200,19800300,19790900
1979-08-29 05:00:00,10.535,10.77,10.285,19791200,19800300,19790900
1979-08-30 05:00:00,10.735,10.97,10.565,19791200,19800300,19790900
1979-08-31 05:00:00,10.86,11.045,10.615,19791200,19800300,19790900
1979-09-04 05:00:00,11.26,11.445,11.02,19791200,19800300,19790900
1979-09-05 05:00:00,11.66,11.845,11.75,19791200,19800300,19790900
1979-09-06 05:00:00,12.06,12.245,11.805,19791200,19800300,19790900
1979-09-07 05:00:00,12.19,12.34,11.92,19791200,19800300,19790900
1979-09-10 05:00:00,12.59,12.74,12.54,19791200,19800300,19790900
1979-09-11 05:00:00,12.89,13.044,12.635,19791200,19800300,19790900
1979-09-12 05:00:00,12.5,12.665,12.24,19791200,19800300,19790900
1979-09-13 05:00:00,12.9,13.065,12.65,19791200,19800300,19790900
1979-09-14 05:00:00,13.3,13.465,13.35,19791200,19800300,19790900
1979-09-17 05:00:00,13.9,14.065,14.25,19791200,19800300,19790900
1979-09-18 05:00:00,14.7,14.865,15.9,19791200,19800300,19790900
1979-09-19 05:00:00,15.5,15.665,15.2,19791200,19800300,19790900
1979-09-20 05:00:00,15.7,15.89,15.3,19791200,19800300,19790900
1979-09-21 05:00:00,16.1,16.29,15.75,19791200,19800300,19790900
1979-09-24 05:00:00,16.38,16.68,15.97,19791200,19800300,19790900
1979-09-25 05:00:00,15.78,16.08,15.33,19791200,19800300,19790900
1979-09-26 05:00:00,16.48,16.58,16.1,19800300,19800500,19791200
1979-09-27 05:00:00,16.87,16.98,16.5,19800300,19800500,19791200
1979-09-28 05:00:00,17.19,17.305,16.8,19800300,19800500,19791200
1979-10-01 05:00:00,17.59,17.705,17.2,19800300,19800500,19791200
1979-10-02 05:00:00,17.7,17.815,17.3,19800300,19800500,19791200
1979-10-03 05:00:00,17.71,17.815,17.31,19800300,19800500,19791200
1979-10-04 05:00:00,17.31,17.415,16.91,19800300,19800500,19791200
1979-10-05 05:00:00,16.91,17.015,16.51,19800300,19800500,19791200
1979-10-08 05:00:00,16.31,16.44,15.91,19800300,19800500,19791200
1979-10-09 05:00:00,17.11,17.24,16.71,19800300,19800500,19791200
1979-10-10 05:00:00,17.91,18.04,17.51,19800300,19800500,19791200
1979-10-11 05:00:00,18.21,18.355,17.8,19800300,19800500,19791200
1979-10-12 05:00:00,18.23,18.385,17.8,19800300,19800500,19791200
1979-10-15 05:00:00,18.3,18.465,17.82,19800300,19800500,19791200
1979-10-16 05:00:00,17.9,18.065,17.42,19800300,19800500,19791200
1979-10-17 05:00:00,17.85,18.055,17.3,19800300,19800500,19791200
1979-10-18 05:00:00,18.05,18.35,17.4,19800300,19800500,19791200
1979-10-19 05:00:00,18.33,18.58,17.78,19800300,19800500,19791200
1979-10-22 05:00:00,18.21,18.47,17.66,19800300,19800500,19791200
1979-10-23 05:00:00,18.15,18.415,17.55,19800300,19800500,19791200
1979-10-24 05:00:00,18.33,18.605,17.71,19800300,19800500,19791200
1979-10-25 05:00:00,18.06,18.32,17.45,19800300,19800500,19791200
1979-10-26 05:00:00,17.66,17.92,17.05,19800300,19800500,19791200
1979-10-29 06:00:00,17.26,17.52,16.65,19800300,19800500,19791200
1979-10-30 06:00:00,17.17,17.405,16.6,19800300,19800500,19791200
1979-10-31 06:00:00,17.36,17.595,16.79,19800300,19800500,19791200
1979-11-01 06:00:00,16.96,17.195,16.39,19800300,19800500,19791200
1979-11-02 06:00:00,16.845,17.07,16.29,19800300,19800500,19791200
1979-11-05 06:00:00,17.055,17.295,16.485,19800300,19800500,19791200
1979-11-06 06:00:00,17.45,17.695,16.87,19800300,19800500,19791200
1979-11-07 06:00:00,17.345,17.587,16.75,19800300,19800500,19791200
1979-11-08 06:00:00,17.26,17.498,16.67,19800300,19800500,19791200
1979-11-09 06:00:00,17.025,17.26,16.42,19800300,19800500,19791200
1979-11-12 06:00:00,17.015,17.25,16.39,19800300,19800500,19791200
1979-11-13 06:00:00,16.615,16.85,15.99,19800300,19800500,19791200
1979-11-14 06:00:00,16.89,17.125,16.27,19800300,19800500,19791200
1979-11-15 06:00:00,16.775,17.02,16.16,19800300,19800500,19791200
1979-11-16 06:00:00,16.925,17.175,16.3,19800300,19800500,19791200
1979-11-19 06:00:00,16.95,17.2,16.32,19800300,19800500,19791200
1979-11-20 06:00:00,16.95,17.2,16.3,19800300,19800500,19791200
1979-11-21 06:00:00,16.675,16.96,16.0,19800300,19800500,19791200
1979-11-23 06:00:00,16.995,17.25,16.32,19800300,19800500,19791200
1979-11-26 06:00:00,17.07,17.35,16.405,19800300,19800500,19791200
1979-11-27 06:00:00,17.47,17.75,16.805,19800300,19800500,19791200
1979-11-28 06:00:00,17.87,18.15,18.26,19800300,19800500,19791200
1979-11-29 06:00:00,18.47,18.75,18.16,19800300,19800500,19791200
1979-11-30 06:00:00,19.27,19.55,18.82,19800300,19800500,19791200
1979-12-03 06:00:00,20.08,20.35,20.05,19800300,19800500,19791200
1979-12-04 06:00:00,20.4,20.675,19.78,19800300,19800500,19791200
1979-12-05 06:00:00,20.172,20.455,19.542,19800300,19800500,19791200
1979-12-06 06:00:00,19.81,20.09,19.18,19800300,19800500,19791200
1979-12-07 06:00:00,19.37,19.64,18.76,19800300,19800500,19791200
1979-12-10 06:00:00,19.8,20.075,19.16,19800300,19800500,19791200
1979-12-11 06:00:00,20.3,20.575,19.99,19800300,19800500,19791200
1979-12-12 06:00:00,20.75,21.035,20.08,19800300,19800500,19791200
1979-12-13 06:00:00,21.5,21.785,21.0,19800300,19800500,19791200
1979-12-14 06:00:00,22.38,22.73,21.65,19800300,19800500,19791200
1979-12-17 06:00:00,23.15,23.545,22.35,19800300,19800500,19791200
1979-12-18 06:00:00,24.15,24.545,23.7,19800300,19800500,19791200
1979-12-19 06:00:00,24.5,24.955,23.63,19800300,19800500,19791200
1979-12-20 06:00:00,24.3,24.73,23.5,19800300,19800500,19791200
1979-12-21 06:00:00,25.05,25.48,24.35,19800300,19800500,19791200
1979-12-26 06:00:00,26.05,26.48,25.5,19800300,19800500,19791200
1979-12-27 06:00:00,27.48,27.89,27.05,19800500,19800700,19800300
1979-12-28 06:00:00,28.48,28.89,28.05,19800500,19800700,19800300
1979-12-31 06:00:00,29.48,29.89,29.05,19800500,19800700,19800300
1980-01-02 06:00:00,30.48,30.89,30.05,19800500,19800700,19800300
1980-01-03 06:00:00,31.48,31.89,31.05,19800500,19800700,19800300
1980-01-04 06:00:00,32.48,32.89,32.05,19800500,19800700,19800300
1980-01-07 06:00:00,33.48,33.89,33.05,19800500,19800700,19800300
1980-01-08 06:00:00,33.25,33.735,32.75,19800500,19800700,19800300
1980-01-09 06:00:00,34.0,34.485,33.5,19800500,19800700,19800300
1980-01-10 06:00:00,35.0,35.4,34.5,19800500,19800700,19800300
1980-01-11 06:00:00,36.0,36.4,35.5,19800500,19800700,19800300
1980-01-14 06:00:00,37.0,37.4,36.5,19800500,19800700,19800300
1980-01-15 06:00:00,38.0,38.4,37.5,19800500,19800700,19800300
1980-01-16 06:00:00,39.0,39.4,38.5,19800500,19800700,19800300
1980-01-17 06:00:00,40.0,40.4,39.5,19800500,19800700,19800300
