DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
1979-04-17 06:00:00,26.6,26.0,26.63,19790800,19790900,19790700
1979-04-18 06:00:00,26.13,25.6,26.15,19790800,19790900,19790700
1979-04-19 06:00:00,26.35,25.8,26.38,19790800,19790900,19790700
1979-04-20 06:00:00,26.3,25.8,26.33,19790800,19790900,19790700
1979-04-23 06:00:00,26.25,25.77,26.23,19790800,19790900,19790700
1979-04-24 06:00:00,26.7,26.28,26.73,19790800,19790900,19790700
1979-04-25 06:00:00,26.78,26.33,26.78,19790800,19790900,19790700
1979-04-26 06:00:00,26.7,26.3,26.66,19790800,19790900,19790700
1979-04-27 06:00:00,26.41,26.03,26.43,19790800,19790900,19790700
1979-04-30 05:00:00,26.28,25.9,26.33,19790800,19790900,19790700
1979-05-01 05:00:00,26.23,25.88,26.29,19790800,19790900,19790700
1979-05-02 05:00:00,26.56,26.29,26.58,19790800,19790900,19790700
1979-05-03 05:00:00,26.58,26.23,26.56,19790800,19790900,19790700
1979-05-04 05:00:00,26.43,26.15,26.41,19790800,19790900,19790700
1979-05-07 05:00:00,26.08,25.93,26.03,19790800,19790900,19790700
1979-05-08 05:00:00,25.95,25.83,25.86,19790800,19790900,19790700
1979-05-09 05:00:00,26.18,26.05,26.07,19790800,19790900,19790700
1979-05-10 05:00:00,26.43,26.28,26.33,19790800,19790900,19790700
1979-05-11 05:00:00,25.98,25.95,25.86,19790800,19790900,19790700
1979-05-14 05:00:00,25.96,25.98,25.78,19790800,19790900,19790700
1979-05-15 05:00:00,26.0,26.03,25.86,19790800,19790900,19790700
1979-05-16 05:00:00,26.33,26.28,26.18,19790800,19790900,19790700
1979-05-17 05:00:00,26.41,26.35,26.29,19790800,19790900,19790700
1979-05-18 05:00:00,26.23,25.95,26.28,19790900,19791000,19790800
1979-05-21 05:00:00,26.6,26.38,26.63,19790900,19791000,19790800
1979-05-22 05:00:00,26.4,26.25,26.41,19790900,19791000,19790800
1979-05-23 05:00:00,26.43,26.13,26.41,19790900,19791000,19790800
1979-05-24 05:00:00,26.25,26.01,26.28,19790900,19791000,19790800
1979-05-25 05:00:00,26.13,25.88,26.11,19790900,19791000,19790800
1979-05-29 05:00:00,26.3,26.13,26.21,19790900,19791000,19790800
1979-05-30 05:00:00,26.28,26.1,26.15,19790900,19791000,19790800
1979-05-31 05:00:00,26.3,26.1,26.17,19790900,19791000,19790800
1979-06-01 05:00:00,26.0,25.91,25.9,19790900,19791000,19790800
1979-06-04 05:00:00,26.18,26.1,26.0,19790900,19791000,19790800
1979-06-05 05:00:00,26.0,25.9,25.84,19790900,19791000,19790800
1979-06-06 05:00:00,26.13,26.08,26.08,19790900,19791000,19790800
1979-06-07 05:00:00,26.18,26.15,26.08,19790900,19791000,19790800
1979-06-08 05:00:00,26.53,26.6,26.4,19790900,19791000,19790800
1979-06-11 05:00:00,27.3,27.28,27.08,19790900,19791000,19790800
1979-06-12 05:00:00,26.88,26.9,26.71,19790900,19791000,19790800
1979-06-13 05:00:00,27.15,27.18,26.95,19790900,19791000,19790800
1979-06-14 05:00:00,27.48,27.58,27.29,19790900,19791000,19790800
1979-06-15 05:00:00,27.55,27.55,27.43,19790900,19791000,19790800
1979-06-18 05:00:00,27.28,27.3,27.08,19790900,19791000,19790800
1979-06-19 05:00:00,27.3,27.33,27.19,19791000,19791200,19790900
1979-06-20 05:00:00,28.0,28.03,27.98,19791000,19791200,19790900
1979-06-21 05:00:00,28.38,28.32,28.38,19791000,19791200,19790900
1979-06-22 05:00:00,28.78,28.68,29.05,19791000,19791200,19790900
1979-06-25 05:00:00,28.45,28.35,28.58,19791000,19791200,19790900
1979-06-26 05:00:00,28.68,28.63,28.73,19791000,19791200,19790900
1979-06-27 05:00:00,28.13,27.95,28.3,19791000,19791200,19790900
1979-06-28 05:00:00,27.83,27.68,27.93,19791000,19791200,19790900
1979-06-29 05:00:00,26.82,26.68,26.96,19791000,19791200,19790900
1979-07-02 05:00:00,27.2,27.03,27.43,19791000,19791200,19790900
1979-07-03 05:00:00,27.2,26.93,27.43,19791000,19791200,19790900
1979-07-05 05:00:00,28.04,27.68,28.25,19791000,19791200,19790900
1979-07-06 05:00:00,27.85,27.73,28.03,19791000,19791200,19790900
1979-07-09 05:00:00,28.5,28.38,28.68,19791000,19791200,19790900
1979-07-10 05:00:00,27.95,27.7,28.35,19791000,19791200,19790900
1979-07-11 05:00:00,28.38,28.2,28.65,19791000,19791200,19790900
1979-07-12 05:00:00,27.47,27.22,27.75,19791000,19791200,19790900
1979-07-13 05:00:00,27.75,27.48,27.98,19791000,19791200,19790900
1979-07-16 05:00:00,27.58,27.48,27.83,19791000,19791200,19790900
1979-07-17 05:00:00,28.23,27.88,28.58,19791000,19791200,19790900
1979-07-18 05:00:00,27.73,27.63,28.13,19791200,19800100,19791000
1979-07-19 05:00:00,27.94,27.8,28.23,19791200,19800100,19791000
1979-07-20 05:00:00,28.23,28.15,28.71,19791200,19800100,19791000
1979-07-23 05:00:00,27.23,27.15,27.73,19791200,19800100,19791000
1979-07-24 05:00:00,27.15,27.0,27.58,19791200,19800100,19791000
1979-07-25 05:00:00,26.88,26.85,27.13,19791200,19800100,19791000
1979-07-26 05:00:00,27.13,27.1,27.48,19791200,19800100,19791000
1979-07-27 05:00:00,26.35,26.33,26.73,19791200,19800100,19791000
1979-07-30 05:00:00,25.93,25.85,26.25,19791200,19800100,19791000
1979-07-31 05:00:00,26.03,26.03,26.45,19791200,19800100,19791000
1979-08-01 05:00:00,26.18,26.1,26.53,19791200,19800100,19791000
1979-08-02 05:00:00,26.08,26.1,26.43,19791200,19800100,19791000
1979-08-03 05:00:00,26.08,26.08,26.35,19791200,19800100,19791000
1979-08-06 05:00:00,25.63,25.68,25.93,19791200,19800100,19791000
1979-08-07 05:00:00,25.68,25.7,25.93,19791200,19800100,19791000
1979-08-08 05:00:00,25.88,25.88,26.23,19791200,19800100,19791000
1979-08-09 05:00:00,25.83,25.82,26.25,19791200,19800100,19791000
1979-08-10 05:00:00,25.78,25.75,26.23,19791200,19800100,19791000
1979-08-13 05:00:00,25.43,25.38,25.94,19791200,19800100,19791000
1979-08-14 05:00:00,26.23,26.18,26.78,19791200,19800100,19791000
1979-08-15 05:00:00,25.83,25.8,26.38,19791200,19800100,19791000
