DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2010-06-11 05:00:00,865.5,862.0,862.0,20100900,20101200,20101200
2010-06-14 05:00:00,876.0,872.5,872.5,20100900,20101200,20101200
2010-06-15 05:00:00,875.0,871.5,871.5,20100900,20101200,20101200
2010-06-16 05:00:00,894.5,891.0,891.0,20100900,20101200,20101200
2010-06-17 05:00:00,887.5,884.0,884.0,20100900,20101200,20101200
2010-06-18 05:00:00,884.5,881.0,881.0,20100900,20101200,20101200
2010-06-21 05:00:00,903.5,900.0,900.0,20100900,20101200,20101200
2010-06-22 05:00:00,893.5,890.0,890.0,20100900,20101200,20101200
2010-06-23 05:00:00,879.0,875.5,875.5,20100900,20101200,20101200
2010-06-24 05:00:00,879.0,875.5,875.5,20100900,20101200,20101200
2010-06-25 05:00:00,867.5,864.0,864.0,20100900,20101200,20101200
2010-06-28 05:00:00,860.0,856.5,856.5,20100900,20101200,20101200
2010-06-29 05:00:00,851.0,847.5,847.5,20100900,20101200,20101200
2010-06-30 05:00:00,838.5,835.0,835.0,20100900,20101200,20101200
2010-07-01 05:00:00,829.0,825.5,825.5,20100900,20101200,20101200
2010-07-02 05:00:00,833.0,829.5,829.5,20100900,20101200,20101200
2010-07-05 05:00:00,838.0,831.5,831.5,20100900,20101200,20101200
2010-07-06 05:00:00,849.0,842.5,842.5,20100900,20101200,20101200
2010-07-07 05:00:00,842.5,836.0,836.0,20100900,20101200,20101200
2010-07-08 05:00:00,862.5,856.0,856.0,20100900,20101200,20101200
2010-07-09 05:00:00,860.5,854.0,854.0,20100900,20101200,20101200
2010-07-12 05:00:00,858.5,852.0,852.0,20100900,20101200,20101200
2010-07-13 05:00:00,853.0,846.5,846.5,20100900,20101200,20101200
2010-07-14 05:00:00,870.0,863.5,863.5,20100900,20101200,20101200
2010-07-15 05:00:00,855.0,848.5,848.5,20100900,20101200,20101200
2010-07-16 05:00:00,841.5,835.0,835.0,20100900,20101200,20101200
2010-07-20 05:00:00,832.5,826.0,826.0,20100900,20101200,20101200
2010-07-21 05:00:00,827.0,820.5,820.5,20100900,20101200,20101200
2010-07-22 05:00:00,824.0,817.5,817.5,20100900,20101200,20101200
2010-07-23 05:00:00,842.5,836.0,836.0,20100900,20101200,20101200
2010-07-26 05:00:00,845.0,838.5,838.5,20100900,20101200,20101200
2010-07-27 05:00:00,845.5,839.0,839.0,20100900,20101200,20101200
2010-07-28 05:00:00,864.5,858.0,858.0,20100900,20101200,20101200
2010-07-29 05:00:00,860.5,854.0,854.0,20100900,20101200,20101200
2010-07-30 05:00:00,847.0,840.5,840.5,20100900,20101200,20101200
2010-08-02 05:00:00,849.0,842.5,842.5,20100900,20101200,20101200
2010-08-03 05:00:00,858.5,852.0,852.0,20100900,20101200,20101200
2010-08-04 05:00:00,845.0,838.5,838.5,20100900,20101200,20101200
2010-08-05 05:00:00,856.5,850.0,850.0,20100900,20101200,20101200
2010-08-06 05:00:00,863.5,857.0,857.0,20100900,20101200,20101200
2010-08-09 05:00:00,856.0,849.5,849.5,20100900,20101200,20101200
2010-08-10 05:00:00,853.0,846.5,846.5,20100900,20101200,20101200
2010-08-11 05:00:00,833.0,826.5,826.5,20100900,20101200,20101200
2010-08-12 05:00:00,825.5,819.0,819.0,20100900,20101200,20101200
2010-08-13 05:00:00,833.0,826.5,826.5,20100900,20101200,20101200
2010-08-16 05:00:00,826.5,820.0,820.0,20100900,20101200,20101200
2010-08-17 05:00:00,827.5,821.0,821.0,20100900,20101200,20101200
2010-08-18 05:00:00,835.0,828.5,828.5,20100900,20101200,20101200
2010-08-19 05:00:00,844.5,838.0,838.0,20100900,20101200,20101200
2010-08-20 05:00:00,827.5,821.0,821.0,20100900,20101200,20101200
2010-08-23 05:00:00,822.5,816.0,816.0,20100900,20101200,20101200
2010-08-24 05:00:00,816.0,809.5,809.5,20100900,20101200,20101200
