DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2020-08-26 17:00:00,116.4140625,,,20201200,20210300,20210300
2020-08-26 18:00:00,116.421875,,,20201200,20210300,20210300
2020-08-26 20:00:00,116.4296875,,,20201200,20210300,20210300
2020-08-27 05:00:00,116.3671875,116.3671875,116.3671875,20201200,20210300,20210300
2020-08-27 07:00:00,116.43359375,,,20201200,20210300,20210300
2020-08-27 08:00:00,116.4296875,,,20201200,20210300,20210300
2020-08-27 09:00:00,116.44921875,,,20201200,20210300,20210300
2020-08-27 10:00:00,116.4453125,,,20201200,20210300,20210300
2020-08-27 11:00:00,116.4453125,,,20201200,20210300,20210300
2020-08-27 12:00:00,116.43359375,,,20201200,20210300,20210300
2020-08-27 13:00:00,116.41796875,,,20201200,20210300,20210300
2020-08-27 15:00:00,116.390625,,,20201200,20210300,20210300
2020-08-27 16:00:00,116.37890625,,,20201200,20210300,20210300
2020-08-27 17:00:00,116.39453125,,,20201200,20210300,20210300
2020-08-27 19:00:00,116.35546875,,,20201200,20210300,20210300
2020-08-28 05:00:00,116.46875,116.46875,116.46875,20201200,20210300,20210300
2020-08-28 10:00:00,116.390625,,,20201200,20210300,20210300
2020-08-28 11:00:00,116.38671875,,,20201200,20210300,20210300
2020-08-28 12:00:00,116.41796875,,,20201200,20210300,20210300
2020-08-28 13:00:00,116.44921875,,,20201200,20210300,20210300
2020-08-28 14:00:00,116.46875,,,20201200,20210300,20210300
2020-08-28 15:00:00,116.47265625,,,20201200,20210300,20210300
2020-08-28 16:00:00,116.46484375,,,20201200,20210300,20210300
2020-08-28 17:00:00,116.44921875,,,20201200,20210300,20210300
2020-08-28 18:00:00,116.4609375,,,20201200,20210300,20210300
2020-08-28 19:00:00,116.46875,,,20201200,20210300,20210300
2020-08-28 20:00:00,116.48828125,,,20201200,20210300,20210300
2020-08-31 05:00:00,116.4921875,116.4921875,116.4921875,20201200,20210300,20210300
2020-08-31 11:00:00,116.46875,,,20201200,20210300,20210300
2020-08-31 12:00:00,116.453125,,,20201200,20210300,20210300
2020-08-31 13:00:00,116.46875,,,20201200,20210300,20210300
2020-08-31 14:00:00,116.45703125,,,20201200,20210300,20210300
2020-08-31 15:00:00,116.48828125,,,20201200,20210300,20210300
2020-08-31 16:00:00,116.5,,,20201200,20210300,20210300
2020-08-31 17:00:00,116.4921875,,,20201200,20210300,20210300
2020-08-31 18:00:00,116.49609375,,,20201200,20210300,20210300
2020-08-31 19:00:00,116.48046875,,,20201200,20210300,20210300
2020-08-31 20:00:00,116.48828125,,,20201200,20210300,20210300
2020-08-31 22:00:00,116.4921875,,,20201200,20210300,20210300
2020-08-31 23:00:00,116.48828125,,,20201200,20210300,20210300
2020-09-01 00:00:00,116.484375,,,20201200,20210300,20210300
2020-09-01 01:00:00,116.484375,,,20201200,20210300,20210300
2020-09-01 02:00:00,116.484375,,,20201200,20210300,20210300
2020-09-01 03:00:00,116.49609375,,,20201200,20210300,20210300
2020-09-01 04:00:00,116.48828125,,,20201200,20210300,20210300
2020-09-01 05:00:00,116.48828125,116.5,116.5,20201200,20210300,20210300
2020-09-01 06:00:00,116.49609375,,,20201200,20210300,20210300
2020-09-01 07:00:00,116.4921875,,,20201200,20210300,20210300
2020-09-01 08:00:00,116.48046875,,,20201200,20210300,20210300
2020-09-01 09:00:00,116.484375,,,20201200,20210300,20210300
2020-09-01 10:00:00,116.48046875,,,20201200,20210300,20210300
2020-09-01 11:00:00,116.484375,,,20201200,20210300,20210300
2020-09-01 12:00:00,116.484375,,,20201200,20210300,20210300
2020-09-01 13:00:00,116.48046875,,,20201200,20210300,20210300
2020-09-01 14:00:00,116.49609375,,,20201200,20210300,20210300
2020-09-01 15:00:00,116.50390625,,,20201200,20210300,20210300
2020-09-01 16:00:00,116.4921875,,,20201200,20210300,20210300
2020-09-01 17:00:00,116.50390625,,,20201200,20210300,20210300
2020-09-01 18:00:00,116.50390625,,,20201200,20210300,20210300
2020-09-01 19:00:00,116.5,,,20201200,20210300,20210300
2020-09-01 20:00:00,116.5,,,20201200,20210300,20210300
2020-09-02 00:00:00,116.4921875,,,20201200,20210300,20210300
2020-09-02 03:00:00,116.484375,,,20201200,20210300,20210300
2020-09-02 05:00:00,116.4921875,116.4921875,116.4921875,20201200,20210300,20210300
2020-09-02 07:00:00,116.484375,,,20201200,20210300,20210300
2020-09-02 08:00:00,116.48046875,,,20201200,20210300,20210300
2020-09-02 09:00:00,116.4765625,,,20201200,20210300,20210300
2020-09-02 10:00:00,116.47265625,,,20201200,20210300,20210300
2020-09-02 11:00:00,116.484375,,,20201200,20210300,20210300
2020-09-02 12:00:00,116.48046875,,,20201200,20210300,20210300
2020-09-02 13:00:00,116.49609375,,,20201200,20210300,20210300
2020-09-02 14:00:00,116.5,,,20201200,20210300,20210300
2020-09-02 15:00:00,116.5,,,20201200,20210300,20210300
2020-09-02 16:00:00,116.49609375,,,20201200,20210300,20210300
2020-09-02 17:00:00,116.5,,,20201200,20210300,20210300
