DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2020-09-09 06:00:00,,,34.75,20201100,20201200,20201000
2020-09-09 08:00:00,,,34.45,20201100,20201200,20201000
2020-09-09 09:00:00,31.85,,34.7,20201100,20201200,20201000
2020-09-09 10:00:00,,,34.8,20201100,20201200,20201000
2020-09-09 11:00:00,,,34.25,20201100,20201200,20201000
2020-09-09 12:00:00,,,33.95,20201100,20201200,20201000
2020-09-09 13:00:00,31.7,,33.65,20201100,20201200,20201000
2020-09-09 14:00:00,31.35,29.05,33.5,20201100,20201200,20201000
2020-09-09 15:00:00,31.75,28.95,33.4,20201100,20201200,20201000
2020-09-09 16:00:00,31.8,29.0,33.75,20201100,20201200,20201000
2020-09-09 17:00:00,31.3,29.1,33.25,20201100,20201200,20201000
2020-09-09 18:00:00,30.9,,32.75,20201100,20201200,20201000
2020-09-09 19:00:00,30.9,29.25,32.55,20201100,20201200,20201000
2020-09-09 20:00:00,,,33.2,20201100,20201200,20201000
2020-09-10 01:00:00,,,33.3,20201100,20201200,20201000
2020-09-10 02:00:00,,,33.55,20201100,20201200,20201000
2020-09-10 03:00:00,,,33.25,20201100,20201200,20201000
2020-09-10 05:00:00,31.5,29.075,33.2,20201100,20201200,20201000
2020-09-10 06:00:00,,,33.15,20201100,20201200,20201000
2020-09-10 07:00:00,,,33.3,20201100,20201200,20201000
2020-09-10 08:00:00,,,33.55,20201100,20201200,20201000
2020-09-10 09:00:00,31.6,,33.5,20201100,20201200,20201000
2020-09-10 10:00:00,,,33.6,20201100,20201200,20201000
2020-09-10 11:00:00,31.35,,33.25,20201100,20201200,20201000
2020-09-10 12:00:00,,29.25,33.05,20201100,20201200,20201000
2020-09-10 13:00:00,,29.15,32.9,20201100,20201200,20201000
2020-09-10 14:00:00,31.8,,33.85,20201100,20201200,20201000
2020-09-10 15:00:00,31.7,,33.15,20201100,20201200,20201000
2020-09-10 16:00:00,31.45,29.7,33.25,20201100,20201200,20201000
2020-09-10 17:00:00,31.4,,33.05,20201100,20201200,20201000
2020-09-10 18:00:00,31.85,29.85,33.55,20201100,20201200,20201000
2020-09-10 19:00:00,31.85,29.85,33.15,20201100,20201200,20201000
2020-09-10 20:00:00,,29.35,32.75,20201100,20201200,20201000
2020-09-10 22:00:00,31.2,,32.8,20201100,20201200,20201000
2020-09-10 23:00:00,,,32.85,20201100,20201200,20201000
2020-09-11 00:00:00,,29.35,32.8,20201100,20201200,20201000
2020-09-11 03:00:00,,,32.8,20201100,20201200,20201000
2020-09-11 05:00:00,30.575,29.425,32.65,20201100,20201200,20201000
2020-09-11 06:00:00,,,32.7,20201100,20201200,20201000
2020-09-11 07:00:00,,,32.5,20201100,20201200,20201000
2020-09-11 09:00:00,30.7,,,20201100,20201200,20201000
2020-09-11 10:00:00,,,32.55,20201100,20201200,20201000
2020-09-11 11:00:00,30.75,,,20201100,20201200,20201000
2020-09-11 12:00:00,,,32.45,20201100,20201200,20201000
2020-09-11 13:00:00,31.0,,32.75,20201100,20201200,20201000
2020-09-11 14:00:00,30.55,29.1,32.25,20201100,20201200,20201000
2020-09-11 15:00:00,,28.9,32.2,20201100,20201200,20201000
2020-09-11 16:00:00,30.8,29.1,32.6,20201100,20201200,20201000
2020-09-11 17:00:00,31.35,,32.7,20201100,20201200,20201000
2020-09-11 18:00:00,30.45,,31.95,20201100,20201200,20201000
2020-09-11 19:00:00,30.3,28.85,31.45,20201100,20201200,20201000
2020-09-11 20:00:00,30.2,,31.75,20201100,20201200,20201000
2020-09-13 22:00:00,,,31.2,20201100,20201200,20201000
2020-09-13 23:00:00,,,31.3,20201100,20201200,20201000
2020-09-14 00:00:00,,,31.3,20201100,20201200,20201000
2020-09-14 01:00:00,,,31.05,20201100,20201200,20201000
2020-09-14 02:00:00,,,31.0,20201100,20201200,20201000
2020-09-14 03:00:00,,,30.9,20201100,20201200,20201000
2020-09-14 04:00:00,,,31.0,20201100,20201200,20201000
2020-09-14 05:00:00,30.15,29.025,31.375,20201100,20201200,20201000
2020-09-14 06:00:00,,,30.85,20201100,20201200,20201000
2020-09-14 07:00:00,,28.65,30.95,20201100,20201200,20201000
2020-09-14 08:00:00,,,31.3,20201100,20201200,20201000
2020-09-14 09:00:00,,,31.25,20201100,20201200,20201000
2020-09-14 10:00:00,,,31.35,20201100,20201200,20201000
2020-09-14 11:00:00,30.05,,31.25,20201100,20201200,20201000
2020-09-14 12:00:00,,,31.05,20201100,20201200,20201000
2020-09-14 13:00:00,30.15,,31.2,20201100,20201200,20201000
