,gross,costs,net
2023-12-27,0.0,,0.0
2023-12-28,0.0,,0.0
2023-12-29,0.0,,0.0
2024-01-01,0.0,,0.0
2024-01-02,0.0,,0.0
2024-01-03,0.0,,0.0
2024-01-04,0.0,,0.0
2024-01-05,0.0,,0.0
2024-01-08,0.0,,0.0
2024-01-09,0.0,,0.0
2024-01-10,0.0,,0.0
2024-01-11,0.0,,0.0
2024-01-12,0.0,,0.0
2024-01-15,0.0,,0.0
2024-01-16,0.0,,0.0
2024-01-17,0.0,,0.0
2024-01-18,0.0,-15.81,-15.81
2024-01-19,-30.000000000001137,-15.81,-45.81000000000114
2024-01-22,280.00000000000114,-15.81,264.19000000000113
2024-01-23,180.00000000000682,-31.62,148.38000000000682
2024-01-24,-399.9999999999915,-15.81,-415.8099999999915
2024-01-25,599.9999999999659,-15.81,584.189999999966
2024-01-26,-629.9999999999741,-15.81,-645.809999999974
2024-01-29,-319.9999999999932,-15.81,-335.8099999999932
2024-01-30,-1619.9999999999975,0.0,-1619.9999999999975
2024-01-31,719.9999999999847,0.0,719.9999999999847
2024-02-01,-89.9999999999821,0.0,-89.9999999999821
2024-02-02,-1890.0000000000077,0.0,-1890.0000000000077
2024-02-05,4679.9999999999645,0.0,4679.9999999999645
2024-02-06,-899.9999999999488,0.0,-899.9999999999488
2024-02-07,-900.0000000000127,0.0,-900.0000000000127
2024-02-08,2159.999999999954,0.0,2159.999999999954
2024-02-09,900.0000000000127,0.0,900.0000000000127
2024-02-12,0.0,0.0,0.0
2024-02-13,-1349.9999999999873,0.0,-1349.9999999999873
2024-02-14,3510.000000000005,0.0,3510.000000000005
2024-02-15,270.00000000001023,-58.416111111111114,211.5838888888991
2024-02-16,-989.9999999999949,0.0,-989.9999999999949
2024-02-19,-180.00000000002814,-15.81,-195.81000000002814
2024-02-20,700.0000000000028,-15.81,684.1900000000029
2024-02-21,-2199.999999999953,-15.81,-2215.809999999953
2024-02-22,-480.00000000007503,0.0,-480.00000000007503
2024-02-23,3240.0000000000373,0.0,3240.0000000000373
2024-02-26,0.0,0.0,0.0
2024-02-27,-3360.0000000000136,0.0,-3360.0000000000136
2024-02-28,2760.0000000000477,0.0,2760.0000000000477
2024-02-29,-1560.0000000000307,0.0,-1560.0000000000307
2024-03-01,360.00000000001364,0.0,360.00000000001364
2024-03-04,-1319.9999999999932,-15.81,-1335.8099999999931
2024-03-05,259.9999999999483,0.0,259.9999999999483
2024-03-06,-2079.9999999999554,0.0,-2079.9999999999554
2024-03-07,-910.0000000000036,0.0,-910.0000000000036
2024-03-08,-1820.0000000000073,0.0,-1820.0000000000073
2024-03-11,-780.0000000000296,0.0,-780.0000000000296
2024-03-12,2339.9999999999964,0.0,2339.9999999999964
2024-03-13,2080.000000000048,0.0,2080.000000000048
2024-03-14,-1170.0000000000443,0.0,-1170.0000000000443
2024-03-15,2080.000000000048,0.0,2080.000000000048
2024-03-18,2469.9999999999704,0.0,2469.9999999999704
2024-03-19,910.0000000000036,0.0,910.0000000000036
2024-03-20,1169.999999999952,0.0,1169.999999999952
2024-03-21,-519.9999999999889,0.0,-519.9999999999889
2024-03-22,4160.000000000004,-15.81,4144.190000000003
2024-03-25,140.00000000007162,0.0,140.00000000007162
2024-03-26,-1680.0000000000637,-47.43,-1727.4300000000637
2024-03-27,2549.999999999976,-15.81,2534.189999999976
2024-03-28,1620.0000000000614,-31.62,1588.3800000000615
2024-03-29,-2000.0000000000284,-31.62,-2031.6200000000283
2024-04-01,660.000000000025,-31.62,628.380000000025
2024-04-02,5279.999999999973,-31.62,5248.379999999973
2024-04-03,1560.0000000000591,-15.81,1544.1900000000592
2024-04-04,269.9999999999463,-63.24,206.75999999994627
2024-04-05,-1239.9999999999736,-47.43,-1287.4299999999737
2024-04-08,0.0,-31.62,-31.62
2024-04-09,-10439.999999999969,-15.81,-10455.809999999969
2024-04-10,739.9999999998528,0.0,739.9999999998528
2024-04-11,9990.000000000116,-31.62,9958.380000000116
2024-04-12,0.0,0.0,0.0
2024-04-15,0.0,0.0,0.0
2024-04-16,0.0,0.0,0.0
2024-04-17,6630.000000000066,0.0,6630.000000000066
2024-04-18,389.9999999999224,-15.81,374.1899999999224
2024-04-19,3600.0000000001364,-79.05000000000001,3520.9500000001362
2024-04-22,4499.999999999744,-79.05000000000001,4420.949999999744
2024-04-23,3500.000000000014,-94.86,3405.140000000014
2024-04-24,-2799.999999999841,-94.86,-2894.859999999841
2024-04-25,1239.9999999997533,-47.43,1192.5699999997532
2024-04-26,-2599.9999999999445,-94.86,-2694.8599999999446
2024-04-29,5680.000000000384,-47.43,5632.5700000003835
2024-04-30,2219.9999999995584,-94.86,2125.1399999995583
2024-05-01,0.0,-94.86,-94.86
2024-05-02,-10319.99999999978,0.0,-10319.99999999978
2024-05-03,-11180.00000000022,-15.81,-11195.81000000022
2024-05-06,0.0,0.0,0.0
2024-05-07,6960.00000000047,0.0,6960.00000000047
2024-05-08,6959.999999999852,0.0,6959.999999999852
2024-05-09,0.0,0.0,0.0
2024-05-10,-20010.000000000346,-79.05000000000001,-20089.050000000345
2024-05-13,10120.000000000602,-94.86,10025.140000000602
2024-05-14,-10320.000000000391,0.0,-10320.000000000391
2024-05-15,-15479.999999999976,-15.81,-15495.809999999976
2024-05-16,-31449.99999999978,-603.9466666666667,-32053.94666666645
2024-05-17,7800.000000000111,-347.82000000000005,7452.180000000111
2024-05-20,-10079.999999999984,-31.62,-10111.619999999984
2024-05-21,15119.999999999678,-47.43,15072.569999999678
2024-05-22,0.0,-126.48,-126.48
2024-05-23,9460.000000000256,0.0,9460.000000000256
2024-05-24,6879.999999999854,0.0,6879.999999999854
2024-05-27,-3010.0000000000123,0.0,-3010.0000000000123
2024-05-28,860.0000000001344,0.0,860.0000000001344
2024-05-29,5159.99999999989,0.0,5159.99999999989
2024-05-30,2580.0000000000978,0.0,2580.0000000000978
2024-05-31,-1290.0000000000489,0.0,-1290.0000000000489
2024-06-03,0.0,0.0,0.0
2024-06-04,-7739.999999999988,0.0,-7739.999999999988
