index,price
2017-12-22,23605.0
2017-12-25,
2017-12-26,25045.0
2017-12-27,24490.0
2017-12-28,23460.0
2017-12-29,24165.0
2018-01-01,
2018-01-02,24145.0
2018-01-03,24360.0
2018-01-04,24445.0
2018-01-05,25660.0
2018-01-08,24295.0
2018-01-09,23645.0
2018-01-10,24180.0
2018-01-11,22355.0
2018-01-12,23110.0
2018-01-15,22860.0
2018-01-16,20655.0
2018-01-17,20590.0
2018-01-18,21115.0
2018-01-19,20750.0
2018-01-22,20155.0
2018-01-23,20205.0
2018-01-24,20430.0
2018-01-25,20400.0
2018-01-26,20865.0
2018-01-29,20390.0
2018-01-30,19110.0
2018-01-31,19170.0
2018-02-01,18280.0
2018-02-02,17390.0
2018-02-05,16020.0
2018-02-06,16995.0
2018-02-07,17330.0
2018-02-08,17435.0
2018-02-09,17305.0
2018-02-12,18120.0
2018-02-13,17690.0
2018-02-14,18680.0
2018-02-15,19245.0
2018-02-16,19565.0
2018-02-19,20395.0
2018-02-20,20370.0
2018-02-21,19775.0
2018-02-22,
2018-02-23,19210.0
2018-02-26,19375.0
2018-02-27,19700.0
2018-02-28,19435.0
2018-03-01,20095.0
2018-03-02,20615.0
2018-03-05,20550.0
2018-03-06,19905.0
2018-03-07,19110.0
2018-03-08,18475.0
2018-03-09,18730.0
2018-03-12,17890.0
2018-03-13,18225.0
2018-03-14,17305.0
2018-03-15,17385.0
2018-03-16,17730.0
2018-03-19,17565.0
2018-03-20,18105.0
2018-03-21,18010.0
2018-03-22,17740.0
2018-03-23,17725.0
2018-03-26,16970.0
2018-03-27,17165.0
2018-03-28,16965.0
2018-03-29,16140.0
2018-03-30,15850.0
2018-04-02,15945.0
2018-04-03,16465.0
2018-04-04,15930.0
2018-04-05,15875.0
2018-04-06,16130.0
2018-04-09,15700.0
2018-04-10,15850.0
2018-04-11,15975.0
2018-04-12,16805.0
2018-04-13,17120.0
2018-04-16,17045.0
2018-04-17,16935.0
2018-04-18,17185.0
2018-04-19,17365.0
2018-04-20,17965.0
2018-04-23,17835.0
2018-04-24,18430.0
2018-04-25,18005.0
2018-04-26,18205.0
2018-04-27,18415.0
2018-04-30,18250.0
2018-05-01,18000.0
2018-05-02,18235.0
2018-05-03,18665.0
2018-05-04,18680.0
2018-05-07,18330.0
2018-05-08,18215.0
2018-05-09,18245.0
2018-05-10,18120.0
2018-05-11,17720.0
2018-05-14,17860.0
2018-05-15,17455.0
2018-05-16,17350.0
2018-05-17,17110.0
2018-05-18,17555.0
2018-05-21,17375.0
2018-05-22,16935.0
2018-05-23,16545.0
2018-05-24,16500.0
2018-05-25,16465.0
2018-05-28,16290.0
2018-05-29,16420.0
2018-05-30,16295.0
2018-05-31,16550.0
2018-06-01,16710.0
2018-06-04,16470.0
2018-06-05,16600.0
2018-06-06,16590.0
2018-06-07,16660.0
